,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X002466.SZ,X300072.SZ,X600688.SH,X600660.SH,X600795.SH,X601992.SH,X002460.SZ,X600362.SH,X600188.SH,X601991.SH,X600547.SH,X600111.SH,X600886.SH,X000898.SZ,X600516.SH,X000709.SZ,X000792.SZ,X600157.SH,X600027.SH,X000786.SZ,X000408.SZ,X600176.SH,X600339.SH,X600219.SH,X000959.SZ,X600489.SH,X000553.SZ,X000723.SZ,X002271.SZ,X600352.SH,X601158.SH,X600808.SH,X000883.SZ,X000807.SZ,X000983.SZ,X000630.SZ,X002092.SZ,X600299.SH,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.00756424258284147,0,-0.0370871979204796,0,0,0,0,0.0985616710310016,0.0289362782455588,0,-0.00329231484973641,0.0192107984563083,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0707438698753304,0,0,0,0,0,0.0571975426877453,0,0.0110530876687561,0,0,-0.0541827689924445,0,0,0,0.106308121647104,0,0,0,0,-0.0178611958067025,0.0221232940661067,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0401025350135951,0,0,0,0,0,0.011042986046259,0,0,0,0,0,0,0,0.0197766561738428,0,0,0.0708054379268423,0,0,-0.0845604775994221,0,0,0,0,0,0,0,-0.0631540575524557,0,-0.0547872423265145,0,0,0,0.0436706797155028,0.0127463516966058,0,0,0,0,0,0,0,0,0,0,-0.00880504296715088,0.00422471149733795,0,0,0,0,0,0
X601088.SH,0,0,0,0.0483247248746238,0,0,0,-0.0336215512849246,0,0,0,0,0,0,0.863803866184202,0,0,0,0,0,0,0.0619513660907293,0,0,0,0,-0.0581489346690607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103938598359168,0,0,0,0.0528242513225544,-0.0479426028667717,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0391257537742632,0,0.106940810799922,0,0.219130774663655,0,0,0,0,0,0,0,0,0,0,0,0.0951971192931661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351361299286721,0,0,0,0,0,0,0.0714672956098778,-0.0784831366344536,-0.0147519451659328,-0.0206497922352609,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.0756035611317096,0,0,0,0,0,0,0,0.00386744366972317,0,0,0,0,0,0.0148027837684684,0,0,-0.101130011184291,0,-0.103539228175803,0,0,0.121607077021949,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113386627177611,0,0,0,0,0,-0.0878137175160274,0.000755476537035824,0.0012389892709499,0,0,0,0,0,0
X601600.SH,0,0,0,0.244526964135331,0,0,0.330020674854559,0,0,0,0.0352928058174116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0474086765691279,0,0,0,0,0,0,0,0,0,0,0.0541599330285791,0,0.103320421726267,0.0741376256825474,0,0.0839353569549091,0,0,0,-0.0292198219950309,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0280305574315795,0,0.0745256085061798,0,0.0202369008905647,0,0,0,0,0,0,0,0.0211132782428234,0.131371237058957,0,0,0.0454320362718016,0,0,0,0.0364931881296229,0,0,0,0.0479963328492629,0,0.0421136877821119,0,0,0,0,0.12417634992252,0,0,0,0,0.0731759177032059,0,0,0.134553842706028,0,0.158946600773528,0,0.115581587124804,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.470348106014806,0,0,0,0,0,0,0.300522498251512,0,0,-0.0256224443811978,0,0,0,0,0,0,0,0.107324096262575,-2.77555756156289e-17,0,0,0,-0.0613168621535416,0,0.185761557774841,0,0,0,0,0,0,-0.157993359567074,0,0,0,0,-0.179325173764045,0,0,0.144582734645332,0,0,0,0,0.0728255103233176,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.106130953166537,0,0,0,0,0,-0.0127340378373508,0,0,0,0,0.0183224162323873,0,0.0101868757756391,0,-0.0200009571074902,0,0.0401659086851443,0.0712970058744726,0,0,0.0754767052472722,0,0,0,0,0,0,0,0,0,0,-0.0186115993998163,0.0201983879449088,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.0435484413595583,0,0,0,0,0,0,0.0264622938037053,0,0,0,0.104714695992094,0.329502569750929,0,0,0,0,0.177780187927003,-0.0213788452451986,0,0.00967344580916093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0622916597590975,0,0,0.00605435270930794,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.550868303815072,0,0,0,0,0,0,0.0310843841411254,0,0,0,0,0,0,0.0787327603330619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0877017656764542,0,0,-0.0174404026528423,0,0,0,0,0,0
X300072.SZ,0,0,0,0.115444638391159,0,0,0,0,0,0,0,0,0,0.127705293142004,0,0,0.0297533484302039,0,0,0,0,0,0,0,0.00908524478693629,-0.0675224239034518,-0.129097397550501,0,0,-0.0144792606406607,-0.0212982788170528,-0.0476188036682813,-0.136821296061543,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117173038742835,0,0,0.0541562913446794,0,0.0328217827134995,-0.0989306758501709,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0.0750354378390877,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111795392592754,-0.0512885330522102,0.102917419984377,0,0,-0.0342770327631937,-0.178584778596704,0,0,0,0,0,0,0,0,0,0,0,0,0.0799353662290253,0,0,0,0.263946744141591,0,0,-0.0392844498801779,0,0,0,0,0,0,0
