,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X002460.SZ,X600011.SH,X002271.SZ,X600886.SH,X600660.SH,X600010.SH,X601898.SH,X600801.SH,X601600.SH,X600362.SH,X600188.SH,X600352.SH,X600489.SH,X601991.SH,X600688.SH,X002466.SZ,X600795.SH,X000786.SZ,X600111.SH,X600027.SH,X600126.SH,X601992.SH,X600176.SH,X600299.SH,X600315.SH,X002075.SZ,X600426.SH,X002353.SZ,X600529.SH,X000723.SZ,X000959.SZ,X600486.SH,X600612.SH,X600219.SH,X600516.SH,X000898.SZ,X002080.SZ,X000932.SZ,X601158.SH,X000301.SZ,X000709.SZ,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.00637142684798291,0,0,0,0,0,0,0,0.0219146483351235,0,0,0,0,0.0942871062365263,0,0.193400654239909,-1.73472347597681e-18,0,0,0,0,0,0,0.0508651622006425,0,0,0,0,0.0612916121670302,0,0,0,0,0,0,0.00836847493078445,0,0,0,0,0,0,0,0.015172229528724,0.00254788490189408,-0.0111246753146282,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0200162530397559,0.130884486795558,0,0,0,0,0,0.0461834357474237,0,0,0,0,0,0,0.031119133091962,0,0,0,0,0.00727190898245927,0.0179179303558512,0,0,0,0,0,0,0.0496027658423057,0,0.0838982054961451,0,0,0,0,0.0514481533323408,0,0,0,0,0,0,0,0,0.00114132877779425,-0.00195378826195624,0,0,0,0,0,0
X601088.SH,0,0,0,0.077636170791127,0,0,0,0,0,0.0669913386447472,0,0,0,0,0,0,0,0.290125200694221,0,0,0.0790707479329258,0,0,0,0,0,0,0.00483500606374577,0,0,0.189335928772051,0,0,-0.0955922891976798,0,0,0.00882572219695744,0.0430440720524538,0,0,0,0,0,0,0,0,0,0,0,0,-0.0295929470075048,0.0191188347945471,-0.0202106352761604,0,0,0,0,0,0
X600585.SH,0,0,0.161050389962406,0,0.0404414838946253,0,0,0.0590581059897281,0.0425065133645693,0,0.0105112445780645,0,0,0,0,0.51656617052281,0,0,0,0,0,0,0,0.0357776575505536,0,-3.46944695195361e-18,0,0,0,0,0,0,0,-0.0304867099427233,0,0,0.00204048842037583,0,0,0,0.0836202135967472,0,0,0,0,0,0,0,0,0,-0.0410198779002379,-0.00943576864142984,0.00405378906266406,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0938796001594834,0,0,0,0.175840656391575,0,0,0.0908091188959703,0,0.126473170831954,0,0,0,0,0,0.0172181313953647,0,0.0130078858336042,0,0,0,0,0.0141620934931289,0,0,0,0.10151784135454,0,0,0,0,0,0,0,-0.0402311019108725,0,0,0,0,0,0,0,0,0.00298737744466646,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604422677282541,0,0,0.0441637341882622,0,0,0,0,0.017809316038117,0,0,0.0072544062424071,0,0,0,-0.00596449640184013,0.0454875625247584,0,0,0,0.327257250736734,0,0,0,0,0,0,0,0,0,0,-0.0230205795183854,0.015133352688365,0,0,0,0,0,0
X600019.SH,0,0,0,0.0364501699347604,0.116965330549603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241886984943037,0.00689807212010094,0,0.106514820897864,0,0,0,0,0,0,0,-0.0108391119116335,0,0.0597646597554137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135939655931692,-0.021018151752008,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04724884759827,0,0.114899520724812,0.05808099514593,0,0.405838191749977,0,-0.154439109527598,-8.67361737988404e-19,0,0.0517414789391507,0,-0.0156013668303477,0.0432550317737917,0,-0.00622480710774018,0,0,0,0.0146335618255362,0,0,0,0,0,0,0,0,0,0,-0.113510914025363,-0.0138749650938888,-0.00565332535725895,0,0,0,0,0,0
X002460.SZ,0,0,0,0,3.46944695195361e-18,0,0,0.113321801503116,0,0,0,0,0.138615401089733,0,0,0,0,0,0,0,0,0,0,0.201859939395901,0,0,0,0,0,0,0,0,0.106384537493859,0.0149614346726909,0,0.0981141166043547,0,0,0,0,0,0,0,0,0.308500978590873,0,0,0,0,0,0,-0.00742147310318251,-0.0173507622013219,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175655651348194,-0.0599013512571266,0,0,0,0.00702860562090284,-0.0563096037903662,0,0,0.109150171667808,0.101260954681792,0,0.0962550285604286,0,0,0,0,0.319256256101064,0,0,0,0,0,0,0,0,0,0,-0.0148229217450956,0.0279067548683291,-0.0257343535619599,0,0,0,0,0,0
