,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X601600.SH,X601991.SH,X601898.SH,X600188.SH,X002466.SZ,X600688.SH,X600660.SH,X600362.SH,X300072.SZ,X600795.SH,X002460.SZ,X600547.SH,X601992.SH,X600886.SH,X600516.SH,X600111.SH,X600176.SH,X000786.SZ,X000898.SZ,X600027.SH,X000709.SZ,X600352.SH,X002271.SZ,X600299.SH,X000792.SZ,X000553.SZ,X000408.SZ,X000825.SZ,X600489.SH,X601158.SH,X601699.SH,X600219.SH,X600549.SH,X000883.SZ,X000630.SZ,X600808.SH,X600583.SH,X002470.SZ,X600315.SH,X002110.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.132279633232824,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173674660023952,0,0,0,0.00374487637012186,0,0,0,0,0.0476713164223475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189516823125308,0,0,0.06866867114679,0,-0.0155806515681226,0.00506414737894179,0,0,0,0,0,0
X600028.SH,0.48844264346455,0,0.284702147339763,0,0,0,0,0,0,0,0,0,0.0303144606959127,0,0,0,0,0,0.079254796255002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107911316424243,0,-0.132669143179048,0,0,-0.0395152127772971,0.0377969081197859,0,0,0,0,0,0
X601088.SH,0,0.0857418516306124,0,0.227588350108526,0,0,0,0.0390308055543555,0,0,0,0,0,0.0131832167834087,0,0,0,0,0,0,0,-0.0587800841195077,0,0,0,0.0452810977045152,0,0,0,0,-0.168371553317521,0,0,0,0,0,0,0.373573626425537,0,0,0,0,0,0,0,0,0,0,0.0201198402655902,-0.0145403195928153,0,0,0,0,0,0
X600019.SH,0,0,0.152704398746999,0,0.22508086866185,0,0,0,0,0,0.048790370914328,0,0,0,0,0,0,0,0,0,0,0,-0.0794759660266937,-0.0346179186364595,0,0.149100307589811,0,0,0,0,0,0,0,0,0.0134333909887819,0,0,0.188399640640049,0,0,0,0,0,0,0,0,0,0,0.0196296063768679,-0.045842743479269,0,0,0,0,0,0
X600585.SH,0,0,0.112197438802648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131396181216523,0.225205348395529,0,0,0,0,0,0,-0.157141650159261,0,0,0,0,0,0.323758893357975,0,0,0,0,0,0,0,0,0.229491696711884,0,-0.039773608985089,0.0208844521165407,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.022173711532422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108890811162099,0.294234587566596,0,0,0,0,0.0942436368600785,0.159019881208509,0,0,0,0,0.152962864741062,0,0,0,-0.0300441295251941,0,-1.73472347597681e-18,0,0,0,0,0.0454647206384855,-0.0563907863388577,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.0299669794427284,0.0541081767472504,0,0,0,0,0,0,0,0,0,0,0.00923746015241409,0,0,0,0,0,0,0.170908891601158,0,0,0.0205144944824232,0,0,0.0300737534886644,0,0,0,0,0,0,0,0.154859010482138,0.0193865754984369,0,0,0,0,-0.00571880928446604,-4.33680868994202e-19,0,0,0,0,0,0
X601600.SH,0.0418503585034016,0,0,0,0,-0.124504400227633,0,0,0,0,0.331611838877539,0,0,0,0,-0.198082467428123,0,0,0,0,0,0,0,-0.0687348402471042,0,0,0,0,-0.0298907985806072,0.376371844973818,0,0,-0.107068992071748,-0.504787089370514,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,-0.460572087091375,0,-0.147570484586037,0,0.178763192826506,-0.312989172653554,-0.33261243297102,0,0,0,0,0
X601991.SH,0,0,0,0,0,0.0128024761396366,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0976729175187387,0,0.0365198859081786,0,0,0,0,0.180591111433375,0,0,0.0246434024029311,0,0.0425445531032749,0,0.137529261792574,0.0266050213781318,0,0,0,0,0,0,0,0,0,0,0,0.0584243161487087,0,0.00242278502742882,0,0,0,0,0,0,0
X601898.SH,0,0.0157662031351537,0,0,0,0,0,0,0,0,0.0649995976165676,0,0,0,0.231109299020087,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101319094622399,0,0,0,0,0,0,0,0,0.0481225419677131,0,0.147600245679317,0,0,0.0412304020612668,0.141213358105259,0.0622084985215564,0,0,0,-0.00526385066872034,-0.00267200355293199,0,0,0,0,0,0
