,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X601158.SH,X600188.SH,X600299.SH,X600583.SH,X000027.SZ,X601992.SH,X600309.SH,X000539.SZ,X000630.SZ,X000792.SZ,X600352.SH,X002470.SZ,X600660.SH,X000883.SZ,X000709.SZ,X000898.SZ,X600021.SH,X600098.SH,X600623.SH,X601918.SH,X600489.SH,X600578.SH,X600863.SH,X300072.SZ,X600307.SH,X600022.SH,X002004.SZ,X600008.SH,X600315.SH,X000629.SZ,X600547.SH,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.579320545655632,0.107680403641428,0,0,0,0,0,0,0,0.0861321998711003,0,0,0,0,0,0,0,0,0,0.0402232374226114,0,-0.0454617168946585,0,-0.040667509063751,0,0,0,0,0,0,0,-0.0330430589607117,0,0,0.0436873158797782,0.0851122572278922,0,0,0,0,-0.0090335100069658,0,0,0,0,0,0,0,0,-0.0110015310270454,0,0.0404258487690353,0.0420783768061604,0,0,0,0
X600028.SH,0.163187988846652,0,0.241581426362759,0,0,0,0,0,0,0,0,0,0,0,0.068305111236647,0,0,0,0,0.0243116352118757,0.120430293693606,0.0313750639759033,0,0,0,0,0,0,0,0,0,0,0,0.125217754777857,0,0,0,0,0,0,0,0.0405544509855823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.133938098022589,0,0,0.240630906436711,0,0,0,0,0.339786646067065,0,0,0,0,0,0,0,0,0.139922164513357,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0802980882914289,0,0,0.0192559264376293,0,0,0.0465720537843831,0,0,0,0,0,0,0,0,0,-0.00981603766596857,0,0,0,0,0,0,0
X600011.SH,0,0,0.0846507723389694,0,0.0883252782605263,0,0,0,0,0,0,0.303272168541095,0.115876744690169,0,0,0,0,0,0.0114266519129256,-0.0111386023914628,0,0,0.148792543672156,0,0,0,0.00618320818403772,0,0.0878383994048075,0,0.104514874557773,0,0,0,0,0,-0.0558663014751658,0,0,0,0.000809844023319489,0,0,0,0,0,0,0,0,0,-0.00598103093041537,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0577755419211612,0,0,0.0761557906935583,0.0031147695652676,0,0,0,0,0,0,0,0.147846040185441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179498949446061,0,-0.0741931087140635,0,0,0,0,0,0,0
X600585.SH,0,0,0.179858208321512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854094045484301,0,0.0173848379698883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445482324555492,0.0581841244954786,0,0,0,0,0,-0.0476764624328047,0,0,0,0,0,0,0
X600019.SH,0,0,0.0937782155563672,0,0.0352416722126682,0,0,0,0,0.205783421343588,0,0.231216742105909,0,0,0.0470468460989411,0,0,0.00145833554375861,0,0,0.0915019576110278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062984976048287,0,0,8.67361737988404e-19,0,0,0,0,0,-0.0277163742878977,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.26192732223088,0.0342116721218823,0,0,0,0,0,0,0.11801891481007,0,0,0,0.103694837420473,0,0,0,0,0,0,0,0,0,0,0,0.147266136271646,0,0,0.218784992588495,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0245949764536425,0,0,0,0,0,0,0
X600795.SH,0,0,0.302316701631208,0,0,0,0,0,0,0,0,0,0,0,0,0.0895137669472034,0.00304119025546845,0,0,0.0115919755581922,0,0,0.0977956362191681,0,0,0,0,0,0,0,0.0908213993693154,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0489159608030684,0,0,0,0.119762088139124,0,-0.0308196099037493,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.148800386511749,0,0,0,0,0,0,0.2449750427541,0,0,0.0989812344249604,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00607453079142945,0.0805733483681099,0,0.0830286394060303,0.0384512426517457,0,0.00403621347687916,0.0511354612136361,0,0,0,0,0.122513925125593,0,0,0,0,0,0,0,0,0,0,0
