,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X601898.SH,X600019.SH,X600585.SH,X601600.SH,X600795.SH,X601991.SH,X600157.SH,X600688.SH,X600362.SH,X600188.SH,X600111.SH,X600886.SH,X600027.SH,X000883.SZ,X000709.SZ,X600583.SH,X000539.SZ,X601992.SH,X601158.SH,X600352.SH,X600021.SH,X000027.SZ,X600309.SH,X000898.SZ,X600307.SH,X000629.SZ,X000792.SZ,X000060.SZ,X002075.SZ,X000825.SZ,X600808.SH,X600489.SH,X600098.SH,X600547.SH,X600863.SH,X600008.SH,X002353.SZ,X600660.SH,X002470.SZ,X600578.SH,X000012.SZ,X002004.SZ,X600022.SH,X601918.SH,X000831.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.692518259787616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606704930849568,0,0.0231320251742235,0.00259033228335213,0,0,0,0.126514513584045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277046562328944,0,0,0,0,0.0059202070434156,0,0,0,0,0,0,0
X600028.SH,0.579398220507858,0,0,0,0,0.0697843260715563,0,0,0.00534466982305565,0,0,0.0336391743734329,0,0,0,0,0,0,0,0,0,0,0.0431274319188005,0,0,0,0,0,0,0,0,0,0,0.0246936717312398,0,8.67361737988404e-19,0,0,0,0,0.0130576282963867,0,0,0,0,0,0,0,0.0718766134811416,0,0,-0.00967500833318793,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.158987766867772,6.93889390390723e-18,0,0.0615292540732652,0,0,0,0,0,0,0,0.00295979169478215,0,0,0,0.0313491986131881,0,0,0,0.0207116903279682,-3.46944695195361e-18,0,0,0.130099110299921,0,0,0,0,0,0,0,0,0.12482027052662,0,0,0,0,0,0,0,0,0,0,0.0449808756146344,0.0760640671347574,0,-0.0144024431596132,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.168697045370975,0,0,0,0,0,0,0,0,0,0,0.282283216142588,0,0,0,0,0,0,0.17761144986204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0100714186771808,0,0.0360972516941201,0,0,0,0.0112470334518391,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.00676517200734126,0,0,0,0.116322415189062,0,0.00169206118080151,0,0,0,0.0851343430819494,0.0307312003775932,0,0,0,0.0378147889076908,0,0,0,0.0802195310020873,0,0,0,0,0,0,0,0,0.171763214748159,0,0,0,0,0,0,0,0,0,0.20462475616486,0,0,0,0,0,0,-0.00689391969957684,0,0,0,0,0,0,0
X601898.SH,0,0,0.0339595452403987,0,0,0,0,0,0.0963178954920011,0,0.0508277400581007,0,0.0841625877347117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126561990596836,0,0,0.0610277549709306,0,0,0,0,0,0,0,0,0,0,0,0,0.134083791974179,0,0,0,0.0198402957678275,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.086664527219519,0,0,0,0,0,0.00583358691159696,0,0,0,0,0,0,0,0.163872117207395,0.0224125921241074,0.0312151295891529,0,0,0,0.0215245417995007,0,0,0.153743562244785,0,0,0,0.138501199287465,0,0,0.0580891005496374,0,0,0,0,0,0,0,0,0,0,0,0.0917411941360088,0.0419882517113021,0,0,2.71050543121376e-20,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.068669185161022,0,0,0,0,0,0,0,0.285451843418386,0,0,0,0.0604911980588667,0,0.065382459994164,0,-0.0127853177455537,0,0,0.028419531848956,0,0,0,0,0,0,0,0,0,0,0,0.075690420519503,0,0,0,0,0,0,0,0,0.0632836187134914,0,0,-0.0177936366881165,-0.0152225023492533,0,0,0,0,0,0
X601600.SH,0,0.109056862500782,0,0,0,0.0293919195530662,0,0,0,0,0.0736978032322589,0,0,0,0,0,0,0,0,0,0,0,0.141656585975276,0,0,0,0,0,0,0,0,0,0.118031250871639,0,0,0.119508018640223,0,0,0,0,0,0,0,0,0,0,-0.165799175018901,0,0,0.254756123390495,0,0,0.0317729846929764,0,0,0,0,0,0
X600795.SH,0,0,0,0.017088594833306,0,0,0,0,0.0579246029506548,0,0.137369863645967,0.0392774530378324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133351503952535,0,0,0,0,0,0,0,0,0,0.00710704394545092,0,0,0,0.361967993987565,0,0,0,0,0,0,0,0.0923163926555862,0,0,0,0,0.0133741217979583,0,0,0,0,0,0
X601991.SH,0,0,0.0439840305216223,0,0.382999869294688,0.209035505573603,0,0,0,0.0379670437703731,0,0,0,0,0,0,0,0,0,0,0.03703202906026,0,0,0,0,0.10714652081386,0,0,0,0,0,0,0,0,0,0,0,0.179702488178752,0,0,0.0383555894964255,0,0,0,0,0.0239723814706926,0.0249264684102229,0,0.0174634843981416,0,0,-0.00101938269326084,0,0,0,0,0,0,0
