,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600188.SH,X600623.SH,X600362.SH,X601992.SH,X600111.SH,X600886.SH,X600157.SH,X002466.SZ,X600299.SH,X600547.SH,X600660.SH,X601158.SH,X000792.SZ,X600352.SH,X600309.SH,X000709.SZ,X600583.SH,X600489.SH,X000539.SZ,X000883.SZ,X000898.SZ,X000027.SZ,X000629.SZ,X000630.SZ,X300072.SZ,X002075.SZ,X000060.SZ,X000959.SZ,X000983.SZ,X600021.SH,X002470.SZ,X600176.SH,X600578.SH,X600098.SH,X600022.SH,X000012.SZ,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.300922301345521,0,0,0,0,0,0,0,0,0,0,0,0.022627620766623,0,0,0,0,0,0,0.00261720281739814,0,0.0347474037404953,0,0,0,0.0147964311761884,0,0,0,0,0,0,0,0,0,0,0,0,0.0696511013932367,0,0,0.0106350733235453,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.101274469329448,0.204892383242864,0,0,0,0,0.0291768064566406,0,0,0,0,0,0,0,0.00482749029786481,0,0,0,0,0,0,0,0.0575822929499758,0,0,0,0,0,0,0,0,0.0123981653233813,0,0,0,0,0,0,0,0.0250563898538326,0,0.00382951662901798,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.433539415805177,0,0,0,0,0.0577062526640003,0.0830009779441725,0.0217941372437415,0.0885684182709505,0,0,0,0,0,0,0,0,0,0,0,0.00636339751904297,0,0,0,0,0,0,0.0743629451886346,0,0,0,0,0,0,0,0,0,0,0,0.0658998047341482,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0.0718138092554952,0,0,0.105285103938656,0,0.0419048209220452,0.17593384713713,0,0,0,0,0,0,0,0,0,0,0,0.017718797886683,0,0,0,0,0,-8.67361737988404e-19,0,0,0.110111162830919,0,0,0,0,0,0,0,0,0,0,0.022459733829642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192805626436928,0,0.182449609189727,0,0.0598269442763625,0,0,0,0,0,0,0,0,0.183698896554211,0,0,0,0,0,0,0.0392462294701015,0.278260587224084,0,0,0.0168691290751424,0.014062658576195,0.0663522463268226,0.0407150607656373,0,4.33680868994202e-19,0,0,0,0,0.0591064453281851,0,0.0399505991272057,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0.0160556781567013,0,0,0,0,0,0,0,0,0,0.105372754551444,0,0,0,0,0,0,0,0,0,0.145283010999818,0,0,0.000213202944921304,0,0,0,0,0,0.189961201742123,0,0,0,0,0.0987293191000594,0,0,0,0,0,0,0.0702834434803775,0.0151476417769162,0,0,-0.027761813071916,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0767482698913943,0,0,0.0821470994468627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.626801128264503,0,0,0,0,0,0,0.0330751132244871,0.0776314809600732,0,0,0,0,0,0,0,0.0154234591922679,0,0.0515501382678702,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0.172248813220168,0,0,0,0,0.117858160963242,0.00746638366810833,0,0,0,0,0,0,0,0,0,0.22589402977785,0,0,0,0,0,0,0,0,0.104769073122333,0,0,0,0,0,0.191343260577919,0,0,0,0,0,0,0,0,0.000784512176051654,0,0,-0.00781647644259909,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.08655548890585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234069539617427,0,0.0172609700879473,0,0,0,0.0862766199778568,0,0,0,0.00643565229265713,0,0,0,0.216189771222811,0,0.0646575690875497,0,0,0,0,0,0.00740275972984829,0,0,0,0,0.0544943843494635,0,0.0810879661446735,0.0413072151651419,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188116243899379,-0.050919686640726,0,0,0,0,0,0,0.0245284566391404,-0.0472551383476106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056985793036863,0,0,0.100047699482692,0,0,0,0,0.487739308424752,0,0.040567376018656,0,-0.0145722282043341,0,0.267841481782469,0,0,0,0,0
