,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X600010.SH,X601898.SH,X601600.SH,X600688.SH,X600547.SH,X600362.SH,X600795.SH,X300072.SZ,X600309.SH,X600188.SH,X601991.SH,X600157.SH,X601992.SH,X600027.SH,X600660.SH,X600886.SH,X600111.SH,X000898.SZ,X600489.SH,X000709.SZ,X600339.SH,X600299.SH,X000959.SZ,X601158.SH,X600583.SH,X000630.SZ,X000792.SZ,X002466.SZ,X600098.SH,X600219.SH,X000825.SZ,X600352.SH,X000408.SZ,X000883.SZ,X000723.SZ,X000983.SZ,X000539.SZ,X601699.SH,X600021.SH,X002092.SZ,X000027.SZ,X000937.SZ,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.282136910455297,0,0,0,0,0,0,0,0,0.0342952476621521,0,0,0,0,0,0,0,0.110321192981344,0,0.0310056930304752,0,0,0.014594138642919,0,0,0,0,0.0920846266166569,0,0,0,0,0,0.0203729795936127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000542408866022681,-0.00285166783542177,0,0,0,0,0,0
X600028.SH,0.780036939861659,0,0,0,0,6.93889390390723e-18,0,0,0,0.0629512623780327,0.041457243958683,0,0,0.0538533784780463,0,0,0,0,0,0,0,0,0,0,0,-0.00740362977244177,0,0,0,0,0,0,0,0,0,0,-0.0137629955500595,0,0,0,0,0,0.127425527028729,0,0.0396131090779377,0,0,0.00550663715811741,0,-0.159156704349258,0.0270498631634652,-0.007455801557171,0,0,0,-0.133989099930752,0,0
X601088.SH,0,0,0,0,0,0.00929773224947037,0,0.399817223355859,0,0,0.0213419226840857,0,0.0514195922460894,0,0.0275909694855359,0,0,0,-0.0809175375057678,0,0,0,0,0.0980048246734397,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.0376199627353358,0,0,0,0,0,0,0,0,0,0,0.0230340164224733,0,0,-0.0243075275735564,0.0145843287353573,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,-0.0899076298994104,0,0.163034662410103,-0.0827448471264675,0.0139216794684092,0,0,0,0,0,0,0,0,-0.0761514847006428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020100284856894,0,0,0,0.0106803951466363,0.135447045378506,0,0.0345739358492491,0,0.0437393315676202,-0.0176808491855917,0.0164088507476131,0.123376291269441,0,0,0,0,0
X600019.SH,0,0,0.352270221068217,0.0815617078862131,0,0,0,0,0,0,-0.0712457073398212,0,0,-0.122141087376574,0,0,0,0,0,0,0,0,0,0.18163265139043,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142423989484279,0,0,0,0,0,0,0.110478601230642,0,0,-0.0112767108079626,0,0.049179186413027,-0.00289763313519286,0.00295748635542796,0,0,0,0,0,0
X600585.SH,0,1.0842021724855e-19,0,0,0.181957925852959,0,0,0,0,0,0,0,0,0,0.0733482951137831,0,0,0,0,0,0,0,0,0.204851375814576,0,0,0,0,0,0,0,0,0,0,0,0,0.024665196962604,0,-0.297164512119559,0,-0.0312734902950777,0,0,0,0.00497045435443571,0,0,0,-0.0928063423520271,-0.321264883753401,-0.0106782527825044,0.020764427479056,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.0415158246737398,0,0,0.0958786480238895,0,0,0,0,0,0,0.0944361548193215,0,0,0,0,0.156869382859111,0,0,0,0,0.0317366454693132,0,0,0,0,0,0.114232104678763,0,0,0,0,0,0,0,0,0,0,0.000428672388859213,0.0935311811399681,0,0,0,-0.0280678143502773,0.0101572880881808,0,0,0,0,0,0
X601898.SH,0,0.0539405674538039,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17233452697385,0,0,0,0,0,0,0,0,0,0.098218768166386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0804621271694961,0.00935977900360242,0,0.0715795731710889,0,0,0,0.127544519943718,0.0488524209308321,0,-0.0453704042208717,0.0194126333035656,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0.0737864309728286,0,0.0417966658156181,0,0,0,0,0,0,0.0386713851778347,0,0,0,0,0,-0.217893223557172,0.142641119733468,0,0,0,0.202784362968034,0,0,0,0.350821384019447,0,0,0,0,0,0,0,0,0,0,0,0,0.14208183754856,-0.0590659273986108,-0.0162657674355364,0.0183523992522056,0,0,0,0,0,0
X600688.SH,0,0.350656515020119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0209191901794683,0,0,0,0,0,0.196779733639698,0,0,0,0,0,-0.0336504374389088,0,0,0,0,0,0,0.0889188051628993,0.0386081666862484,0.10967141131414,0,0,0.0458512379345347,0,0,-0.00101332762737084,0,0,0,0,0,0
