,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X601600.SH,X600688.SH,X600795.SH,X601991.SH,X600623.SH,X600027.SH,X600362.SH,X600111.SH,X600886.SH,X600157.SH,X600188.SH,X601992.SH,X002466.SZ,X600299.SH,X000792.SZ,X600660.SH,X601158.SH,X000709.SZ,X600309.SH,X000539.SZ,X000883.SZ,X000898.SZ,X600583.SH,X000027.SZ,X600547.SH,X600352.SH,X600489.SH,X000630.SZ,X002470.SZ,X300072.SZ,X000629.SZ,X000060.SZ,X600098.SH,X600160.SH,X600176.SH,X000012.SZ,X000723.SZ,X600021.SH,X600315.SH,X000959.SZ,X600022.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.11093693584904,0,0,0,0,0.0842189284859083,0,0,0,0.0466422473126741,0.041657130913637,0,0,0.0501303106058316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00309326976841364,0,0,0.110254519525503,0,0,0,0,0,0,0.025885279018226,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.10962498847286,0,0,0,0,0.0364582550895155,1.38777878078145e-17,0,0,0.0995840179950426,6.93889390390723e-18,0,0,0.00736402575989658,0,0,0.0363884284647685,0,0,0,0,0.195724208450811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237035259742411,0,0,0,0,0.0150451311960871,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.483954137628318,0,0,0,0,0.0238026472619999,0,0,0,0,0.0691508891395496,0,0,0,0,0,0,0,0,0,0,0,0.0969750844499296,0,0,0,0,0,0,0,0,0,0.0302829266274285,0,0.0504891855415238,0,0.0283529196457888,0.0642948851111613,0,0,0,0,0,0,-0.0215023891952041,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.029463229888184,0,0.0881066511245927,0,0,0,0,0,0,0,0,0,0,0.104217235511851,0,0,0,-4.33680868994202e-19,0,0,0,0,0.050798033806159,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0913167586532931,0,0.00395480397922526,0,0,0.153726706517026,0,0,0,0,0,0.00568485682887142,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231161818471538,0,0,0.108445500856826,0,0,0,0,0,0,0.0766632301999284,0,0,0,0,0,0,0.02300054533592,0,0,0.0100682489182808,0,0,0.173555303137706,0.197640049387328,0,0.00654025539786014,0,0,0,0,0,0,0,0,0,-0.0137444449333464,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0126033386125444,0,0,0.62777740577587,0,0,0,0.0565816604612645,0,0,0,0,0,0.00713033203730471,0,0,0,0,0.0554705940845759,0,0,0.0475588379896902,0.136269479064398,0,0,-0.0508598770990781,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0701452924731354,0,0.139013919536626,0.0386996500484259,0,0,0,0,0,0,0,0,0.213951769476751,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057890771617154,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0718114840916205,3.46944695195361e-18,0,0,8.67361737988404e-19,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.0767039234876287,0,0,0.116476106205935,0,0,0,0,0,0.0487625593847076,0,0,0,0,0.0611594606679654,0,0,0.075923133830927,0,0,0,0,0,0,0.0284259475943357,0,0.00724452225826396,0,0,0,0,0,0,0.0763363878801828,0.0586918038036941,0,0,0,0.119317269938756,0.12444722825001,0.0418651514876534,0,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201661057857145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198321433940972,0,0,0.103190321618689,0.0141406591196349,0,0.0757922098503124,0.0235619640414826,0,0.172947639578427,0,0,0,0,0,-0.000149101757963554,-0.00837589193284051,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.252851246184655,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.0256839586034165,0,0,0,0,0,0,0,0,0,0.216120739373635,0,0.0415433478406293,0,0.0388595974791611,0,0.0813378400853457,0,0.0947614278289527,0,0,0.0143787155325869,0,0,0,0,0,0,0
