,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X002460.SZ,X002271.SZ,X600886.SH,X600660.SH,X600801.SH,X601898.SH,X600010.SH,X601600.SH,X600362.SH,X600188.SH,X600352.SH,X600489.SH,X600688.SH,X601991.SH,X000786.SZ,X600795.SH,X600126.SH,X600111.SH,X600027.SH,X600176.SH,X601992.SH,X002466.SZ,X600299.SH,X600426.SH,X002353.SZ,X002075.SZ,X600529.SH,X600315.SH,X000723.SZ,X600486.SH,X600516.SH,X600219.SH,X600612.SH,X002080.SZ,X000401.SZ,X601158.SH,X000898.SZ,X000932.SZ,X000883.SZ,X000553.SZ,X000301.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0977656741495543,0.187491160921394,0,0,0,0,0,0,0.0592829058586075,0,0,0,0,0.0577125080491473,0.00467832708510339,0,0,0,0,0,0,0,0,0.0226096568267822,0,0,0,0,0,0,0.0161816237859005,0.00233559639692457,-0.0114383529605298,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.011897566639604,0,0,0.0843017185671545,0,0,0,0,0,0,0,0,0,0,0,0.0363286654886137,0,0,0,0,0,0,0.0370718882580723,0.0808053946801161,0,0,0.138487841401556,0,0.0374737316948385,0,-0.010663027776957,0,0,0,0.0683132606437679,0,0,0,0,0,0,0,0,0,0,0,0.00977838541318318,-0.00779429760162784,0,0,0,0,0,0
X601088.SH,0,0,0,0.213854374878355,0,0,0,0,0,0,-0.0306907588925589,0,0,0,0,0,0,0.127264546426727,0.0916189608463694,0,0.105479195009023,0,0,0,0,0,0,0,0.0931661847646629,0,0,0,0,0,-0.166218492626171,0.0434098450001169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103132363650982,-0.00544079005531526,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.00089675623779676,0.0206305891006067,0,0,0.391015228801634,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,2.16840434497101e-19,0,0,0,0,0.0642304787400742,0,0,0,-0.0463970143513854,0.115916943874331,-0.00656425999314269,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0451783743229911,-0.00650806343989133,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121449621969078,0,0,0,-0.0107633888298663,0,0,0.183202445008106,0,0.233157267345048,0,0.120810938775836,-6.93889390390723e-18,0,0.0367910238555901,0,0,0,0,0,0,0.00468817881724063,0,0,0,0,0,0,0,0,0.00981259194486328,0.0111901276338826,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.732178937129736,2.16840434497101e-19,0,0.13957555967368,0,0,0,0,0,0,0.0573265444476198,0.0621683872701999,-0.148077707189664,0,0.0522165689271773,0,0,-0.142929560507619,0,-0.0366225539066384,0,0.287343835210884,0,0,0,0,0,0,0,0,0,0,-0.0164111536810347,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.137223013279271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0871537008891579,0,0.0345736841955797,0,0,0,0,0,0,0.0405899435232979,0,0,0,-0.0192746200790586,0.027059993905229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0115501773909342,-0.0154819889077881,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0463682278042984,0.073698708827181,0,0.297762319916092,0,0.0111061739962705,0,-0.303497796156066,0.172491106767051,0,0.0137466058018884,0,0,0,-4.33680868994202e-19,0,0,0,0.0373940182473326,0,0,0,0,0,0,0,0,0,0,0,-0.112204777192779,-0.0127118667511132,-0.00333824904827815,0,0,0,0,0,0
X600011.SH,0,0,0.246911626190152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0244141347030532,0,0.0798188923656624,0,0,-0.00653500238677571,0.123524510237918,0,0,0,0,0.085719200147405,0,0.101666360538292,0,0,0,0,0,0,0,0,0,0.0114879789805707,0,-0.0288868863105157,0.0126737326750962,-0.0127253455423923,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0.096948978048062,0,0,0,0,0,0.180116756965204,0,0.180067159542007,0,0,0,0,0,0,0,0,0,0,0.0617669367041932,0,0,0.161429582693426,0,0.14029866365532,0,0.16498078406927,0.0310147610075894,0.0374862718046186,0.00178805255232043,0.0516976726530304,0,0.167033987839775,0,0,0,0,0,0.297531608209038,0,0,0,0,0,0,0,0,-0.0246217015211139,0,0,0,0,0,0,0
