,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X600547.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600886.SH,X600795.SH,X600362.SH,X600188.SH,X600027.SH,X601992.SH,X000898.SZ,X002466.SZ,X600111.SH,X600516.SH,X000709.SZ,X600176.SH,X600352.SH,X002460.SZ,X600219.SH,X600299.SH,X000786.SZ,X000629.SZ,X600157.SH,X600808.SH,X600489.SH,X000630.SZ,X000825.SZ,X601158.SH,X002271.SZ,X600801.SH,X000883.SZ,X000553.SZ,X300072.SZ,X002110.SZ,X600985.SH,X000027.SZ,X002470.SZ,X600583.SH,X000408.SZ,X600021.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.175487915141423,0,0,0,0.023011797545547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733886733458344,0,0,0,0,0,0,0,0,0.0142919429491017,0,0,0,0,0,0,0,0,0.0473516522630615,0.0103711842401084,0,0.122353753657945,0,0,0,0,0,0,-0.00241038316119885,0.00507610404810733,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0666194748586021,0,0.211667398693444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,-0.0619193705848258,0,0,0,0,0,0.352845437667048,0,0,0,0,0,0.120795834906004,0,0,0,0,0,0,0.0470439291807778,0,0,0.0979754331105735,0,-0.0637952993597564,0,0
X601088.SH,0,0,0,0,0,0.188362065219373,0,0.0774850951778837,0,0,0.0943933425366828,0,0,0,0.0269624211478606,0,0,0.0819927660761706,0,0,0,0,0,0,0,0.0264363097435727,0,0,0,0,0,0,0.0141074764254009,0,0,0,0.0876672709854017,0,0.0912834450883539,0,0,0,0,0,-0.0788096509733232,0,0,0,0,0,0,0.0035349232804767,0.00937771064466253,0,0.0825361748732906,0,0.00639440440249943,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132736680669075,0,0,0,0,0,0,0,0,0,-0.0121295556872725,0.170114418518151,0,1.73472347597681e-18,0,0,0,0,0,0,0.194648812464106,0,0,0,0.17252583292507,0,0,0,0,0,0,0,-0.0136005485900091,0.0151908551182088,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.125406986323601,0,0,0,0,0,0,0,0,0,0,0,0.174127011064747,0,0.0302214968811488,0,0,0.0197330412231428,0,0,0,0,0,0,0.0284714032848936,0,0,0,0,0,0,0,0,0,0,0.259607867674068,0,0.0166135544764079,0,0,0,0,0,-0.00284754161717651,0.0213573040297553,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171991732377089,0,0,0,0,0.24831126355075,0.187478977952313,0,0,0,0.0189988104546381,0,0,0,0,0,0,0,-0.0493552737896245,0.0614607935682533,0,0,0,0.128636093138931,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,-0.0986713165703641,0,0,0.126557610664785,0,0,0.469795531655384,0,0,0.598500397468868,0,0,0,0,-0.193904494548846,0,0,0,0,0,0,0,0,0.028651045428103,0,0,-0.0676158051438368,0,0,0.0647209130527341,0,0,0,0,-0.16246530937313,0,0,0.00960823306859127,0,0,0,0,0,0.00529039219075827,0,0,0,0.0168193543712634,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016856765300982,0,0,0.195937617077583,0,0,0.485711841505462,0,0,0,0,0,0.0602888530847947,0,0,0,0,0,0,0,0,0,0.160672466251893,0,0,0,0.0343931811130033,0,0,0,0,0,0,0,0,0.00127914115592261,-0.0119547067324644,0,0,0,0,0,0
X601600.SH,0,0,0,0,0.0458520691065704,0,0,0.158440977185677,0,0,0,0,0,0,0,0,0.124343092811272,0,0,0.0208003988295189,0,0,0.0726926357772457,0,0,0.0171577969430874,0,0.173202428832703,0,0,0,0.0462199286699529,0,0,0,0,0,0,0,0,0,0.0939488115669157,0.0586230254656087,0,0.0383468714901507,0,0,0,0,0,0,-0.017733374123782,-0.0115333360403392,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0.0195581037437151,-0.0233837889556752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283530734502,0,1.01335963550972,0,-0.0337651370589196,0,0,0,0,0,0,0,-0.00789382238832006,4.33680868994202e-19,-0.0971933566853709,0,0,0,-0.0377587422172987,-0.0122619786985491,0.0241538492316556,0,-0.0557121971007636,0,0,0,0
