,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X600010.SH,X601898.SH,X601991.SH,X600795.SH,X601600.SH,X600188.SH,X600886.SH,X600111.SH,X600362.SH,X600027.SH,X600309.SH,X601992.SH,X000792.SZ,X600688.SH,X600583.SH,X601158.SH,X600547.SH,X600352.SH,X000898.SZ,X000831.SZ,X600489.SH,X000709.SZ,X000883.SZ,X002353.SZ,X000539.SZ,X000027.SZ,X000630.SZ,X600008.SH,X000825.SZ,X600549.SH,X600660.SH,X000629.SZ,X600808.SH,X600315.SH,X600578.SH,X002470.SZ,X600021.SH,X000983.SZ,X600863.SH,X601699.SH,X600307.SH,X600098.SH,X000960.SZ,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.519227123335915,0,0,0,0,0,0,0,0,0,0.150649463970759,0.162844152227138,0,0,0,0,0.0323765105356263,0,0,0,0,0,0,0,0.0358383583199837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345055376585354,0,0,0,0,0,0,0,0,-0.00859376957995964,0,0,0,0,0,0,0
X600028.SH,0.492783547787749,0,0,0,0,0,0,0,0,0,0.00331468776836016,0.0196310413506453,0,0,0,0,0,0,0,0.414345123307914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0376926964952493,-0.0108294760841992,0,0,0,0,0,0
X601088.SH,0,0.0793810952851608,0,0,0,0.0474574604169153,0,0.101965060796053,0,0,0,0.111516980698332,0.0985927525020194,0,0,0,0.0497429220125347,0,0,0,0,-0.015594203264278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015120931926954,0,0.0310855115814545,0,0,0,0,0.391831854322962,0,0,0,0,0,0,0,0,0.00284234712394157,0,0,0,0,0,0
X600011.SH,0,0.0911717299242626,0,0,0,0.133783679775907,0.0572612792286033,0,0.155880325347699,0,0,0.0745775537669384,0.254747349866168,0,0,0.0520388476873751,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0434626548229229,0,0,0,0.00946747382701683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000913903209426321,0,0,0,0,0,0
X600585.SH,0,0.0815030238230548,0.0878141497961782,0,0,0,0.0422050854947435,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386922276060733,0,0,0,0,0,0,0,0,0,0,0.00980816481241371,0,0,0,0,0.0820079021796794,0,0,0,0,0,0,0,0,0.177773114646198,0,0.200908349470471,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0.0232327187821774,0,0,0,0,0,0.186300631241031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373026294629141,0,0,0.201701048068458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.063031485678971,-0.0169025418707068,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112350407651127,0,0,0,0,0.0560991021698416,0,0,0.00348080012410329,0,0,0.580298922414144,0,0,0,0,0,0,0,0,0,0.0389690689180264,0,0,0,-0.0462802072221941,0,0,0,0,0,0,0,0,0.0341981806477899,0,0,0,0,-0.0023702770765603,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.144995308133439,0,0.0661329647215236,0.0188792983186278,0,0,0.00207351123482536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165952408608375,0,0,0.0106961157319116,0,0,0.319349012216433,0,0.179217769904664,0,0,0,0,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,-0.00904398135201939,0.0877960017672015,0,0,0.303738912908417,0,0.164710448107921,0,0,0,0.0217894180680401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558255659642465,0,0.0187734636193894,0,0,0,0,0,0,0,0,0.101425568479045,0,0,0,0,0,0,0,0,0,-0.0270025832345083,0,0,0,0,0,0
X600795.SH,0,0.0608055776951566,0,0.137728293049989,0,0,0.047438790938519,0,0,0,0.0789529681952512,0,0.377728792163151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061776645231919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018189578353963,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.187725316556281,0.262205736736511,0,0,0,0,0,0,0.0480116203795363,0,0,0,0,0,0,0,0,0.19276238638719,0,0.0406150644263077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0265403396726238,0,0,0,0,0,0
X600188.SH,0.31648762149767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239457703770847,0.208100765476337,0,0,0,0,0,0,0,0,0,0.0632412750116403,0,0.258868697132463,0,0,0,0,0,-0.0036221584156639,0.0105306184741252,0,0,0,0,0,0
X600886.SH,0,0,0.0350542363958883,0,0,0,0,0,0.0694014336261948,0.0426243520193472,0,0,0,0,0,0.0115597760641481,0.150499301844806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140293585698198,0.104693745764068,0,0,0,0,0,0,0,0.200984190470122,0,0.0837763627190387,0,0,0,0,0,0,0,-0.0172456838522625,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0.0108015343668108,0,0,0,0,0,0,0.0786544210191444,0,0,0,0,0,0,0,0.113128590907554,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.229855228356164,0,0.0339850732868371,0,0.148964923106512,0,0,0.0850726261478733,0,0,0,0,0,0.133118369534506,0.0741565329856692,0,0,-0.0106917508181205,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0.148281306932813,0,0,0,0,0,0,0.027427042568722,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.104265394699195,0,0,0,0,0,0.00808534841824307,0,0.118565246203623,0,0,0,0,0.0753295321771827,0,0,0,0,0,0,-0.0100184977632362,0,0,0,0,0,0
X600027.SH,0,0,0,0.239027064212993,0,0,0.0595846167082667,0,0.162351669754741,0.185158895187401,0.0255133963801288,0,0,0,0,0,0,0,0,0,0,0.100221358421561,0,0.0162950046616668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0172664095750483,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.0142629075789642,0,0,0,0,0,0,0.209493910058975,0.184804699440624,0,0,0,0,0,0,0,0.233074627532891,0,0,0,0,0.023560003646086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273963101657437,0,0,3.46944695195361e-18,0,0.0661996113218539,0,0,0,0,-0.00817838520280582,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166707896797366,0,0,0,0,0.0975110020937835,0,0,0,0,0,0.082244438963896,0.0338990148895295,0,0,0,0,0,0,0,0,0,0,0,0,0.00237249033790383,0.250457827096091,0,0,0,0,0.101495348856085,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,-0.0257018275462458,0,0,0,0,0,0,0,0,0,-0.0233120290862836,0,0,0,0,0,0,0,0,0,0,0.117329136564744,0,0,0.224778851705092,0,0,0,0,0,0,0,0.10242657654313,0,0,0,0.0841415753597332,0.0529830438046187,0,0,0,0,0.0028610742197783,0.0413914384218771,0,0,0,0,0
X600688.SH,0,0.486783865222326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0477886031724313,0,0,0.241447433873391,0,-0.0809240872344625,0.0562717536572308,0,0,0,0,0,0,0,0.0808553406060337,0,0,0,0,0,0,0,0,-0.0253180306799653,-0.00703842237543165,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0765932504444617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152596507249699,0,0.00939939697294911,0.082097409891856,0,0,0,0,0,0.107440194646241,0,0,0.238137539269797,0,0.0773060469461447,0,0,0,0,0,0,-0.00891745177084194,0,0,0,0,0,0
