,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X601991.SH,X600111.SH,X601600.SH,X600886.SH,X600795.SH,X600362.SH,X600010.SH,X600188.SH,X600688.SH,X600027.SH,X600309.SH,X600583.SH,X002353.SZ,X601992.SH,X000792.SZ,X000898.SZ,X601158.SH,X000883.SZ,X000709.SZ,X000629.SZ,X600489.SH,X600315.SH,X600490.SH,X000825.SZ,X000539.SZ,X600547.SH,X000831.SZ,X600352.SH,X600660.SH,X601699.SH,X000630.SZ,X600549.SH,X000983.SZ,X600307.SH,X600808.SH,X000027.SZ,X600578.SH,X002470.SZ,X000937.SZ,X600863.SH,X000960.SZ,X000959.SZ,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0.0466718559314703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072964996311681,0,0,0.036380902937913,0,0,0,0.00597694687986891,0,0,0,0.00527424025649199,0,0,0,0,0,0,0,0.0843784757391094,0,0.0356873937617402,0,0,0,0,0,0.044947165091625,-0.00161435738595229,-2.16840434497101e-19,0,0,-0.00878204597899528,-0.00375531426280617,0,0,0,0,0,0
X600028.SH,0,0,0.072002609724385,0.0618005300444439,0.128225123146332,0,0,0,0,0,0,0,0,0,0,0.00675590284061376,0,0.0192340790465844,0,0.0482607122701089,0,0.05132917430359,0,0,0.00487125170622818,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393921129098541,0,0.0173335955744043,0,0,0.111448007118797,0,0,0,0.0201660924630691,0,0.0282667462613319,0,-0.017714580357716,0.027316432184725,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.0891766142784594,0,0,0,0,0.117735510695782,0,0,0,0,0.140138351820337,0,0.025556717383174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,-6.7762635780344e-21,0,0.0517977372981089,0,-0.047911942542962,0,0,0,0,-0.0117992483704659,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0521302236230221,0,0,0,0,0.159800640675293,0,0,0,0,0,0.249147365544652,0,0,-0.138467901972022,0.19668114605676,0,0,0,0,0,0,0,0,-0.0737807404912684,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404397935196693,0,0,0,0,0.0913062505836686,0,0,0.0274452486503308,0,0,0,0,0,0,0
X600585.SH,0,0.116581124556496,0.112475088588017,0,0,3.58546353881085e-05,0.19458603344071,0,0,0.0172272971453989,0,0,0,0,0,0,0.056926023575705,0,0,0,0,0.149278907901554,0,0,0,0,-2.16840434497101e-19,0.0602895836493793,0,0,0,0.0416533676554545,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356567116494238,0,0,0,0,0,-0.00824134709314682,0,0,0,0,0,0,0
X600019.SH,0,0,0.296774786710743,0,0,0,0.0593572876660984,0,0,0,-0.0945581340579812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149596060433052,0,0.164177751199972,0,-0.0439121609013811,0,0,0,0,0,0.0135281120785452,0,0,0,0,0.142562111954045,0,0,0,0,0.117040843366952,0,0.123422832622064,0,0,-0.00288148960501306,-8.67361737988404e-19,0,0,0,0,0,0
X601898.SH,0,0,0,0.0560385586602845,0,0.120053012132733,0,0,0,0,0,0,0,0.0336718133975032,0,0,0,0,0,0,0.144024029373359,0,0,0,0,0,0.0464775706444326,0.0161196301477313,0,0,0,0,0,0.183885086354329,0,0,0,0,0,0,0,0,0,0,0,0.0847707826098596,0.0824700642851369,0,0,0,0,0.00119813002183943,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055230306881241,0.0410082737452062,0,0,0,0,0,0,0.134096462084807,0,0,0,0.0240669653516925,0,0,-0.0208955095093849,0,0,0.0220965321600909,0,0,0,-0.0219563573052995,0,0,0.262386874409612,0,0,0,0,0,0,0,-0.00125659932228271,-0.00683454991340269,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473561604971444,0,0,0,0,0,0.0537095273843777,0,0,0,0,0,0.0168639361843028,0,0,0,0.0537635041856653,0,0,0,0,0,0.0166305192015028,0,0.225694634196872,0.0750130286711442,0.0571146180672127,0,0,0,0,0,0.0240828168424488,0.06780565426767,0.016410066449395,0,0,-0.00660161882631362,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0708068174380228,0,0.0640027680948728,0,0.0967848565077963,0,0.0411463848914243,0,0,0,0.160950217164981,0,0,0.180874035035735,0,0,0,0,0,0,0,0,0,0,0,0.089103294725812,0.0955453593011806,0.0820629974151354,0.11112514157775,0.187650673348318,0,0,0,0,-0.126636789903278,0,0,0,-0.0303614165753152,0.0021140169466555,0,0,0,0,0,-0.127369685972506
