,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X601898.SH,X000708.SZ,X600660.SH,X601600.SH,X600010.SH,X600886.SH,X600362.SH,X600801.SH,X002460.SZ,X600188.SH,X002466.SZ,X600352.SH,X600688.SH,X601991.SH,X600795.SH,X000786.SZ,X600111.SH,X601992.SH,X002271.SZ,X000723.SZ,X002353.SZ,X600176.SH,X600027.SH,X600583.SH,X600426.SH,X600516.SH,X600489.SH,X000898.SZ,X600299.SH,X000709.SZ,X600219.SH,X000883.SZ,X601158.SH,X600612.SH,X000553.SZ,X000629.SZ,X000027.SZ,X000630.SZ,X000792.SZ,X600808.SH,X000825.SZ,X000878.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.126832629519425,0.0155919698869457,0,0,0,0,0,0.0854180724680602,0,0,0.0106328776474913,0.105446913744194,0,0,0,0,0,0,0,0,0,0,0.000798213676575944,0,0,0.0542453247959222,0.0765749068289538,0,0,0,0,0,0,0,0,0,0,0,-0.0237909780594294,0.0717421580996189,0,0,0,0,0.00535080788484991,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0282665715559537,0.0335846690086205,0,0,0.0214139897039253,0,0,0,0,0.0962123673445021,0,0,0.0175173532853226,0,0,-0.0237830083074926,0,0,0.0507457795766332,0.00781595241055903,0.0307683981991131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0175992674459258,0.0922184290399748,0,0.00993458757831879,0,0,0.0171278273388858,0,0,0,0.0190737994977478,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.0395446581491943,0,0,0,0,0,0,0.0602065698426959,0,0.314712161313875,0,0,0,0,0,0,0,0,0,0.0449816462820779,0.00836942319165566,0.00359927722288744,0,0.0268408170724265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00510657427019505,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.090770242812794,0,-0.0122949380933789,0,-0.0882151873885713,0,0,0,0,0.0153960828731235,0,0.382683637338521,0,0,0,0,0,0,0,0.0889233487798951,0,0,0.083915911362462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00304476961332082,-0.0122324889711996,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.0625011274870327,0,0,-0.0440562022812926,0,0,0,0,0,0.35249002379409,0,0,0,0,0,0,0,-0.0465157128851837,0,0,0.0759588550475915,-0.260285047917183,-0.00264874067809409,0,0,0,0.209375844004104,0.025732818002717,0,0,0,0,0,0,0,0,0,0,-0.0785831089535817,0,-0.0988675445501888,0,0.33756992545899,0,0.0275855497739348,0,-0.0648627254354932,0,0,0,-0.0864484717885548,0,0
X600019.SH,0,0,0,0,0,0,-0.041935155176707,0,0,0.0394633829146599,-0.0404718905367245,0,0.0440992698893399,0,0.187042176513153,0,0,0.0249440277856965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130760000045327,0,0.0338264732190856,0,0,0,0,0,0,0,0,0,0,0,0.0101533374165845,0,0.0289792982849067,0.0280536737005651,0,0,0,0.0519654621519105,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,-0.0514396329857818,0,0,0,0,0,0,0,0,-0.0658194318907941,0,0,0,0,0,0,0,0.0822955377003516,0,0,0,0,0,0.176373438670943,0,0.898452322588832,0,0,0,0,0,0,0,0,0,-0.0373366303399636,0,0.025288278178059,-0.127000393782401,0,-0.219290704586459,0,-0.00911206470384155,0.0286875806981112,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,-0.194617367319558,0,0,0,0,0,0,0,0,-0.11862642375767,0,0.255770851878967,0,0.241273086020501,0,-0.0115290438049188,0.109132675624681,0.063877004102658,0,0,0.145067430066015,0.225546712178614,0.0269561663259107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01074742994798,-0.0123858950308977,0,0,0,0,0,0
X601898.SH,0.309612815511105,0,0,0,0,0,0,0,0,0.0647068575299934,0,0,0,0.0635407860161931,0,0,0,0.528770738533427,0.00728838487680797,0,0,0,0,0,0,0,0,0.0629975976715033,0.0289968170817691,0.0261101954295779,0,0,-0.096312251503095,0,0,0,0.131607000183237,0,0,0,0,0,0.0519319475080529,0.0330473618054927,0,0,0,0,0,0,0,-0.0461639342698087,0.0442449200772105,0,0,0,0,0,0
X000708.SZ,0,0,0,0.237953020355067,0,0,0,0,0,0,0,0,0.0714928916487902,0,0,0.0120936391643216,-0.248359677328128,0,0,0.355303644515369,0,0,0,0.0399562348626808,0,0,0,0.263312965078781,0.174852455920877,0,0,0,0,0,0.329422765463175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355430128594984,0,0,0,0,0,0
