,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600188.SH,X600547.SH,X600019.SH,X600660.SH,X600886.SH,X601600.SH,X600585.SH,X600011.SH,X600795.SH,X600489.SH,X000792.SZ,X600362.SH,X600010.SH,X600111.SH,X000708.SZ,X600803.SH,X600027.SH,X002460.SZ,X601991.SH,X000301.SZ,X600426.SH,X600160.SH,X000983.SZ,X600219.SH,X601699.SH,X000786.SZ,X600176.SH,X002466.SZ,X002128.SZ,X000807.SZ,X000630.SZ,X600096.SH,X601168.SH,X000877.SZ,X600985.SH,X000408.SZ,X000933.SZ,X000883.SZ,X600995.SH,X600378.SH,X002353.SZ,X000027.SZ,X600299.SH,X600688.SH,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.651337046202946,0,0,0,0.105765308523263,0,0,0,0.174040734882957,0.0716888216039102,0,0,0.0147170119143203,0.126310613104017,0,0.138407150592978,0,0,0,0,0,-0.0248500122498193,0,0,0,0,0,0,0,-0.0382008175537838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0814451283049949,0,0,0,0,0,-0.00789011540567935,-0.0553934380782616,0,0,0,-0.0463198775211104,0,0
X600028.SH,0.285552977722586,0,0.254366389113202,0,0.120658268159361,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00412491751615799,0,-0.0141142955534217,0,0,0.128086075439378,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166567116776276,0,0
X601088.SH,0,0.404631791789263,0,0,0,0.200707638114139,0,0,0.0957540472613362,0,0.0883029660311391,0,0,0,0,0,0,0,0,0,0.0804856253204169,0,-0.106408314491194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00236770908921959,0,0.0129633786048839,0,0,-0.0376399921267892,0,0,0,0,-0.0308955062147524,0,0.00503614323879743,0,0,0,0,0.0182820364219583,0,0
X600309.SH,0,0,0,0,0,-0.0205655538634415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200373181618278,-0.267457116860524,0,0,0,0.16701767617492,0,0,0,0,0,0,0.0123432082370801,0.383155901825464,0,0,0,0,0,0,0,0,0,0,0.0519252218881067,0,0,0,0,-0.00236242134804794,-0.101113681466584,-0.0610500829033666,-0.0315231942619206,0,0,0,0,0,0
X601898.SH,0,0.271643712114153,0.0113311669182291,0,0,0.171068067099692,0,0,0,0.0950367961634507,0.203985311850866,0,0,0,0,0,0,0,0,0,0,0.114991596953439,0,0,0,0,0,0,0,0.140945112531454,0,0,0,-6.93889390390723e-18,0,0,0,0.0337597619078662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000452040600447764,0,0
X600188.SH,0,0,0.156560948995622,0,0.132580228476762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0230429600845877,0,-0.159170307353772,0,0,0,0,0,0,0,0.68521762962357,0,0,0,0,-0.0863966757350954,0,-0.107822255361394,0,0,0.357768249785956,0,0,0,0,0,-0.0880152794452493,0,0,0,0,0,0,0.0415272108562038,0,0,0,0.00674259379047052,0,0
X600547.SH,0,0,0,-0.127520440051179,0,0,0,0,0,0,0,0,0,0,0.690988179102916,0,0,0,0.0368267845216181,0.0410735311675572,0,0,0,0,0,0,0.162378556777068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.231248882933247,0,0,0.0206281393625804,-0.0475981093964998,0,0,0,0,0.0344175693360819,0,0
X600019.SH,0,0.300624864928594,0,0,0.0950321775950009,0,0,0,0,0,0,0,0.149169427016159,0,0,0,0,0,0,0.303449718063659,-0.0925642508659016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575277655957739,0,0,0,0,0,0,-0.148173272925227,0,0,0,0,0.0976983666319019,0,0.132359073897618,0,-0.114057689222938,0,0,-0.0048225869635979,0,0
X600660.SH,0,0,0,0,0,0,0,-0.0979464273190085,0,0,0,0,0,0,-0.108771000853069,0.183499792642604,0,0,0,0,0,0.140011586043967,0.133236324964821,0,0,0,0,0,0,0,0.359402833428975,0,0.0496837703525769,0,0,0,0,-0.0563972405992661,0,0,-0.00429530173313227,0,0,0,0,-0.14706374512695,0,0,0,0,0,0,-0.055746670955894,0,0,0,-0.0636590872580811,0,0
X600886.SH,0.310150406162575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769198041170071,0,0,0,0,0,0,0,0,-0.257356758904718,-0.174606743029957,-0.0690418962395156,0,0.135652775674593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0684778335931121,0,0.00971227356784584,0,0,0,-0.0161751361647688,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0616445469285367,0,0,0,0,0.438089293503918,0,0,0,0,0,0,0,0,0,0.0357280504874578,0,0.351851648823167,0,-0.0480765397527733,0,0,0.340574848784246,0.0540576432065469,0,0,0.161488881165658,0,0,0,0,0.115824642005393,0,0.00879486658848816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714944864371296,0,0,0,0,0,0,0,0,0,0.314947108364257,0,0,0.0291107258414965,0,0,0.141693619800333,0,0,0,0,0,0.0321277292008722,0,0.038797240333766,0,-0.0841921196321154,0,0.0510059810723199,0,-0.00178320318091951,0,0,0,0.0618982417470574,0,-0.0519823417381125,0.100802149692311,0,-0.0385115018730465,0,0,0.00207738704648828,0,0
X600011.SH,-1.73472347597681e-18,0,0.100659570521523,0,0,0,0,0,0,0.0351759431831084,0,0,0,0.170567416691308,0,0,0,0,0,0,0,0.0642416039964138,-0.069337911726366,0.307104947598786,0,0,-0.102787709014324,0,0.0382781219059131,0,0,0,0,0,0,0,0,0,0,0,0.0718197398282035,0,0.089747972218924,0,0,0,0,-0.00264685298761222,0,0,0,0,0,-0.101188516698033,0,0,-0.0548932336408505,0,0
