,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X601898.SH,X600688.SH,X600547.SH,X600795.SH,X300072.SZ,X601600.SH,X601991.SH,X600309.SH,X600660.SH,X600362.SH,X600886.SH,X600188.SH,X600027.SH,X000709.SZ,X002466.SZ,X600157.SH,X600339.SH,X600111.SH,X000898.SZ,X000959.SZ,X600489.SH,X600299.SH,X601158.SH,X600008.SH,X002460.SZ,X000883.SZ,X600352.SH,X600219.SH,X000408.SZ,X600160.SH,X600578.SH,X000630.SZ,X000539.SZ,X000792.SZ,X000723.SZ,X600583.SH,X600176.SH,X600021.SH,X000027.SZ,X002271.SZ,X002092.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0.0583587319543496,0,0,0,0.0166759396903186,0,0,0,0,0,0.136128678200089,-0.00589307244347116,-0.0344275944910305,0,0,0,0,0,0,0,0,0.0185788808990269,0,0,0,0,0,0,0.0175009636602729,-0.0445175230670374,0,0,0,0,0,0,0,0,0,0,0.0725937997791717,0,0,0,0,0,0,-0.0132377005192096,-0.000572731398093212,0,0,0,0,0,0
X600028.SH,0.121436869921721,0,0,0,0,0,0,0.00704971428564035,0,0.0563813668473538,0,0,0.0403973832973661,0,0,0.0338720409298882,0,0.0464283955449028,0,0.0157467087448641,0,0,0,0,0,0,0.0793728982523531,0,-0.136147713182557,0,0,0,-0.0528476061069513,0,0.00405164222662378,0,-0.00337531391251814,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00336747329213326,0.00620112884353838,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,-0.0206797932417193,0,0,0,0,0,0,0,0.0538593781232207,0,0,0,0.0569550719031702,0,0,0,0,0.139340872937824,0,0.175135227240824,-0.00321709715400148,0,0,0,0,0,0,0,0,0,-0.00911601141874529,0,0,0,0,0,0,0,0.0255057587410603,0,0,0,0,0.0100545177666038,-0.012642592295147,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.041853024017698,0,0,-0.0741165915643655,0,0,0,0,0,0,0,0,0,0,0.532499014754661,-0.0353274213073486,0,0,0,0,0.0520083667462515,0,0,0,0,0.000969582421710644,0.0458304376187516,0,-0.00544923231503589,0,0,0,0,0,0,0,0,0,-0.00324158872089295,-0.0338587352069588,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,-0.092875719294502,0,0,0,0,0,0,0,0.0795922953583209,0,0.0963793368395421,0.0931962909225129,0,0,0.0848199025948825,0,0,0,0,0,0,0.0198371612650164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0395364882433273,0,-0.0763841204378566,0.0545419652629323,-0.0248832348435207,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.0318434995538537,0,0,0,0,0,0.124580573044841,0,0,0,0.185331226884027,0,0,-0.1091434430396,0.0702499528424213,0.166015522196109,0,0,0,0.00146937684295799,0,-0.172639036231035,-0.00404177650387028,0,-0.0436525348221308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113458610516912,0,0,-0.00866202627924762,-6.7762635780344e-21,0.142967622360746,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108312199806415,0,0,0,0,0,0,0,0,0,0,0,0,0.333937208084123,0,0,0,0,0.080376174839215,0,0,0,0,0,0.00577785297753591,-0.0350556340961276,0,0,0,0.107961513030113,0,0,0,0.00767783178081042,0,0,0,0.00214294146076077,0.0103902388707587,0,0,0,0,0,0
X601992.SH,0,0,0,-0.0367021443927224,0,0,0,0,0,0,0,0,-0.0166868109492053,0.0636555993763901,0,0,0,0,0,0,0,0.643071044032283,-0.118569945396553,0,0,0,0,0.317147379723448,0,0,0,0.297355404487586,0,0,0,0,0,0.128349329549564,0,0,0,0,0,0,0,0,0,0.0816286828975235,0,0,0.01205736074093,0.014142509101516,0,0,0,0,0,0
X601898.SH,0,0,0.152173214366355,0.0453546949318884,0,0,0,-0.00841843429357387,0,0,0,0,0,0,0,0.0282147116332726,0,0.181567217466099,0,0.124419388837145,0,0,0.0195186063545385,0,0.063468255708158,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0746781583964527,0,0.117575149694618,0.0628143300920067,0,0,0,0,0,0,0.248525461394897,0,0,0,0,0,0,0.00339726605838742,0.00421904168005465,0,0,0,0,0,0
X600688.SH,0,0.321132480391448,0.0453319655936663,0.05775899202038,0,0,0,0.0128768748167979,0,0,0,0,0,0,-0.0384733586526979,0.0310529795028139,0,0.044275399320107,0.0714873100265264,0,0,0,0,0.157731113231705,0,0,0,0,0,0,0,0,-0.0731117058062595,0.0202354563234296,0,0,0,0,0,0,0,-0.135758077918933,0,0,0,0,0,0,0,0,-0.00918312245565039,0.0114198161841594,0,0,0,0,0,0
