,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X002466.SZ,X600585.SH,X000792.SZ,X000301.SZ,X601898.SH,X600011.SH,X600019.SH,X600111.SH,X600660.SH,X600010.SH,X000877.SZ,X002271.SZ,X000708.SZ,X600547.SH,X600886.SH,X601600.SH,X600795.SH,X600176.SH,X600426.SH,X600362.SH,X600803.SH,X601991.SH,X600027.SH,X000629.SZ,X000983.SZ,X000408.SZ,X600348.SH,X600096.SH,X000723.SZ,X000786.SZ,X600160.SH,X601699.SH,X600219.SH,X002080.SZ,X300073.SZ,X600141.SH,X600157.SH,X002353.SZ,X000933.SZ,X600295.SH,X600378.SH,X600549.SH,X600801.SH,X000807.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0166424437271917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0778053913932854,0,0,0.295029393802279,0,0,0,0,-0.0967502776171762,0,0.0501483567876637,0,-0.0057159177179581,0,0,0,0,0,0,0,0,0,0.0859943477529758,-0.00975902286649881,0.0110869576130871,0,0,0,0,-0.0178257957942057,0,0
X601088.SH,0,0,0,0.0273983552509077,0.304372919066231,0,0.134912650736946,0,0.118207931232444,-0.0350218624038898,0,0.0679152152620663,0,0,0,0,0,0,0,0,0.0536710148757762,0,0,0,0,0,0,0,0,-0.111057429085387,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187126639334885,0.238299632121749,0,0,0,0,0,0,0,0,0,0,0,-0.0158522592524178,0,0
X600028.SH,0,0,0,0.0603902111470255,0,0,0,0,0,0,0,0.0271314702956645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580172939390748,0,-0.0111136062401806,0,0,0,0,0,0.0136488170397495,0,0,0,0,0,0,0,0,0,0,0,0,0.00241402253766289,0,0,0,0,-0.0362254570917095,0,0
X600309.SH,0,0.116458959426173,0,0,0,0,0,0,0,-0.00789225996674697,0.0788947513457813,0,0,0,0,0,0,0.0647127434114138,0.00394160365160571,0,0,0,0,0,0.00413344516925068,0,0,0,0,-0.0163242998552583,0,0,-0.0205500542419487,0,0,0,0.0123294833031815,0,0,0,0,0,0.163520389251282,0.0377505325199613,0,0,0,0,0,0,0.0897086268515976,0,0,0,0,0,0,0,0
X600188.SH,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0.429955545729258,0,0,-0.0659316715899596,0,0,0,-0.0350707463294167,0,0,0,0,0,0,0,0,0,0,0,0.0315852715388297,0.0724305513711038,0,0,0,0,0,0,0.341721442689909,0,0,0,0,0,0,0,0,0,0.0450156656995574,0,-0.00540460712328801,0,-0.086316748515868,-0.00177127282562944,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.0857837031336765,0,0.245691273823981,0.0352198967192868,0,0,0,0,0,0,0,0.159670045375905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065100020946529,0,0,0,0,0,0.102960803880069,0.276919669370534,0,0,0.0981757716282449,0,0,0,0,0,0,0.00406813382981434,-0.0841384390506815,0,0,0,0.0282571910387851,0,0
X002466.SZ,0,0,0,0,0,0.586065337514876,0,0,0.0456193894114872,0.0188737298073398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0371910517449172,0,-0.173386877978494,0,0.0999583477952405,0,0,0.0012521813602651,0,0,0,0,0.0920211751232559,0,0.287919788843416,0,0,0,0,0,0,0,0,0,0.0637524513785258,0.0174564082153925,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0274779370515392,-0.122072480774944,0,0,0,0,0,0,0,0,0,-0.00124864302677421,0,0,0,0,0,0,0,0,0,0,0,0.227851895764052,0,0,0.0162926215119726,0,0.0498616173182195,0,0,0.122862800014785,0,0,-0.00899915334060196,0,0,0,0,0,0,0,0,0,0.179399641722715,0,0,0.00893065628839252,0.025187382217194,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,-8.67361737988404e-19,0.2532915191405,0,0,0,0,0.0946180592728376,0,0,0.0202268876861663,0.100777855827028,0,0,0,0,0,0.0763265148970158,0,0,0,0,0.0747733603574161,0,0,0,0,-8.67361737988404e-19,0.0822341530942829,0,0,0,0,0,0.241004052125692,0,-0.0145166355896247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0372880424973622,0,0
X000301.SZ,0,0,0,-0.0875753876094668,0,0,0.361957098339364,0,0,0,0,0,0,0,0.0822815427439736,0.101967611569876,0,0,0.0704146170079076,0,0,0,0,0,0,0,0,0,0,0,0,0.332710810961048,0.064933780147899,0,0,0,0,0,0,0.097833254925955,0,0,0,0,0,0,0,0,0,0,0,-0.108992678271801,-0.115243194638579,0,0,0,0.078481153068808,0,0
