,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X600309.SH,X601898.SH,X601600.SH,X600688.SH,X600188.SH,X600795.SH,X002466.SZ,X601992.SH,X600362.SH,X600660.SH,X601991.SH,X600547.SH,X300072.SZ,X600886.SH,X600111.SH,X000709.SZ,X600157.SH,X600027.SH,X002460.SZ,X600516.SH,X000898.SZ,X000959.SZ,X600339.SH,X600489.SH,X601158.SH,X600808.SH,X002092.SZ,X002271.SZ,X600352.SH,X600219.SH,X000883.SZ,X600176.SH,X000983.SZ,X000630.SZ,X000723.SZ,X600299.SH,X600578.SH,X600549.SH,X000792.SZ,X600008.SH,X000408.SZ,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600688.SH,0,0,0,0,0.158700132810857,0,0,0,0,0,0,-0.0485770169875624,0,0,-0.00962831664534592,0,0,0,-0.0203983279049939,-0.032613114464764,0,0,0,0,0,0,0,0,0,-0.0416917051533907,0,0,0,0,0.0864793800827894,0,0,0,0,0,0,0,0,0,0.0481367199010581,0,0,0,0,-0.0197227587794059,-0.0105125646615932,-0.0242920302618019,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0.0910468381640727,0,0,0,0,0,0.0228233684830275,0.0355433728956685,0,0,0,0.0311612544541931,0,0,0,0.366347059112806,0,0,0,-0.0712099025135885,0,0,-0.206011045280354,0,0,0.017512897862,0,0,0,0,0,0,0.477486105577611,0,0,0,0,0,0,0.0223144838512225,0.0148166264973271,0,0,-0.0161577731096473,-0.0141592615041469,0,0,0,0.170164072470877,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0760799131578313,0,0,0,0.0436004586895139,0,0.0238737763895697,0,0,0,0.0500122720036937,-0.0418282377367858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0121084157688199,-0.0164183560122041,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.640807921783672,0,0,-0.234089823971118,-0.0117874462949978,0,0,0,-0.112330839565114,-0.0343489894752815,0,0,0,0,0.161000745820712,0,0,0,0,0,0.306659667062336,0,-0.103606728069747,0,0.0011957263310558,-0.011264080782641,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0254272952999771,0,0,0.698515820614343,0,0,0,0,0,0,0,0,0,0,0,0,0.153727384574936,0,0,0,0,0,0,0,0.276043803362371,0,0,0.28156253479405,0,0,0,-0.0111999931544599,-0.00229974411257683,0,0,0,0,0,0
X600362.SH,0,0,0,3.46944695195361e-18,0,0,0,0.0473607838816171,0.36188887022913,0,0,0.110810108521344,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0638712528480366,0,0,0,0,0,0,0,0,0.0361262056024804,0,0,0,0,0.118451729649078,0,0,0,0,0,0,0,0,0.080388374444923,0,-0.0099859988170706,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0.0894253625539628,0,0,0,0.0589775765446244,0,0,0,0,0.0134579279306086,0,0,0,0,0,0.00435867102890114,0,-0.0931432196452668,0,0,0,0,0.0277956940769218,0,0,0,0,0,0,0,0.160284192197636,0,0,0,0,0,0,0,0,0,0,0,0,0.159233542916534,0,0,0.0211435908473851,-0.03297308020422,0,0,0,-0.175814180423471,0,0
X601991.SH,0,0,0,0.107528362670259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111948789020997,0,0,0.0342506725664514,0.0495826698242345,0,0,0,0,0,0.04741298985501,0,0,0,0,0,0,0.119318018879149,0,0,0.271558572231556,0.0029871729571828,0,0,0,0,0,0,-0.00891396758990306,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0.31093753402169,0,0,0,0,0,0,0.117403626588081,0,0,0,0,0,0.0709876300161708,0,0,0,0,0,0.00764195523394951,0,0,0,-0.115302404285008,0,0,-0.0142119164898047,0,0,0,0,0,0,0,0,-0.0184631707445748,0,0,0,0,0.269086662724196,-0.219204729542298,0,0,-0.0582230430411011,0.123837806903521,0,0,0,1.38750075850625,0,0
X300072.SZ,0,0,0,0,0,0,0,0.55622363355536,0,0,0,0.0754583760996538,-0.0556486494453322,-0.122077260422086,0,0,0.397539509137719,0.637047021877763,-0.232026395457358,0,0,0.746303640209749,0,0,0,0,0,0,-0.286004989287316,0.0824954414334822,0,0,0,0.210011085333743,0,0,0,0,-0.697769679843264,0,0,0,0,0,0,0,0,-0.228607088933895,0,0,-0.0613110367173132,0.204287716313225,0.373808538083032,0,0,0,0,0
