,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X600027.SH,X601991.SH,X600886.SH,X600362.SH,X600157.SH,X600299.SH,X600111.SH,X601992.SH,X600188.SH,X601158.SH,X000792.SZ,X600160.SH,X600583.SH,X000027.SZ,X600623.SH,X600352.SH,X000539.SZ,X600309.SH,X600660.SH,X002466.SZ,X000709.SZ,X000898.SZ,X000630.SZ,X000629.SZ,X600098.SH,X000883.SZ,X000060.SZ,X002470.SZ,X600021.SH,X000012.SZ,X600547.SH,X600489.SH,X600578.SH,X600315.SH,X002004.SZ,X300072.SZ,X600863.SH,X600022.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.533252462291328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291601752689368,0.0313556518094754,0.0551686269344007,0,0,0,0,0,0,0,0.0757444540508238,0,0.027411699835366,0,0,0,0.0291964904701734,0,0,0.0130127194527303,0,0,0,0,0,0,0,0,0,0.00453005236523531,0,0,0,0,0,0,0
X600028.SH,0.242850334614282,0,0.143061642796893,0,0,0,0.0607559486458796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013024635148081,-8.67361737988404e-19,0.199697410716095,0,0,0,0,0,0,0,0,0,0,0.0400236193163784,0,0,0,0,0,3.02861943719452e-05,0,0,0,0,0,0.0205907866256978,0,0,0,0.0132802033332111,-0.00138536891670559,0.0251196457469253,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.149718973892304,0.205158799649039,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0528586067546936,0,0,0,0,0,0,0,0,0,0.0444065716109919,0,0,0,0,0,0.108933534170402,0,0,0.0331998705867884,0,0,0,0,0,0,0,0,0,-0.0069840243585123,-0.0129010866192064,0.0377483061629064,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.015810927593618,0,0,0,0,0,0.128061281685652,0.00789074917056513,0,0,0,0,0.120249205109133,0,0,0.061963408578125,0,0,0,0,0,0.016570600049038,0,0,0,0,0,0,0.0510474650617098,0,0.0291684468809616,0,0,0.0563420796368574,0,0,0,0,0,0,0,0,0,0,0.022924242536233,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.00320415433269305,0,0,0.0353007818825283,0,0,0,0.413410249716193,0.00522082749987013,0.0901741788462095,0,0,0,0,0,0,0,0,0,0,0.00572041336111768,0,0,0.0701023252099973,0.134829338892434,0,0,0.0846341749295877,0,0,0,0,0,0,0,0.00299732699500032,0,0,0,0,-0.00222414626399782,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129468119338817,6.93889390390723e-18,0,0,0,0.186413914089856,0,0,-1.73472347597681e-18,0.00909957384609653,0,0,0,0,0,0,0,0,0.0563586159483002,0,0,0,0,0,0.0463234878976519,0,0,0,0,0.143912281898115,0,0,0,0,0,0,0,0.00346364135041949,0.0176887105841019,0,0,0,0,0,0
X600585.SH,0,0.179500839333513,0,0,0,0,0,0,0,0,0.00169258895642923,0,0,0,0,0,-0.0243713785780702,0,0.0218638253885928,0,0,0,0.0635366026185754,0.20806353144072,0,0,0.136909117580727,0,0,0,0.027319287987376,0.0238683203686671,0,0,0,0,0,0.0894829401868406,0,0,0,0,0,0,0,0,0,0.0345359565609841,0,0,-0.00568300333831666,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.136351084757324,0,0,0,0.08561299669794,0,0,0.0685386778401604,0.137774925505221,0.0806493507040264,8.55705168919148e-05,0.0598215362219705,0,0,0.0372323753871082,0,0,0,0,0,0,0,0,0,0,0.0614047033521202,0,0.0636358826023327,0,0,0.0381230023298724,0,0,0,0,0,0,0,0,0,0,0.000978996383642766,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.0512735398738782,0,0,0,0.0677404839271277,0.00619764907574455,0,0,0.0279030120353636,0,0,0,0.087213146976828,0,0,0.014382021068804,0.0445139015484422,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0459377360633946,0,0,0,0.0277149935517839,0,0,0,0,0,0,0,0,0,0,-0.00133032607610812,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0.117338388081639,0,0,0.0287314416081056,0.0234765370602909,0.0195226615517013,0,0,0,0.263569836155327,0,0,0.0482109935010254,0,0,0,0,0,0,0,0,0,0,0,0.00524407411519927,0,0,0.117558128509951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
