,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600585.SH,X600660.SH,X600886.SH,X002466.SZ,X600547.SH,X601600.SH,X002460.SZ,X000792.SZ,X600795.SH,X601699.SH,X000708.SZ,X000301.SZ,X600010.SH,X600111.SH,X600362.SH,X000983.SZ,X600027.SH,X000877.SZ,X600426.SH,X600803.SH,X000786.SZ,X601991.SH,X600489.SH,X002271.SZ,X600985.SH,X600160.SH,X000408.SZ,X000630.SZ,X000807.SZ,X600176.SH,X000933.SZ,X600612.SH,X000932.SZ,X600348.SH,X600219.SH,X601168.SH,X300037.SZ,X002128.SZ,X600157.SH,X000027.SZ,X600688.SH,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0747341634305459,0.423685270495038,0.0842646588721023,0.0993784695789187,0,0,0,0,0,0,-0.270789761731903,0.0821517646178353,0,0,0,0,0,0.140966822421009,0,0,0,0,0,0,0,0,0,0.0548181034718307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0135787305476778,0.00406542927798926,0,0,0,0.0200027326708676,0,0
X601088.SH,0,0,0.0777721148916216,0,0.197357968718182,0.181092857778708,0,0,0,0,0,0,0,0,-0.00448077409689971,0,0.0393478501902311,0.155320241855327,0,0,0,0,0,0,0.15743235821227,-0.0385311724809438,0,0,0,0,0,0,0.0748417167110042,0,0,0,0,0,0,0,0,-0.0319401824365114,0,0,0,0,0,0,0,0,0,0,0.0203673969224658,0,0,0,0,0,0
X600028.SH,0.472123013500084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0013748763370344,0,0,0,0,0,0,0.0384995553335497,0,0,-0.123043902245319,0,0,0.133557700334519,0,0,-0.0974015810863401,0,0,0,0,0,0,0.0572939199784679,-0.0219184478011853,0,0,0,0,0,0,0,0,0,-0.0496405091045244,0.0419079551754668,0,0,0,0,0,0
X600309.SH,0.0465928106550581,0,0,0,0.0317527542743296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239657546142884,0,0,0,0,0,0.209183493793854,0.152431538261447,0,0,0,0,0,0.214731572394054,0,0,0,0,0,0,0,0,0,0,0.254483986110557,0.410630585770442,0,0,0,0,0,-0.0598918564623317,0.0404451003242635,-0.0452602595918908,0,0,0,0,0
X600188.SH,0,0.172798962958091,0,0,0,0,0,0,0,0,0,0,0.0996713871946566,0,0,0,0,0.208373095711128,0,0,0,0,0,0.104877316492323,0,0,0,0,0,0,0.0658693589868008,0.0504332060044039,0.161024896021203,0,0,0,0,0,0,0,0,0.0592753073030605,0,0,-0.0518501847838523,0,0,0,0,0,0,0,-0.0112809122760107,0,0,0,0,0,0
X601898.SH,0.0711609527458545,0.274693960033869,0,0,0,0,0,0,0,0,0,0,0,0,-0.100780673198029,0,0,0,0,0,0,0,0,0.172558986042621,0,0,0,0,0,0,0,0,0.033032858984181,0,0,0,-0.0290523341788568,0,0,0.0268698991644958,0,0,0,0,0,0,0,0,0,0,0.0662728472356197,0.0230295215274983,-0.0136197479588565,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.150760360825238,-0.00978017989857641,0,0,-0.0343028244952528,0,0,0,0,0,-0.0878425045879166,0,0,0,0.457445047818494,0,0,0,0,0.00552451534990051,0,0.0186674294805475,-0.0624791706657685,0,0,0,0,0,0,0,0,0,0,0,0.0225251805179541,0.100405320588121,0,0,0,0,0,0.0053332748255661,-8.67361737988404e-19,-0.02036008057332,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.137334918628373,0,0,0,0,0,-0.00862313161655704,0,0,0.175137778839459,0,0,0.318258981645054,0,0,0,0,0.0310083781855526,0,0,0.0111474698809493,0,0.0365381513723475,0,0,0,0,0
X600585.SH,0,0,0,0.183452380614111,0,0,0,0,0,0,0,0,0,0,0.0633304209343103,0,0,0,0,0,0,0,0,0.0671485517237099,-0.0580713276492335,0.110746870031427,0.0165506718639132,0,0.141619614447373,0,-0.108072847554885,0,0,0,0,0,0,0.0399855673806603,0.0238441883980062,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00117498589210664,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0.0224050621100307,0,0.211675697699298,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103376881680035,0.0423030944084222,0,0,0,-0.167861875426342,-0.0522724509499036,0,0,0,-0.00986838283657718,0,0,0,0,0,0,0,0.0474776656164558,0,0,0,0,0,0,0.0181174709012772,-0.00573913854862719,0.145701001240557,0,0,0,0,0
