,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X601158.SH,X600583.SH,X000630.SZ,X000027.SZ,X601992.SH,X600309.SH,X000539.SZ,X000709.SZ,X000898.SZ,X000883.SZ,X002470.SZ,X600352.SH,X600021.SH,X600660.SH,X600623.SH,X601918.SH,X600098.SH,X000792.SZ,X600863.SH,X600489.SH,X002004.SZ,X300072.SZ,X600578.SH,X600022.SH,X600547.SH,X000060.SZ,X600808.SH,X600008.SH,X600160.SH,X000629.SZ,X600307.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.549365546236872,0.0755061495163493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00258371305221503,0,0,0,0,0,0,0,0,0,0,0.0327071147781918,0.096616208394452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0184354908661449,-0.0213073922156596,0.0346490851379212,0.0278190955089119,0,0,0,0
X600028.SH,0.217034448749951,0,0.226414566961184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12248728195931,0,0.0654134806662534,0,0,0,0,0,0,0,0,0.0105379062969412,0,0.00766791855257053,0,0,0,0,0.0177820166066336,0,0,0,0.100749484193875,0,0,0,-6.93889390390723e-18,0,0,0.0559955772634413,0,-0.00931752540063227,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0.0363976434660911,0,0,0,0,0,0.143944168486589,0,0.271441781300236,0,0,0.275768363472338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0715148653552633,0,0,0,0,0,0,0,0,0,0,-0.0021998213714308,0,0,0,0,0,0,0
X600011.SH,0,0,0.0724738822196323,0,0,0,0,0,0,0,0,0.391337106231169,0.184022746474828,0,0,0,0,0.0127168458840951,0,0,0,0,0.166380689203586,0,0,0,0,0,0.0386281168966994,0,0,0,0,-0.0105543951770772,0,0,0,0,0,0.00121578073514628,0,0,0,0,0,0,0,0,0,0,-0.013119068357628,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282944253741042,0,0.00447933145463586,0,0.186880084960912,0.0654445005525159,0,0,0,0,0.059656041366683,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.137169037574347,0,0,0,0,0,0,-0.0160929842981998,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.111113181201352,0,0,0.0301902769076151,0.0826598971576458,0.226332922998855,0,0,0,0.206700413032446,0,0,0.0884886797684187,0,0.0182802221356492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0306139706688447,0,0,0,0,0,0,0
X600585.SH,0,0,0.189033725979798,0,0.0810399843459188,0,0,0,0,0,0,0,0,0.036386323511579,0,0,0,0,0.0407575817095583,0,0,0,0,0.39591103303437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137750472392515,0,0,0,0,0,-0.0165405579446937,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.356082325745113,0,0,0,0,0,0,0,0,0.106608314876146,0.0324333745081695,0,0.0363068818701407,0,0,0,0,0,0,0,0,0.229877028377965,0,0,0.15391799331867,0,-0.0156031175801852,0,0,0,0,0,-0.0268872982665283,0,0,0,0,1.0842021724855e-19,0,0,0,-0.0383115804245959,0,0,0,0,0,0,0
X600795.SH,0,0,0.013709878964664,0,0,0,0,0,0,0.0562211979692428,0,0.170171251839139,0.347388106908652,0,0,0,0,0,0,0,0,0,0.171638703512072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211463094600566,0,0.0383040066816595,0,0,0.0223143171792135,0,-0.01892971061455,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.239077067946123,0,0,0,0,0,0,0.123713797922276,0,0,0,0.0957318883418963,0,0,0.0882600952970083,0,0,0,0,0,0,0,0,0,0,0,0,0.0184487053322151,0,0,0,0,0,0.0249082951433013,0,0.0466848718486229,0,0,0.0649769952009404,0,0.199613954788727,0.0129825085914082,0,-0.0045268278371266,0,0,0,0,0,0,0
