,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X000708.SZ,X002460.SZ,X600660.SH,X002271.SZ,X600547.SH,X600362.SH,X600010.SH,X600011.SH,X000786.SZ,X600176.SH,X601898.SH,X600886.SH,X601600.SH,X600111.SH,X000301.SZ,X600188.SH,X601991.SH,X002466.SZ,X600426.SH,X600352.SH,X600801.SH,X000027.SZ,X600803.SH,X600795.SH,X000932.SZ,X600219.SH,X002080.SZ,X600489.SH,X600688.SH,X600299.SH,X600486.SH,X000898.SZ,X600516.SH,X600027.SH,X002353.SZ,X000807.SZ,X600315.SH,X600157.SH,X000723.SZ,X601168.SH,X601992.SH,X000630.SZ,X000883.SZ,X300037.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.264968829865634,0,0,0,0.0372961646652284,0,0,0,-0.00219442349552988,0,0.012237385999181,0.0177027727368431,0,0,0,0,0,0,0,0.013343739837224,0,0,0,0.00986512297473507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381730813783756,0.0222655710928182,0,0,0,0.0463320505873622,0,0,0,0,0,-0.00175848490973685,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0.0330691306987606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0607041092659214,0.0377996763308784,0.0729589067722133,0,0,-0.000522675575078734,0,0,0,0.0562099335860212,0,0,0,0,0,0,0,0,0,0.0879946200207049,0,0,0,0,0,0,0,0,0,-0.0220954917581909,0,0,0,0,0.0243620401753488,0,0
X601088.SH,0,0,0,0,0,0,0,0.0115086500291392,0,0,0,0.108662311102526,-0.0345501183815668,0.112954905111005,0,0,0,0,0,0,0,0.170320946761958,0,0.0527888324552959,0,0,0,0.0180169068777841,0,0,0.0285251817695829,0,0,0,0,0,0,0,0,0,0,0.113329629957166,0,0,0,0,0,0,0,0,0,0.0141794013680375,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.31808914600913,0,0,0,0.0974872255748419,0,0,0,0,0,0,0,0,0.176880714146116,-0.0250485490250634,0,0.0577365178835375,0.0117272071482475,0,0,-0.0474096664618877,0,0,0,0,0,0,0,0,0.0519895220428612,0,0,0,0,0,0.24870159715945,0,0,0,0,0,0,0,0,0,-0.0155932326778269,0,0,0,0.1369438447911,0,0
X600585.SH,0,0,0,0,0,0,0.0345391818340682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128649349376994,0,0,0,0,0.104596601624346,0,0,0,0.0153635701994719,-0.0138438815167002,0,-0.00366423904673867,0,0,0,0,0,0,0,0,0.0575942390798029,0,0,0.0646515330367692,0,0,0,0,0,-0.0169579801964429,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,-0.0198910345583071,0,0,0,0,0,0,0,0,0.212606042807561,0,0.0501222068436719,0.11353900145986,0.231611886422164,0,0,0,0,0,0,0,0,0,0.293136830000109,0,0,0,0,0,0,0.167785034178667,-1.73472347597681e-18,0,0,0,0.0319308315915831,0,0,0,0,0,0,0,-0.0487959680360308,-0.0199194538358722,0,0,0,0,-0.0397053179549295,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158902400459168,0,-0.778443965984794,0,0,0,0,0.192325679854318,0,0.0416624971727085,0,0,0,-0.357330630937122,0,0,0,0,0,-0.0329192113025199,0,0,0,0.201656035458044,0.25289893478567,0,0,0,0.217758475705723,-0.162559740099512,0,0,0,0.17161422103728,0,0,0,0,0,0.0224202989588108,-0.0701030048302703,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.0661183815506528,0,0,1.38777878078145e-17,0,0,0.0610422921563275,0.432908117321795,0,0,0,0,0.108624138158244,0,0,0.0230886190150984,0,0,0,0,0.0515326864047752,0,0,0,0,0,0,0,0.218243932560526,0,0,0,0,0,0,0,0.16804672080089,0.412345338925978,0,0,0,0.0502441075793953,0,0.0205092788077528,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0.182387060552734,0,0,-0.108109165643216,0,0,0,0,0,0,0,0,-0.0351901829061224,0.1393521500114,0,0,0,0,0,0,0,0.142221876891049,0,0,0.0292876334926319,0,-0.212514993573641,0,0,0.122242940773378,0,0,0,0,0,0,0,-0.0501527934216241,0,0,0,0,0.162661459243206,0,0,-0.0257945609194317,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,-0.374711052744844,0,0.0696049558556504,0.172087801188377,0,0,0,0,0,0,0.133438742458879,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0921128720930623,0,0,0,0,0,0,0,0,-0.101867193188301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0156441186478976,-0.0115761891935222,0,0,0,-0.0464345260643781,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0.023554760055459,0,0,0,0,0,0,0,0.121455424064778,0,0,0,0.0505102368284616,0,0,0,0,0,0,0,0,0.0145547207276548,0.252298580311216,0,0,0,0,0,0,0.0151662038307909,0,0.0508930278765054,0,0,0,0,0.0953960973361371,0,0,0,0.00104477399531769,0,0,0,0,-0.0850971891837787,0,0
