,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X600547.SH,X601898.SH,X600352.SH,X600660.SH,X000723.SZ,X601991.SH,X600688.SH,X600886.SH,X600188.SH,X600795.SH,X600362.SH,X601992.SH,X600027.SH,X600801.SH,X000898.SZ,X600176.SH,X600111.SH,X600516.SH,X002466.SZ,X000709.SZ,X000786.SZ,X002460.SZ,X600299.SH,X002271.SZ,X000629.SZ,X600219.SH,X002110.SZ,X600489.SH,X601158.SH,X600985.SH,X600808.SH,X000990.SZ,X000883.SZ,X000553.SZ,X000630.SZ,X000825.SZ,X600157.SH,X000027.SZ,X600583.SH,X601699.SH,X600426.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0822674211666261,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0560039148814803,0,0,0,0,0,0.0208988345825586,0,0,0,0,0.0422224877945647,0,0,0,0,0,0,0,0.123331461487846,0,0,0,0,0,0,0,0,0,0,0,0,-0.00772838197392439,0,0,0,0,0,0,0
X600028.SH,0,0,0.180250217535622,0,0,0.0504384690212323,0,0,0.00630670548579973,0,0,0.0053276378933443,0,0,0,0,0,0,0,0.0450895138078784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163208700075611,0,0,0,0,0,0,0.0567350133695727,0,0.0765556125829966,0,0,-0.0436724942878564,0,0,0,-0.00968748578784677,0,0
X601088.SH,0,0,0,0.0426599955659007,0,0,0,0,0,0,0,-0.13949531403391,0,-0.0305561677520927,0,0,0,0,0,0,0,0,0.209944433558281,0,0,0.134661497169829,0,0,0,0.0157022760973882,0,0,0.0335002460881904,0,0,0,0,0,0,0,0,0,0,0,0,0.035540046102443,0,0,0,0.114051201377086,0,0,-0.0418551581554938,0,0,0,0,0,0
X600585.SH,0,0,1.0842021724855e-19,0,0,0.148086886851302,0,0,0,0,0,-0.00499462302824573,0,0,0,0,0,0,0,0,0,0,0.494172956045554,0,0,0,-0.00832065013179407,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0252726843533484,0,0,0,0,0,0,0,0,0,0.00547058445936929,-0.0192861412392761,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364705200050365,0,0,0,0,0,0.0926496573130516,0,0,0.221022243733563,0,0,0,0,0,0,0.051373209792276,0,0.049794323227083,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101612879203338,0.0477593537168922,0,0,0,0,0.0103225964928106,-0.0193327780186136,0,0,0,0,0,0
X600309.SH,0,0,0,0.0152417230175799,0,0,0,0,0,0,0,0.0761346549396228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0592968928148661,0,0.110979067589316,0,0,0,0,0,0.217774736757842,0,0,0,0.0330116989907807,0,0,0,0,0,-0.0607760068175314,0,0,0,0.264657686938248,0,-0.00516788725496373,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132056218472159,0,0,0,0,0.380481822099677,0,0,0.407056196544261,0,0,0,0,0,0,0,0.0965565929055067,0,0,0,0,0,0,0,0,0,0,-0.0376543764919998,0,0,0,0,0,0,0,0,0,0,0.0324370104688411,0,0,0,0,0.0602885389021428,0,0
X600010.SH,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0.178944006265785,0,0,0,0,0,0,0.0110270993180055,0,0,0,0,0,0,0,0.299033347688256,0,0,0,0,0,0,0,0,0,0,0.168258642202488,0,0,0,0,0,-0.00813421167600844,-0.00727054597790923,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143472747103853,0,0,0,0,0,0.181652376498948,0,0,0.0514412845983368,0,0,0.208914355237542,0,0,0,0,0,0,0,0,0.239196592457199,0,0,0,0,0,0,0,0,0,0,0.011629323156733,0,0,0,0.0858793658454482,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0129280192105289,0,0,0,0,0,0,0,0,0,0,0,-0.0735631240525838,0,0,0,0,0,0.123270034252869,0,0,0,0,0.459207550845695,0,-0.0417002845770596,0,0.00244652336854513,0,0.0915490004677286,0,0,0.0919372924929588,0,0,0,0,0,0,0,0,0,0,0.0104218316220238,0,0
