,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X002271.SZ,X600660.SH,X000708.SZ,X601898.SH,X600547.SH,X601600.SH,X600362.SH,X000301.SZ,X002466.SZ,X600111.SH,X000786.SZ,X600010.SH,X600188.SH,X600886.SH,X600176.SH,X600011.SH,X600426.SH,X000027.SZ,X601991.SH,X600803.SH,X600489.SH,X600795.SH,X600219.SH,X600352.SH,X000807.SZ,X600801.SH,X000932.SZ,X600315.SH,X000898.SZ,X600688.SH,X000408.SZ,X000825.SZ,X002080.SZ,X002353.SZ,X600157.SH,X600486.SH,X000959.SZ,X300037.SZ,X002409.SZ,X601699.SH,X000830.SZ,X000883.SZ,X600027.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0368645691272257,0.300756574816631,0,0,0,0,-0.0858907421208099,0,0,0,0,0.169826942628022,0,0.0386437298628961,0,0,0.117088380987659,0,0,0,0,-0.0506383173474577,0,0.163335723947085,0.161056061176566,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132879714135698,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101035711263529,0,0.0511242264143998,0,0,0,0,0,0.0941698103352124,0,0,0.14518092806627,0,0,0,-0.0117372342424575,0,0,0,0,0,0,0.0886509170749748,0.00280966387153773,0,0.0656080572181439,0,0,0,0,0,-1.73472347597681e-18,0.0046417489582442,0,0,4.2351647362715e-22,0,0,0,0,0.00933574665867593,0,0
X601600.SH,0,0,0,0.116819170475582,0,0,0,0,0,0,0.043145080197273,0,0,0.0734785023938833,-0.0981897581139177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0648845829754566,0,0.411610559579509,0,0.0371274139958363,0,0,0,0,0.0596072535180255,0,0,0,0,0,0,0,0.0997069953179757,0,0,0,0,0,0,0,0,0,-0.0102753165602664,0,0
X600362.SH,0,0,0,0,0,0.126514561390838,0,0.0637776085043441,0,0,0,0,0.166236933091146,0,0,0,0,0,0,0.0842589521056932,0,0,-0.127829915740305,0,-0.0153565419871035,0,0.0359259805913499,0,0,0,0,0.225905082754408,0,0,0,0,0,0,0,0.148525612098617,0,0,0,0,0,0,0,0,0,0,0,-0.116656282910727,0,0,0,0,-0.025362896728571,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116231816048749,0,0,0,0,0,0.509648758017218,0,0.127468546023832,-0.0699657021248234,0,0,0,0,0,0,0,0,0,0,0,0,-0.134154555076867,-0.051543744012482,-0.142903598432338,0,0,0.0327838147263701,0,0,0,0,0,0.160591420146196,0,0,0,0,0,0,0,0.00161353452547646,0,0
X002466.SZ,0,0,0,0,0,0.647650835031812,0,0,0,0,0,0,0,0,0.139261327609315,0,0,0,0,-0.0391390850616039,0,0,0,0,0,0,0,0,0,0.0556589341488372,0,0,0,0,0,0.0446816482200543,0,-0.199810652507799,0,0,0,0,0,0,0,0.0731095620210283,0,0,0,0,0,0,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.414860917236436,0.0885196750456427,0,0,0,0,0,0,0,0.184421493313313,0,0,0,0,0,0.00604901907424559,0,0,0,0,0,0,0.000730337211740827,0,0,0,0,0,0,0,0.0578054338288582,0,0,0,0,0,0,0,0,0,0,0,-0.0848193841217176,0,0,0,0,-0.0712613689633114,0,0
X000786.SZ,0,0,0,0.458629694882858,0,0,0.127086364154689,0,0,0,0,0,0.0739598451344425,0,-0.00117215859330844,0,0,0,0.0552699508777648,0,0,0,0,-0.165994912176669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.150547423000111,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.0997557276702248,0,0,0,-0.00990189708091471,0,0
X600010.SH,0,0,0,0,0,0.273881699144816,0,0,0,0.112900042699191,0.0959501048003006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116242818171959,0,0,0,0,0,0,0,0,0,0,0.134392292047839,0,0,0,0,0,0.082777923324906,0.0153624955056886,0.0910142220164325,0,0,0.0711121242572198,0,0.0475264336224745,0,0,0,0,0,0,0,-0.03211853240105,0,0
X600188.SH,0,0,0,0,0,-0.0795449804973442,0,0,-0.186887554251604,0,0.497373805279075,0,0,0.077941296961768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147975256747592,0,0.0595011148255026,0,0,0,0,0,0,0,0,0,0,0,0,0.247823690576806,0,-0.0313284322590923,0,0,-0.0999902641820522,0,0,0,0,0.0106525877788215,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143391719138543,0.262150974886479,0,0,0,0,0,0,0,0,0.0416530599727305,0,0.0316391569407154,0,0,0.139490450592227,0,0,0,0,0,0,0,0,0,0.0230166152076073,0,0,0,0.0520371205460553,0,0,0,-0.0104388032931972,0,0
