,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X002460.SZ,X000792.SZ,X600019.SH,X600111.SH,X601898.SH,X002466.SZ,X600011.SH,X002271.SZ,X000877.SZ,X600660.SH,X000708.SZ,X600010.SH,X600547.SH,X000301.SZ,X601600.SH,X600886.SH,X600176.SH,X600426.SH,X600362.SH,X600795.SH,X000786.SZ,X000983.SZ,X600803.SH,X000723.SZ,X600096.SH,X600801.SH,X601991.SH,X600486.SH,X000408.SZ,X601699.SH,X600027.SH,X600219.SH,X000932.SZ,X600141.SH,X300073.SZ,X002080.SZ,X600295.SH,X000807.SZ,X600157.SH,X600489.SH,X600352.SH,X000830.SZ,X000630.SZ,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0.0779941217597322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0971934840015611,0,0,0,0.147986986039393,0,0,0,0.0481016806781679,0,0,0,0.0882487894503426,0,0,0.0278695552941192,0,0,0.166883266544139,0,0,0,0,0,0,-0.0262820546293887,0,0,0,0,0,0
X601088.SH,0.199886790449557,0,0,0,0,0.190268672461922,0,0,0,0,0.189348374397076,0,0,0,0,-0.0617255970241662,0,0,0,0,0,0,0,0,0,0.0371928393905561,0,0,0,0,0,0,0,0,0,0.159791027974458,0,0,0,0,-0.0155896742508804,-0.0615596547868422,0,0,0,0,0,0,0,0,0,0.0823733433756156,-0.0383984501560901,0,0,0,0,0,0
X600028.SH,0.0521041433716613,0,0,0,0,0,0,0,0,0,0.0397673097304534,0,-0.0607266830514267,0,0,0,0,0,0,0.0163477980213161,0.0571543582676941,0,0,0.0963754283715687,0,0,0,0.00450794995920276,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.00152858526060195,0.0521597698366536,0,0,0,0,0,0.0221159089978456,0,0,-0.0148847460944245,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0.0088561698188623,0,0,0,0,0,0.225603945750972,0.134396532170569,0,0.159504020681789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341171728155236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0618675899843039,0,0,0,0,0,0,0,0,0,0,0,0,0.0259222127943539,0,0,0.049678118570986,0,0.422969161289094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00412665897450595,0,0,-0.0180164789726495,0.00908669095727307,0,0,0,0,0,0
X600188.SH,0,0.834942191679046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276095819340233,0,0,0,0.303055382500523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438772186278758,0,0,0,0,0,0,0,0,0.0633565494346551,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.0716796725435245,0,0.271201769723175,0,0.442175095839879,0,0,0,0,0,0,0,0,0,-0.0746396783147685,0,0,0,0,-0.0318504555974114,0,0,0,0,0,0,0,0,0,0,0,0.0297623059683505,0,0.186520622093948,0,0,0,0,0,0,-0.0471345083198405,0,0,0,-0.0931616975467027,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.0528457831593504,0,0,0,0,0,0.346972663230684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0629495856454408,0,0,0,0,0,0,0,0,0.256248903323698,0.111636349346559,0,0,0,0,0,0,0,0.194900884461498,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0524289190653912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547715451785503,0,0,0,0.0556116789160565,0,0,0,0,0,0,0,0,-0.0209648513072236,-0.0246570086647512,0,0,0,0,0,0
X600111.SH,0,-0.0922033694287355,0,0,0,0,0.31903050638448,0,0,0,0,0,0,0,0,0,0,0.376824010387162,0,0.0345172508184978,0,0,0,0,0,0,0,0,0,0.011893660068178,0,0,0,0,0,0,0,0,0,0,0,0.115319747467893,-0.0581291366250506,0.129295029521687,0,0,0,0,0,0,0,0,0.0496782149005435,0,0,0,0,0,0
