,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X000792.SZ,X002460.SZ,X600019.SH,X600111.SH,X601898.SH,X000877.SZ,X002271.SZ,X002466.SZ,X600011.SH,X600010.SH,X000708.SZ,X600547.SH,X601600.SH,X600660.SH,X000301.SZ,X600886.SH,X600426.SH,X600362.SH,X600176.SH,X000983.SZ,X601699.SH,X000723.SZ,X600096.SH,X000786.SZ,X600803.SH,X600795.SH,X000959.SZ,X601991.SH,X000408.SZ,X600295.SH,X600219.SH,X000932.SZ,X000807.SZ,X600801.SH,X000630.SZ,X600141.SH,X000825.SZ,X600489.SH,X600486.SH,X600985.SH,X600688.SH,X600157.SH,X002080.SZ,X300073.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.117869226912435,0,0,0,0,0,0,0.0221855459529388,0,0.187486328569555,0,0,-0.0417899284808242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072786239920328,0,0,0,0.166885259181961,0,0.0854042307537792,0.042419074750027,0,0,0,0.0686302734413706,0,0,0,0,0.0269910056273741,-0.0399983992459386,0.0751759373522689,0,0,0,0,0
X601088.SH,0.0452194406516078,0,0,0,0,0.0159445683756819,0,0,0,0,0.202824639727629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399633640263938,0,0,0,-0.054837923553353,0,0,0.0255741588007568,0,0,0,0,0,0
X600028.SH,0.119187023848468,0,0,0,0,0.0310028107373979,0,0,0,-0.0347256305033968,0.0180796231186529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139254985942848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01371097759135,0,0,0,0,0,0.269123222308833,0,0,0,0,-0.00789908832581526,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.040494846504004,0,0,0.109502354246657,0.186742961790397,0,0,0.0225269051611218,0.171737427781008,0.0140349170173321,0,0,0,0,0,0,0,0,0.0631029124723007,0,0.00590957508025152,0,0,0,0,0,0,0,0,0,0,0,0.00679415938958087,0,0,0,0,0,0,-0.0199634466822352,0.0257968186778298,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,-0.0307181165606897,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,-0.0217725135592274,0,0,0,0.111844627097373,0,-0.00390255768751562,0,0,0.0888960120488062,0,0,0,0,0,0,0,0,0,0.430197710053853,0,0,0,0,0,0,0,0,0,0,0,-0.00576951992553497,0.00244615756853478,0,0,0,0,0,0
X600188.SH,0,0.191167034195066,0,0,0,0,0,0.0253638857310148,0,0,0,0,0,0,-0.019941768147711,0,0,0,0,0,0,0,0.0141373828924708,0,0,0,0,0,0,0,0,0,0,0,0,0.00613602091220148,0,0,0.185415269193073,0,0,0,0,0,0,0.622444612808908,0,0,0,0,0.0794204107217375,0,0.0542065200171656,0,0,0,0.232988324702251,0,0
X000792.SZ,0,0,0,0,0,0.0545529481327796,0,0,0,0.196783852032781,0,0,0,0.194069469052209,0,0,0,0,0.0621023100023072,-0.0567215666685046,0,0,0,0,0,0,0,0.342549784844915,0.220279893113274,0,0,0,0,0,0,0,0,0,0,0,0,0.128791400629752,-0.321029624975159,0,1.0842021724855e-19,0,0,0,0,0,0,0,-0.0133693571473576,0,0,0,-0.00648479802618151,0,0
X002460.SZ,0,-0.0862501425083782,0,0,0,0,0.0609378633954049,0,-0.0593272970365961,0.229913706770935,0,0,0,0.515939226042821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0598460380028645,0,0,0,0,0.0142877478701024,0,0,0,0,0.182523455059629,0.0206711181866161,0,-0.0950183353538653,0,0,0,0,0,0,0.228410689487687,0,-0.0670692463949327,0,0.164396591481135,0,0,0,0,0
X600019.SH,0.0038760591069989,0,0,0,0,0.0935353466768255,0,0,0,0,0,0,0,0,0.128163622449685,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0810891139430851,0,0.334237951719813,0,0.156129865094335,0,0,0.0824582632156191,0,-0.0737398049203634,-6.93889390390723e-18,0,0,0,0,0,0,-0.0070205334099624,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,-3.46944695195361e-18,0.412040799754952,0,0,0,0,0,0,0.067980209129347,0.0856810719558022,0,0,0.102392802583471,0,0.159584423584331,0,0,0,0,0.0406253015720394,0,0.0612022968508168,0,0,0,0,0.00318527875233109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0912471128170234,-0.0114684439652765,0,0,0,0,0,0
