,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X000708.SZ,X601898.SH,X600886.SH,X600660.SH,X601600.SH,X600010.SH,X600362.SH,X600801.SH,X600188.SH,X600352.SH,X002460.SZ,X601991.SH,X600795.SH,X002466.SZ,X600688.SH,X000786.SZ,X601992.SH,X600111.SH,X002271.SZ,X600176.SH,X000723.SZ,X600027.SH,X002353.SZ,X600583.SH,X600426.SH,X600516.SH,X000898.SZ,X600489.SH,X600299.SH,X000709.SZ,X000883.SZ,X601158.SH,X600219.SH,X600612.SH,X000629.SZ,X000553.SZ,X000027.SZ,X000630.SZ,X000792.SZ,X600808.SH,X000878.SZ,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0.0433864051362803,0,0.027245069984125,0,0.0113690014719792,0.137596929598317,0,0,0,0,0,0.016796667891593,0,0.131968001198582,0,0.129150544717384,0,0.0163143377983626,0,0,0,0,0,0.0208815214178192,0,0.026097912831683,0,0,0,0.00908521217035734,0,0.01506218325937,0,0,0,0,0,0,0,0,0,0,-0.051044954734788,0.0426265008349361,0,0,0,0,0,0,0,0,-0.0222050975004781,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0329363460905187,0.0536569286245534,0,0,0,0.00966218798328225,0,0,0.117596938164192,0,0,0,0,0,0,-0.00979465583255257,0,0,0.034551873010533,0,0.00487091651633093,0,0.0402519536830682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0207190821762435,0.081432760904003,0.0132355881169073,0,0,0,0.0136531219371239,0,0,0,0.0161343718917766,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.0186630759420189,0,0,0,0,0,0.0482755962096942,0.312554590146469,0.0537286916218042,0,0,0,0,0,0,0,0,0,0.0227645831912713,0,0,0.00998596488953833,0.00714065829059667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00634992460783399,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0495511870724387,0,-0.00256155176060829,0,0,-0.14553952938585,0,0,0,0,0,0.373990469895407,0,0,0,0,0,0,0,0.0728066932154381,0,0,0.0895445057126818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00321755046559889,-0.0092328181476328,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.126697426313606,0,-0.0426176350435296,0,0.0512987454090146,0,0,0,0,0.321041069769984,0,0,0,0,0,0.000361680835997406,0,-0.0582862250091122,0,0,0.0866294923294772,0,-0.233123558118193,0,0,0,0.145655259095892,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.0463464242410925,-0.0536054035440766,0,-0.094804535256198,0,0,0.319017755422852,0.110171050754344,0,-0.0578312010316782,0,0,0,-0.0844304074856166,0,0
X600019.SH,0,0,0,0,0,0,-0.0419232727995629,0,0.0394735013640516,0,0,-0.0405035335536899,0,0.0440827478777197,0.187009110624606,0,0.0249474669164579,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.013111820197088,0,0,0.0338249299777226,0,0,0,0,0,0,0,0,0,0,0.0101860282628306,0,0,0.0289757865706563,0.0280556356758044,0,0,0,0.0519663984552651,0,0
X600547.SH,0,0,0,0,0,0,0,0,-0.0506720786377726,0,0,0,0,0,0,0,0,0,0,0,0,-0.0666653526779276,0,0,0,0,0.0821730123318096,0,0,0,0,0,0.176589052903607,0,0,0.89990464893721,0,0,0,0,0,0,0,0,-0.0380406113474246,0,0.0252646767388874,-0.125195503337059,-0.219428390984629,0,0,-0.00920228576562213,0.0289871873934488,0,0,0,0.000752639164421549,0,0
X600011.SH,0,0,0,0,0,0,0,0,-0.162099338811763,0,0,0,0,0,0,0,0,0,0,0,0,-0.0347228113962438,0,0,0,0,0,0.151108007867922,0,0.129991285260777,0,0.205784566115001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0956801899995256,0,0,0,0.0328244049547762,0,0,0,0,0.0539792671192058,0,0
X000708.SZ,0,0,0,0.270537826386439,0,0,0,0,0,0,0,0,0,0.108735858470448,0,0.0515983486659912,0,0.38842742685703,-0.24706430618412,0,0,0,0,0,0,0,0.00418317756501538,0,0.245170204853996,0,0.19538198030401,0,0,0,0,0.255718005053928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0.0315774823997163,0,0,0,0,0,0
X601898.SH,0.498280054396069,0,0,0,0,0,0,0,0.0408293987991458,0,0.0343602953137063,0,0,0,0,0,0.524990618396254,0,0,0,0,0,0,0,0,-0.00637324045678512,0,0,-3.46944695195361e-18,0,0,0,-0.0729581269182458,0,0,0,0.0345142970037812,0,0,0,0,0,0,0.125349396928776,0,0,0,0,0,0,0,-0.0554846420745719,0.0461806548809602,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,-0.116381967752115,0,0.123218079246656,0.169781157613902,0,0,0,0,0,0,0.0270775325456598,0,0,0,0,0.162285641864211,0,0,0,-0.0954352901333008,0,0.181518422455019,-0.00805591404835929,0,0.0108631197506759,0,0,0,0,0,-0.130137444832635,0,0,0,0,0,0,0,0,0,0.0238517548618692,0,0,0,0,0.00459960087851664,0,0,0,0,-0.0509826702922151,0,0
X600660.SH,0,0,0,0.0171151554788653,0,0,0,0,0,0,0,0,0,0,0,0.0414005360984842,0,0,0,0,0,0,0,0.045826233577755,0.0716267256557367,0,0,0,0,0,-0.0180878274639757,-0.0757405822689794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115367454681022,0.011527552032801,0,0,0,-0.0086840494915334,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153945139788004,0,0,0,0,0,0,0,0,0,0.276073465722565,0.0840115731309823,0,0,0.103571256042499,0,0,0,0,0,0,0.0809178167367604,-0.0476687445336015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487128787262014,-0.0254769686838186,0,0,0,0.0197591524268749,0,0
X600010.SH,0,0,0,0,0,0.151660260967828,0,0,0.154300519455172,0.0870368090426347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038004922457863,0,0,0,-0.075682863249509,0,0,0,0,0,0,0,0,0,0.0244338044310369,0,0,0,0,0,0.266495399246302,0,0,0,0.00568169189093679,0.0218739507148657,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.108981256540702,0,-0.0231435672923556,0,0,0,0,0,0.0440781741997585,0,0,0,0,0,0,0,0,0,0,0.0071864500618093,0.0625139374669454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0481023269367969,-0.00639214717997183,0,0.37350263419931,0,0,-0.00761136169742269,-0.00548992159335904,0,0,0,0,0,0
X600801.SH,0,0,0,0.677099464285817,0,0,-0.0533772786959273,0,0,0.0287999763739471,0.127169455335722,0,0,-0.172365249942564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376148955484938,0,0,0.00983072804745215,0,0,0,0,0,0,0,0,0,0,0,0.201135895502477,0,0,0,0.0300610749114248,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,-0.0578490518279818,0.255330143100458,0,0,0,0.101136334971352,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0302764973884019,0,0.061227853523199,0,0,0,0,0,0,0,0,0,0.124493784809125,0,0,0,0,0,0.0674936995144611,0,0,0.184517065922484,0,0.210657812011476,0,0,0,0.0173681851502062,0.00390634243239462,0,0,0,0,0,0
X600352.SH,0,0,0.0211899801933192,0,0,0,0,0,0.0454591532534892,0,0,0,0,0,0,0,0,0,0,0,0,0.0173535028640374,0,0,0,0,0,0,0.186024853170439,0.0310490754684804,0,0,0,0.118711401092464,0,0.127633533158512,0,0.0696469154003109,0,0,0,0,0,0,0,0,0,0.115819076701144,0.00943183225264752,0,0,0.0400165693453964,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,-0.0144192026271916,-0.0777941829556757,0,0,0,0,0,0,0,0,0,0,0,0,0.208628980249749,0,0,0,0.112067531406937,0,0,0.0459608331182795,0,0,0.40351043647211,-0.100608182535769,0,0,0,0.151775179190905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0119117756935449,-0.0441987253069708,0,0,0,0,0,0
