,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600019.SH,X600585.SH,X600188.SH,X600547.SH,X601898.SH,X002460.SZ,X601600.SH,X000792.SZ,X002466.SZ,X600886.SH,X600660.SH,X600111.SH,X600010.SH,X000301.SZ,X000708.SZ,X000877.SZ,X002271.SZ,X600426.SH,X600362.SH,X600795.SH,X600027.SH,X600176.SH,X600803.SH,X601991.SH,X600489.SH,X000807.SZ,X601699.SH,X000983.SZ,X000786.SZ,X600160.SH,X000932.SZ,X000539.SZ,X000408.SZ,X600219.SH,X600378.SH,X000629.SZ,X002080.SZ,X300037.SZ,X000723.SZ,X600688.SH,X600995.SH,X000630.SZ,X000933.SZ,X600157.SH,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.674911470452361,0,0,0,0,0,0,0,0.122559531022205,0,0,0,0,0,0,0,0,0,0,0,0,0.15260954269856,0,0,0,0,0,0,0.0923343520658249,0,0,0,0,0.0786156892321193,0,0,0,0,0,0,0,-0.100557958445514,0.0592915817419157,0,0,0,0,0,0,0,0,-0.0537095979909843,0,0,0,0,0,0
X600028.SH,0.658517675574468,0,0,0,0,0,0.200956943631592,0,0,0,0,0,-0.0105387925481325,0,0,0,0,0,0,0,0,-0.117026054636346,0,0,0,-0.0451859757947622,0,0.122561463470717,0,-0.0395276271647883,0,0,0,-0.0627912675493426,-0.0417872350762878,0,0,0,0,0,0,0,0,0,0,-0.093339413879304,0,0,0,-0.00334031391686817,-0.0516625066605829,0,0.0578143022061141,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.350268843666975,0,0,0,0,0,0,0,0,0.093892168005988,0,0,0,0,0,0,0,0,0,0.0634587052520374,0,0,0,0.0247355295214608,0,0,0,-0.0582557650202126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,-0.0382694177728155,0,0,0,0,0,0,0.00992280491427084,0,0,0,0,0,0,0,0,-0.038366811243094,0,0,0,0,0,0.126823130851395,0,0,-0.0535204701162288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278902828738288,0.0395123782141918,0,0,0,0,0,0,0,0,0,-0.00387326254946177,0,0,0,0,0,0
X600011.SH,0,0.367895051267333,0,0,0,0,0.0898402686935925,0,0,0,0,0,0,0,0.461334466466652,0,0,0,0,0,0,-0.0621624780652294,0,0,0,0.409768540876588,0,0,0,0,-0.104729859826057,0,0,-0.233160114792017,0,0,0,0,0,0.0726735087565791,0,-0.087648656830876,0,0,0,0,0,0,0.13001412250705,0,0,-0.0437957028680225,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188494793645267,0.0267561905459565,0.160554700668015,0,0,0,0,0,0,0,0.0957199970972616,0.116077349794692,0,0.0163565936506142,0,0.0261733923249471,0,0,0,0,0,0,0,0,0,0.0158702739339183,0,0,0,0,0,0.0121431892695054,-8.67361737988404e-19,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.149326351577032,0.214898986768543,0,0,0,0,0.217415529822182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.213700843372285,0,0,0,0,0,0,0,0,0,0,0.0740976369164806,0.273856958329326,0,0.00203183776068569,0,0,0,-0.0496303850408761,0,0,0,0,0,0,0,-0.0227072375752796,-0.0432609965785479,0,0,0,0,0,0
X600188.SH,0,0,0.681446066726403,0,0,0,0,0,0,0,0,0,0,0,-0.239427581329788,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,-0.442725110854194,0.0688934221977264,0.320602249930514,0,0,0.162211597589682,-0.0831042888658901,0.131161603403442,0,0,0,0,0,0.0896433747611996,0.218611803428037,0,0,0,0,0,0,0,0.0913624350760717,-0.185540247832152,0,0,0,0,0,0
X600547.SH,0,0.0760498640402282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.182461938865125,0,0,0,0,0,0,0,0,0.10795924889649,0,0.685888831737282,0,0,0,0,0,0,0,0,0,-0.13015301968208,0,0,-0.0426266386425605,0,0,0.0906787051107021,0,0,-0.263145051122203,0,0,-0.00870285707529275,-0.00913701566208924,0,0,0,0,0,0
X601898.SH,0.17779641445465,0,0.0634663334598264,0,0,0,0,0.201572708421731,0,0,0,0,0.127698874575547,0,0,0,0,0,0.16861990023724,0,0,0.0111544174805738,-0.231157978188605,0,0,0,0,0,0,0,0,0.0977253269720826,0.13490789825726,0.0867919012515352,0,0,-0.110228504427933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0142934496118121,0,0,0,0,0,0,0
