,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600547.SH,X600010.SH,X601898.SH,X601991.SH,X600688.SH,X600660.SH,X600886.SH,X601600.SH,X600795.SH,X600362.SH,X600027.SH,X600188.SH,X000898.SZ,X601992.SH,X002466.SZ,X600176.SH,X600111.SH,X000709.SZ,X600489.SH,X600516.SH,X600299.SH,X600352.SH,X002460.SZ,X000629.SZ,X601158.SH,X600808.SH,X600219.SH,X000825.SZ,X000539.SZ,X600801.SH,X000883.SZ,X000786.SZ,X600612.SH,X300072.SZ,X000553.SZ,X000408.SZ,X000301.SZ,X600583.SH,X600021.SH,X002470.SZ,X000630.SZ,X002110.SZ,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.115361222453709,0,0,0,0,0,0,0,0.181457477746127,0,0,0,0,0,0,0,0.0171841962791364,0,0,0,0,0,0,0,0,0,-0.0616329927618739,0,0,0,0,0,0,0,0,0.258423600394539,0,0,0,-0.0198830296767297,0,0,0.159184225197761,0.0725792366896562,0,0,0,0.0501343743637953,0,0,-0.0274149086333035,0.029243760262193,0,0,0,0,0,0
X600028.SH,0.0680845644776395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388611155811669,0,0,0,0.214294938180551,0,0,0,0,0,0,0,0,0,0.0465446457975499,0,0,0.145560084375518,0.249568617239772,0,0,0,0,0,0,-0.004384478726427,0.163305021325806,0,0,0,0,0,0
X601088.SH,0.14605712679703,0,0,0,0,-0.0491228290587983,0,0,0,0.334502188195519,0,0,0,0,0,0,0,0,0.0525516587721017,0,0,0.0174348029656735,0,0,0,0,0,0,0,0,0.0727084639832743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035889980036225,0,0,0.00275216753462593,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0136547850367004,0.171898358079135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360448000036721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0214832562713177,0.013993426648269,0,0,0,0,0,0
X600019.SH,0,0.0779408388953255,0.0443054210788356,0,0,0,0.0221110840610877,0,0,0,0,0,0,0,0,0,0,0,0,0.606716026902947,0,0.00738385393582282,0.00321912321040494,0,0,0,0.0527165894277342,0.0551875784368442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058734786142099,0,0,0,0.0229001782335281,0,0,0,0.0307548452908034,0,0
X600011.SH,0,0,0,0.0848512866024695,0,0,0.129228013492663,-0.15747841556884,0,0,0,0,0,0,0,0,0,0.677614492296395,0,0,0,0,0,0,0,-0.0499136472960778,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158946755891742,0,0,0,0,-0.00706396037303241,0.0399983260955237,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0748538196128466,0,0,0,0,0,0.226325185553552,0,0,0,0,0,0,-0.300911930420812,0,0,0,0,-0.362360168639547,0,-0.0726711721774545,0,0,0.142738110425403,0,0,0.182119275989527,0,0,0,0,0,0,0,0.567420706012792,0,0.0272652774153788,0,-0.500292891766293,-0.0474057124908492,0.0422930868425406,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000555630535305994,0,0.573319807316302,0,0,0,0.123325918424719,0,0,0,0,0,0,0,0,0,0,0.0329393207098812,0,0,0,0,0,0,0,0.124449115864364,0,0,0,0,0,0,0,0.0134728141906013,0,0
X600010.SH,0,0.150031656764932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171752470712324,0,0,0.0360764271151014,0,0,0,0,0,0,0,0,0,0.178475862010858,0,0,0.0563457087879499,0,0,0,0,0,0,0.0464395978307643,0,0,0,0,0,0,0,-0.0075875174137169,-0.0133971628120766,0,0,0,0,0,0
X601898.SH,0.151717561247023,0,0,0,0,0,0,0,0,0,0.515543035230657,0,0,0,0,0,0,0,0.216352520587289,0,0,-3.46944695195361e-18,0,0,0,0.0186912891957326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091725445956307,0,0,0,0,0,0,0,-0.0198420554190879,0.0391639599420374,0,0,0,0,0,0
