,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600309.SH,X600011.SH,X600010.SH,X600188.SH,X601898.SH,X600660.SH,X600688.SH,X601600.SH,X002466.SZ,X600362.SH,X601991.SH,X600795.SH,X600886.SH,X000898.SZ,X600547.SH,X600516.SH,X300072.SZ,X002460.SZ,X600111.SH,X600027.SH,X600176.SH,X600352.SH,X000553.SZ,X000786.SZ,X601992.SH,X000825.SZ,X000709.SZ,X600299.SH,X601699.SH,X000792.SZ,X600808.SH,X600426.SH,X002271.SZ,X002110.SZ,X000932.SZ,X000883.SZ,X600315.SH,X601158.SH,X600219.SH,X000830.SZ,X600489.SH,X000983.SZ,X600801.SH,X000408.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0837703005151346,0.101296344221078,0,0,0,0,0,0,0,0,0,0,0.0215214218230328,0,0,0,0,0,0.0289628028230802,0.0646258876679852,0,0,0,0,0.0198571250824572,0.0898832567102038,0,0,0,0,0,0.00100590618847494,0.135367081949902,0.0551047943684377,0,0,0.054537035957638,0,0,0,0.070325691555947,0,0,0,0,0,0,0,0,0.00646911525706556,0,0,0,0,0,0,0
X600028.SH,0,0,0.231894245912387,0,0,0,-0.0196896881932043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.133526351467303,0,0,0,0,0,0.148696566042906,0.00547347046301809,0,0.135136695421576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162819511507652,0,-0.00140202847584546,0,0,0,0
X601088.SH,0,0.181230220341655,0,0.158701855704858,0.140882127544237,0,-0.0900301860823014,0,0.223911715126398,0,0,0.485809616147797,0,0.016806009259029,0,0,0,0,0,0,0,0,-0.101969788325404,0,0,0,0,0,0,0,0,0,-0.00366644546365854,0.129500330407233,0,0,0,0.0262555194323441,0,0,0,0,0,0,0,0,0,0,0,0,0.00822980222427268,-0.0567403728335001,0,0,0,0,0,0
X600019.SH,0,0,0.10329596535408,0,0,0.0913641654416426,0,0,0.182029934248933,0,0,0,0.413654239742104,0,0,0,0,0,0.0448264073817058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200684062248821,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,-0.144236761463012,0,0,0,0,0.036642431958122,-0.010833230240065,-0.0205685389673605,0,0,0,0,0,0
X600585.SH,0,0,0.288884647815645,0,0,0.0190722374356254,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,-0.0670912758930063,0,0,0,0,0,-0.0351585155287093,0,0,0.205504840978349,0,0,0,0,0,0,0,0,0.0329368397491498,0,0.00511359211690375,0,0,0,0,0.254628388998293,0,0,0.137498221168191,0,0,-0.0419824765096289,0.0245464750877774,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.162339358743767,0,0,0,0,0,0,0,-0.0784308894552786,-0.157479294411586,0,0,0,0,0,-0.0452146078299439,-0.0330935887711903,0,0,0,0,0,0,0,0.0823657312836547,-0.0382478724068516,0,-0.0317696555165306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515642376745886,0,0.0555196913492875,0.070603107641955,0.0568707446556026,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254187333675921,0.0917966733712044,0.04271862299545,0,0,0.2305849048315,0,0,0,0,-6.93889390390723e-18,0,0,0.0395375719068505,0,-0.0254939620734118,0,0,0,0.0280678577062939,0,0,0.0489959891200052,0,0,0,0,0,0,0,0,0.0132283805172877,-0.0148748024985588,0,0,0,0,0,0
X600010.SH,0,0,0,0.147022561586789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0851457376856819,0,0,0,0,0,0,0,0,0,0,0,0,0.437944755211357,0,0,0,0,0,0,0,0,0,0.217605954862034,0,0,0.0123918602335002,0,0.0354166521402963,0,0,0,0,0,0,0
X600188.SH,0,0,0.496660181684066,0.191097711360645,0,0,-0.112358181363721,0,0,0,0,0,0,0.0151927233475214,0,0,0,0,0,0,-0.0828902952800687,0,0,0,0,0.278242592592591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0946297028745625,0.622903117001338,0,0,0,-0.046589508937894,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0998597108825508,0,0,0.0106391940655334,0,0,0.0624111011565216,0,0,0,0.0808945623974962,0,0.0725739235084137,0,0.0733902534998185,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.321100298529579,0,0,0,0.00422867942569494,0,0,0,0,0,0,0
