,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600188.SH,X601992.SH,X600623.SH,X600362.SH,X600111.SH,X600886.SH,X600157.SH,X002466.SZ,X600547.SH,X600299.SH,X600660.SH,X601158.SH,X000792.SZ,X600352.SH,X000709.SZ,X600489.SH,X600309.SH,X600583.SH,X000898.SZ,X000539.SZ,X000883.SZ,X300072.SZ,X000027.SZ,X000629.SZ,X000630.SZ,X000959.SZ,X002470.SZ,X000983.SZ,X002075.SZ,X600021.SH,X600176.SH,X000060.SZ,X600022.SH,X000012.SZ,X600098.SH,X000723.SZ,X600578.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.30017016742352,0,0,0,0,0,0,0,0,0,0,0,0.0229133578677132,0,0,0,0,0,0.00234006283395362,0,0,0,0.0387421960681216,0.0156773047607223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675055677960266,0.00841391849907764,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0665317315346247,0,0,0.127222854724136,-8.67361737988404e-19,0,0,0,0.00390625521842131,0.0442950264398984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0807258940144342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145560891821096,0,0,0,0,0,0.00161822034414561,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.00828345034226798,0,0.410372917996049,0,0,0,0,0.0794277258982828,0.101788164317182,0.0799832671232749,0.0384347007588801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0825480728383332,0,0,0,0,0,0,0,0,0.0252150152235248,0,0,0,0,0,0.00477716390804047,0,0,0,0,0,0,0
X600011.SH,0,0,0.215821065465534,0,0,0,0.128098078650716,0.0516690703396428,0.0120598343898425,0,0,0,0,0,0.0279437587268159,0,0,0,0,0,0.0517178307030809,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0719759403631303,0.0369991939434195,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102662321431135,0,0.150111487484713,0,0,0,0.173320250596886,0,0,0,0.169445563328629,0.0404762928910656,0.105331561507089,0,0,0.00245373190929874,0.0412811665082202,0,0,0.0718035457094156,0.139305040167783,0,0,0.0362099464406043,0,0,0.0171603053531349,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.103129786163743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621152972006557,0,0,0,0,0,0,0.0223710725212341,0,0.0625344973054295,0,0,0,0.0680975476409467,0,0,0,0,0,0,0.0595717403130515,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0292680436732441,0,0,0,0,0,0,0,0,0.129569746931594,0,0,0,0,0,0,0,0,0,0,0,0.0920983593063073,0,0,0,0,0,0,0,0,0,0.152759549479763,0,0.104362187543442,0,0,0,0,0,0,0.170350381652958,0,0,0,0,0,-0.0292591425384917,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.275063238160518,0.160117425124581,0,0.0233534319042338,0,0,0,0,0,0,0,0,0.238037214140859,0,0,0,0,0,0,0,0,0,0,0,0.00388333889829299,0,0,0,0,-0.0329332742057869,0,0,0.285953210561312,0,0,0,0,0,0,-0.028338734149379,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.0728754903263008,0,0,0,0,0,0,0,0,0,0,0.00740265644264645,0,0,0,0.270609273828584,0,0,0.0265581521937561,0,0,0.0879664394278418,0,0,0,0,0,0.222193046636334,0,0,0,0,0.146611959741246,0,0,0,0.0136570952453866,0,0,0,0,0,0.0311787619107762,0.0287231114620686,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2045475624548,0,-0.0357974286232649,0,0,0,0,0,0,0.136077836762635,0,0,0,0,0,0,0,0,0,0,0.131869538600148,0,0.0820621163781149,0,0,0,0,0,0,0.0455354943628503,0,0.0543289137102479,0.24613278805999,0,0,0,0,0,-0.0156372589511801,0,0.180827601839085,0.0258860472611645,0,0,0,0
