,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X601600.SH,X601898.SH,X600188.SH,X601991.SH,X002466.SZ,X600688.SH,X600660.SH,X600362.SH,X300072.SZ,X600795.SH,X600547.SH,X002460.SZ,X601992.SH,X600111.SH,X600886.SH,X600516.SH,X600176.SH,X000898.SZ,X000786.SZ,X000792.SZ,X600352.SH,X002271.SZ,X000709.SZ,X600027.SH,X600299.SH,X000553.SZ,X000408.SZ,X000825.SZ,X600489.SH,X601158.SH,X601699.SH,X600157.SH,X600219.SH,X002470.SZ,X600549.SH,X000883.SZ,X600808.SH,X600315.SH,X000630.SZ,X600583.SH,X600426.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.282093839132957,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158983555557587,0,0,0,0.018027337721712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297105680104167,0,0,0,0,0,0,0,0,0.0249918858875349,0,0,0.122427793294598,0.0650092351039145,0,0,0.016508738614188,0,0,0,0,0,0
X600028.SH,0.482674827291309,0,0.0925380898887653,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.0182349257821043,0,0,0,0,0.195029451491945,0,0,0,0,0,0,0,0.0188155060108627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.153128557213254,0,0.0382881075018725,0,0,-0.0541833094759093,0.0271337807351376,0,0,0,0,0,0
X601088.SH,0,0.0775707251282282,0,0.283780052667643,0,0,0,0.0227061539839321,0,0,0,0,0,0.0314782545426077,0,0,0,0,0,0,0,0,-0.041086212473362,0,0,0,-0.00437887685999816,0,0,0,0,-0.150351735409266,0,0,0,0,0,0.362229664284334,0,0,0,0,0,0,0,0,0,0,0,0.0124137752389182,-0.00728943674662613,0,0,0,0,0,0
X600019.SH,0,0,0.177594990646662,0,0.160241424256893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0154255520289975,0.136758360286668,0,0,0,0,0,0,0,0,0,0,0,0,0.221177888293733,0,0,0,0,0,0,0,0,0,0,0,0.0118829272000728,-0.0429093610346515,0,0,0,0,0,0
X600585.SH,0,0,0,0.262782778052511,0,0,0,0,0,0.272435713571707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18666607160857,-0.140571668502887,0,0,0,0,0.162042493322501,0,0,0,0,0,0.0966165519379214,0,0,0,0,0,0,0,0,0,0,0,0,0.0454561790672632,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18311389371186,0,0,0,0,0,0,0.0547006250105576,0,0,0,0,0,0,0.0485747863538377,0,0,0,0.0299803010352709,0,0.120627361504921,0,0,0.207894710895253,0,0,0,0,0,-0.00396008757319271,0.0043650546247863,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.211451737473373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0919487665287666,0.00538846410029145,0,0.0633326926877257,0.0560263210483405,0,0,0,0,0.0578423313517072,0,0,0,0.160898319887045,0,0,0,0,0.178159442579273,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,-0.0208048225186593,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,-0.193343452725914,0,0,0.506344586140643,0,0,0,0,-0.130565223497567,-0.0919773022352464,0,0,0,-0.0329805651295311,-0.128137747250074,0,0,-0.202686688403016,0,0,0,0,0.418818117501452,0,0,0,-0.213324559622271,-0.136789572058063,0,0,0,0,0,0,-0.550835673278088,0,0,0,0,0,0,0,0,0.0916014102834597,-0.214219332445491,-0.802749614240202,0,0,0,0,0
X601898.SH,0,0.0749039026670715,0,0,0,0,0.00121720508678677,0,0,0.0798048552512326,0,0,0,0,0.316390529127851,0,0,0,0,0,0,0,0,0,0,0,0.0583710139255851,0.00872800567491707,0,0,0,0,0,0,0,0,0,0,0,0,0.0929875763872429,0.139434731809497,0,0.134131291625339,0,0,0.0146267883704361,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0.0638285928158073,0.0152988561124459,0,0,0,0,0,0,0,0,0,0,0,0,0.113912468501022,0.146437611367763,0,0,0,0,0.105912061579354,0.45673709784975,0.210912210609657,0,0,0,0,0,0,0,0,0,0,0,0.246861552900453,0,0,0,0,0,0,0,0,0,0,0,-0.0105765222083587,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.00362212852213185,0,0,0,0,0.0856807447241281,0,0,0,0.00138090790296151,0,0,0,0.130170663570149,0.0347023310650024,0,0,0,0,0,0.0266908703864905,0,0.0247122186100325,0,0.0891881812581907,0,0,0.0190872756406083,0.0225791286162381,0,0,0.0856148786324841,0,0,0,0.0575574816874902,0,0,0,0,0,0,0,0,-0.0130872301177007,0,0,0,0,0,0
