,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600795.SH,X601991.SH,X600688.SH,X601600.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X600583.SH,X601158.SH,X601992.SH,X000027.SZ,X000539.SZ,X600309.SH,X000898.SZ,X002353.SZ,X000709.SZ,X600352.SH,X000883.SZ,X600021.SH,X600660.SH,X002470.SZ,X000792.SZ,X600489.SH,X600098.SH,X600022.SH,X600863.SH,X000629.SZ,X600307.SH,X600547.SH,X300072.SZ,X600623.SH,X600808.SH,X601918.SH,X600578.SH,X600612.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.730155862808293,0.114159002448754,0,0,0,0,0,0,0,0.015928879863693,0,0,0,0,0,0,0,0,0,-0.12103296870551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00754762181189219,0,-1.73472347597681e-18,0,0,0,0,0,0.0260059379689445,0,0,0,0,0,-0.0146192004308784,0,0.0622586544170123,0,0,0,0
X600028.SH,0.41959544654792,0,0.0572819493360178,0,0.0213614758427883,0.224827916242221,-1.38777878078145e-17,0,0,0,0.000339481381953409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666097461409342,0,0.0311869802055021,0,0,0,0,0,0,0,0,0,0,0,0.0660760004245429,0,0,0,0,-0.060531711169579,0.0363286236823295,0.036118181393783,0,0,0,0,0
X601088.SH,0,0,0,0.0902652019355722,0.28291954919826,0.0412064778769657,0.254004721135837,0,0,0,0,0,0,0,0,0,0,0,0.121793435662602,0,0,0,0,0,0,0,0,0,0,0,0,0.0873143457813334,0,0,-0.0457251755969813,0,0,-0.0780793552764874,0,0,0.0169977897284716,0,0,0,0,0,0,0,0,0.00517304747144225,0,0,0,0,0,0
X600011.SH,0,0,0.0119238147639495,0,0.00247730818908965,0,0,0,0,0.629210618475319,0,0,0,0,0,0,0,0.116201350004224,0,0,0.0514357946290533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.187962003449827,0.00904707658534856,0,0,0,0,0,0,0,0,0,0.383065252401173,0,0,0,0,0.132051049992456,0,0,0,0,0,0,0.0608005265372211,0,0,0,0,0,0,0,0,0,0,0.0215687045546479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0.0386366624220354,-4.33680868994202e-19,0.0439971621864787,0,0.15054580071591,0,0,0,0,0,0,0.0329585265388161,0,0,0,0,0,0,0,0,0,0.342279391275261,0,0,0,0,0,0,0.184428668464154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181364603560245,-0.0165023452525991,0,0,0,0,0,0
X600019.SH,0,0,0.276784149019571,0,0,0,0,0.156034647200437,0,0,0.0714651796568187,0,0,0,0,0,0.0566943321003268,0.0527030133913882,0.0137436143790384,0,0,0.0549986923998733,0,0.0440879972471529,0,0,0,0,0,0,0,0,0,0.00537759472345161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0439906724481958,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.0898713052078686,0,0,0,0,0,0.0826413974304411,0.494473434134607,0,0,0,0,0,0,0,0.295970443626301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178812283152832,0,0,0,0,-0.0826925716286537,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0.0996976958535223,0,0,0,0,0,0,0,0,0,0,0.227945449290617,0.0489415209928128,0,0,0,0,0,0,0,0,0,0,0,0.041580155862252,0,0,0.188967612375189,0,0,0,0,0.0238995806178849,0.0198178120653073,0,0.184755757117757,0,0.036630293610325,0,-0.00166857850880043,0,0,0,0,0,0,0
X601991.SH,0,0,0,0.136799395577915,0,0,0.0264358005590533,0.020291081200852,0,0,0,0,0.224787783801481,0,0,0,0,0.314251513567161,0,0,0.0591589882859931,0,0,0,0,0,0,0,0,0,0,0,0,0.00325284927987673,0,0,0,0,0,0,0,0.0189333968674512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
