,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002460.SZ,X002271.SZ,X000708.SZ,X600660.SH,X601898.SH,X600362.SH,X600547.SH,X601600.SH,X600010.SH,X600111.SH,X600188.SH,X000786.SZ,X002466.SZ,X000301.SZ,X600886.SH,X600011.SH,X600426.SH,X600176.SH,X000932.SZ,X600219.SH,X000898.SZ,X601991.SH,X600801.SH,X600803.SH,X000807.SZ,X600489.SH,X600795.SH,X600352.SH,X000825.SZ,X000027.SZ,X600688.SH,X600157.SH,X600315.SH,X601168.SH,X600516.SH,X000723.SZ,X600808.SH,X002353.SZ,X002080.SZ,X000630.SZ,X600027.SH,X601699.SH,X600486.SH,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.253679544390946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00951030427624944,0,0,0,0.0192776586719319,0,0,0,0,-0.0111616559751724,0,0,0,0,0,0.0624384113409292,0,-0.000313759380335458,0,0,-0.00277405683708885,0,0,0,0,0.0473113856047285,0,0.0568503977015545,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.376334414225357,0,0,0,0,0,0,0,0.0727426530583954,0,0,0,0,0.0498553031204523,0.0100737148920947,0,0,0,0,0,0,0,0.12120029694374,0,0,0,0.101707358389824,-0.00946620716056678,0,0,0.109845016157731,0,0,0,0,0,0,0,0.0112152599240684,0,0,0,0,0,0,0,0,0,0,0,0,-0.00407782210792463,0,0,0,0,0.00331056552759329,0,0
X601088.SH,0,0,0,0,0,0,0.100989313037486,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.0330619832203886,0,0,0,0,0,0,0,0,0,0,0,0.0624793815628118,0,0.169990582728263,0,0,0,0,0,0,0,-0.0189373749257764,0,1.38777878078145e-17,0,0,0,0,0,0,0.0227862786224056,0,0.0885499880913255,0,0.0214221047113318,-4.33680868994202e-19,0,0,0,0.0158159502898361,0,0
X600309.SH,0,0,0,0,0,0,0.0308425849813059,0,0,0,0,0.128642597045263,0,0,0,0.160001103226801,0,0.241412497642254,0,0,0,-0.029179492711144,0.157364633030132,0.0367689049228271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0866092136637028,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0562432613929941,0,0,0,-0.0108813052523198,0,0
X600585.SH,0,0,0,0.0240675810658334,0,0,0,0,0.0464664779531174,0,0,0,0,0,0,0,0.101497080241938,0,0,0,0,0,0.0334692911814906,0,0.0389335127564307,0,0,0,0.132077698818672,0,0,0,0,0,0,0,0,0,0.0284990140605208,0,0.0394009351822855,0,0,0,0,0,0,0,0.0156310582037934,0,0,0,-0.0236583930408317,0,0,0,-0.0179609839196683,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872800542835638,0,0.0987947617150561,0,0,0,0,0,0.376126620362365,0,0.0209131293842022,0,0,0.0875582706975747,0,0,0,0,0.244898847466052,-0.0377671352160079,0,0,0.0683650779450252,0,0.0493103933972255,0,0.0643523442702118,0,0,0,0,0,0,0,0,-0.0128901555065697,0,0,0,0,0.00252770152101521,0,0
X002460.SZ,0,0,0,0.0876454270666666,0,0,0,0,0,0.144879669620587,0,0.0185282613623645,0,0,0.00701309151556663,0.0870864031148395,0,0.113537131887076,0.431452508698314,0.179263375707083,0,0,0,0,0,0,0,0,0,0.0950065542013434,0,0,0,0,0,0,0,0,0,0,0,0.107660817225009,0,0,0,0,0,0,0.1223224924718,0,0,0,0,0,0,0,-0.00334250150450041,0,0
X002271.SZ,0,0,0,0,0,-0.207270263687349,0,0,0,0.004856331110577,-0.0436139516016879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201209324717209,-0.0283285496442319,0,0,-0.0436503428961291,0,0,0,-0.0565158920611785,0,0
X000708.SZ,0,0,0,0,0,0,-0.0741854688050328,0,0,0,0,0,0,0,-0.0883513646355714,0.125615169175392,0.024768253395535,0,0,0,0,0,0,0,0,-0.263539093423535,0.161126568792357,0,-0.0949866976242168,0,-0.015379858232973,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149639141986787,0,0,0,0.0821042035677868,0.00551983535521856,0,0.0351028347116181,0,0,0,0,-0.11301519325413,0,0
X600660.SH,0,0,0,0,0,0,0.160799949409244,0,0.0405570214648126,0,-0.177566128559782,0,0,0,0,0,0,0.150287905158535,0.0507043588078906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0282180960298776,0,0,0,0,0,0,0,-0.121277953884186,0.116061001613992,0,0,0,0.249585445696563,0,0,-0.0138120041520946,-0.0264079623417123,0,0,0,-0.0244422544609683,0,0
