,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X000792.SZ,X002460.SZ,X600019.SH,X601898.SH,X600011.SH,X002271.SZ,X600111.SH,X000877.SZ,X002466.SZ,X600660.SH,X000708.SZ,X600010.SH,X600547.SH,X601600.SH,X600886.SH,X000301.SZ,X600426.SH,X600176.SH,X600362.SH,X000983.SZ,X600795.SH,X601699.SH,X000786.SZ,X600803.SH,X600801.SH,X000723.SZ,X600096.SH,X601991.SH,X600295.SH,X600486.SH,X000408.SZ,X000932.SZ,X600219.SH,X000959.SZ,X600027.SH,X600985.SH,X000630.SZ,X000807.SZ,X600141.SH,X000830.SZ,X601666.SH,X600157.SH,X600489.SH,X300073.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.207413184133504,0,0,0,0,0,0,0,0.0842997823554008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149700825923929,0,0.0762057028721854,0,0.135329934688162,0,0,0,0,0,0,0,0,0,0,0.0609905760981957,0,0,0,0,0,0.00166530789782899,-0.0338441544646064,0,0,0,-0.0391693928865117,0,0
X601088.SH,0.0616677076309896,0,0,0,0,0,0,0,0,0.206578511265036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36561995574595,0,0,0,0,0.0234840154304942,0,0,-0.0569406722587895,0,0,0.0267597398103952,0,0,0,0,0,0
X600028.SH,0.0694413633889358,0,0,0,0,0,0,0,0,0.0216957505329715,-0.0576353259932947,0,0,0,0,0,0,0,0,0.0555712879667559,0,0.0391670238465277,0.0195230184845065,0,0,0.0357658787102944,0,0,0,0,0,0,0,0,0.0461021075661163,0,0,0,0,0,0,0,0.0369214119665705,0,0,0,0,0,0,0,0,-0.00153358255855196,-0.0141991310194455,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0.0465763622022489,0,0,0,0.0322045310948876,0.193636528377274,0.0206472687195608,0,0,0,0.185192902076597,0,0,0,0,0,0,0,0.0781132014210602,0,0,0,0,0,0.012436819752668,0,0,0,0.046003272563256,0.000200726667564546,0,0,0,0,0,0,0,0,0,0,0,0.00706750509162231,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,-0.0234411142615381,0,0,0.0134150649654198,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154619421837315,0,0,0,-0.0115284513232992,0.11255033487523,0,0.385923942349782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382761342287445,0,0,-0.00157564745178277,0,0,0,0,0,0,0
X600188.SH,0,0.484085042026101,0,0,0,0,0,0.163488674770344,0,0,-0.0675222400078261,0,0,0,0,0,0,0,0,0,-0.151690617598409,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0941562114639734,0,0,0,0,0,0,0,0,0.196526785316026,0,0,0.204593140608195,0,0,0,0,0,0.0594054967825543,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.0184478558645126,0,0,0,0,-0.0196209488203909,-0.077169735181836,0,0,0.404979650522759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409253071256221,0,0,0,0,0,0,0,0,0,0.252478967601429,0,0.251175483875406,0,0,0,0,0.107042435255734,0,0,0,-0.0327028696115176,0,0,0,0,0
X002460.SZ,0,-0.0621576867749982,0,0,0,0,0.0410265732300254,0,-0.0844940169225315,0,0,0,0.135522736929079,0,0.55420825774037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0755033255333308,0,-0.0387180749682739,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071650552520547,0,0,0.22397372705947,0,0,-0.0569514800206681,0.171141852186845,0,0,0,0,0
X600019.SH,0.054824948718846,0,0,0,0,0,0,0,0,0,0.0352106259267754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137141961390149,0,0,0,0.056791090571487,-0.0390637572154707,0,0.336143166783774,0,0,0,0.0294635475647652,0,0,0,0,0.0146630165360618,0,0,0,0,0,-0.0202818699492933,0,0,0,0,0,0
X601898.SH,0,0.081956806483796,0,0,0,0,0,0,0,0,-0.00806296585875785,0,0,0,0,0,0,0,0.09310412790923,0,0,0,0,0,0,0.219795072540312,0,0,0,0,0,0,0,0,0.0524177238726174,0,0,0,0,0,0,0.332495138970494,0.055089036563099,0,0,0,0.0224205554530248,0,-4.33680868994202e-19,0,0,-0.0243753482351744,0,0,0,0,0,0,0
