,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X600688.SH,X600660.SH,X601991.SH,X600547.SH,X600188.SH,X601600.SH,X600886.SH,X600795.SH,X600362.SH,X000898.SZ,X600027.SH,X600111.SH,X601992.SH,X002466.SZ,X600516.SH,X600176.SH,X000709.SZ,X002460.SZ,X000629.SZ,X600808.SH,X600299.SH,X600339.SH,X600801.SH,X000825.SZ,X600352.SH,X300072.SZ,X002110.SZ,X600583.SH,X600489.SH,X600426.SH,X601158.SH,X000553.SZ,X000786.SZ,X600219.SH,X000932.SZ,X000301.SZ,X000883.SZ,X000408.SZ,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.204519942467525,0,0,0,0.0794957001029733,-0.112661589090033,0,0,0,0,0.121983103666226,0,0,0,0,0,0,0,0,0,0,-0.00103717988925364,0,0,0,0,-0.0438731010779856,0.085928024908956,0,0.190191278673879,0,0,0,0,0,0.109900317103687,0,0,0,0,0,0,0,0.169772070370719,0,0,0,0,0.0158756939118809,0.0147761144754921,0,0,0,0,0,0
X600028.SH,0.286324548160953,0,0,0.226807382564458,0.195619567945621,0.0799326898674314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014467919351143,0.101945134347553,0,0,0,0,0,0,0,0,0,0,-0.024232090576637,0,0.125060943066592,0,0,0,0,0,0,0,0,0,0,0,0,0.028736947576972,0.0126067600367647,0,0,0,0,0,0
X601088.SH,0,0.00615097213140247,0,0.0273535624354367,0,0,0,0,0,0,0,0,0,0,0.149425671503538,0,0,0,0,0,0,0.0264329730679137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140352112800217,0.413100804639679,0,-0.000430559713768091,-0.0020512864612759,0,0,0,0,0,0
X600585.SH,0,0.00638424249397062,0.014205725478857,0,0.132965076349868,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0553874941607694,0,0,0,0,0,0,0,0,0,0,0,0,0.347583577045813,0,0,-2.16840434497101e-19,0,0.130049039220747,0,0,0,0,0.18705722470752,0,0,0,0,0,0,-0.0191150495116057,-0.00041089823605421,0,0,0,0,0,0,0
X600019.SH,0,0.0847297790708323,0,0.0888753062139266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.514756810084694,0,0,0,0.00591801705343666,0,0,0,0,0,0,0,0,0.124845498999662,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.0436305644483058,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0
X600011.SH,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,-0.0191247542238784,0,0.121722354721317,0,0,0,0.769274314436458,0,0,0.0532813207846777,0,0,0,0,-0.0677819737111534,0,0,0,0,0,0.107343963961579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109522344721628,0.0218784952226834,0,0,0,0,0,0
X600309.SH,0,0,0,0.0816582905308808,0,0,0,-0.318378605183164,0,0,0.342027351141233,0,0,0,0,0,0,0,0,0,0,0,0,0.304390822301344,0,0,0,0,0,0.0850603774435596,0,0,0.118409571013175,0,0,0,0,0,0.0787853811670401,0,0,0,0,0.051600718947711,0,0,0,0,0,0.0194969405226317,0.0349517637456183,0,0.299960931204675,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161107993442485,0.100185218203532,0.0838645348602913,0,0,0,0,0,0,1.73472347597681e-18,0,0.019589251728447,0,0,0,0.0350952840090719,0,0,0,0,0,0,0.116764016060045,0,0,0,0,0,0,-0.0323790459799634,0,0,0,0,0,0
X601898.SH,0,0.054865082862056,0,0,0,0,0,0,0,0,0,0,0,0.0443620860410392,0.195660257373664,0,0,0,0,0,0,0,0,0,0,0,0.144233052237053,-0.033838330651581,0,0.00197974656370293,0,-0.0300797752474301,0,0,0.0116470993701845,0,0,0,0,0,0,0,0,0,0,0,0,0.259565189620783,0,-0.00669559904721465,0.00412487690908791,0,0,0,0,0,0
X600688.SH,0.0306302094959771,0.167905704336633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362737113284204,0,0.0204090523797104,0,0,0,0,0,0.0430820478212946,0.0622773544619667,0.0767908650695107,0,0.0682093906135786,0,0,0,0,0,0,0,0,0,0,0.00279900886653175,-0.0142251459887322,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.0519288061113948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267412324023423,0.0204053166115776,0,0,0,-0.0251590687560221,0,0,0,0,0,0,0,-0.0054104296802549,0,0,0.325364803774116,0,0,-0.0596025246565526,0,0,0,0,0.00173340779768664,0,0,-0.0144569467066134,0,0,0,0,0,0,0
