,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X601992.SH,X600688.SH,X600547.SH,X600795.SH,X300072.SZ,X601991.SH,X601600.SH,X600309.SH,X600660.SH,X600362.SH,X600886.SH,X600188.SH,X600027.SH,X000709.SZ,X600157.SH,X600339.SH,X002466.SZ,X600111.SH,X000898.SZ,X600299.SH,X000959.SZ,X600489.SH,X601158.SH,X600008.SH,X600352.SH,X000883.SZ,X002460.SZ,X000408.SZ,X600219.SH,X600160.SH,X600578.SH,X000723.SZ,X000630.SZ,X000539.SZ,X600583.SH,X000792.SZ,X600021.SH,X600176.SH,X000027.SZ,X002271.SZ,X002092.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.164541372362029,0,0.0737398666918278,0,0,-0.0219131862822672,0,0.0214794137165666,0,0,0,0,0,0.131332564483256,-0.0159945119900831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195295976264118,0,0,-0.0396132396423745,0,0,0,0,0,0,0,0.0913367136134666,-0.00993620705284221,0,0,0,-0.0130786803293327,0,0,-0.0123269697823232,0.00335252381441775,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0282129507030576,0,0,0.0288494704655686,0,0,0,0.0733016383841267,-0.0159577624316082,0,0.00954726096579073,0,0,0,0.0492487591151657,0,0,0,0,0,0,0.0728672280648339,0,0,0,0,0.00993201300579022,0,0,-0.0518801768652332,0,0,-0.0173073741385519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,-0.0420715378031562,0,0,0,0,-0.0190713706136861,0,0.0280241320526017,0,0,0,0.0874119693268246,0,0,0,0.122620304027026,0,0,0.212517438827887,0,-0.00715038201339582,0,0,0,0,0,0,0,0,-0.020208642446601,0,0,0,0,0.0122414910238111,0,0.0340195676754935,0,0,-8.67361737988404e-19,0,0,0.00833734846540462,-0.01335191848292,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0421390495230884,0,0,-0.107175231463969,0.0852978597353944,0,0,0,0,0,0,0,0,0,0.515726478303943,0.0876818047095799,-0.0308279474127865,0,0,0,0,0,0.0323249767803923,0,0,0,0.0432155592046568,0,0,-0.0200286842537746,0,0,0,0,0,-0.0214650975874232,0,0,0,-0.0356940055188036,0,0,0,0,0,0
X600011.SH,0,0,0.143318250211455,0.0536004657251016,0,0,0,0,0,0,-0.138742605735186,0,0,0.125618679893738,0,0.0525157954349495,0,0,0,0,0.268435033860181,0.0546512079407196,0,0.0551710868576258,0,0,0,0,0,0,0,0.0281488131096292,0,0,0,0,0,0,0,0,0,-0.0331177809229094,0,0,0,0,0,-0.197870673003886,0,0,0.048132747716804,-0.0171388160186768,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.0122548678113957,0,0,0,0,-0.0212547433567368,0,0,0,0.256217616553628,0,0,-0.0451664751332591,0,0,0,0.145406406186988,0,0,0,0,-0.0361898093244623,0,-0.0202643242585601,0,0,0.0404471826564332,0,0,0,0,0,0,0,-0.0250614512104725,0,0,0,0,0.183919504941798,0,0,-0.0241832302480191,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106791435575974,0,0,0,0,0,0,0,0,0,0,0,0.331698588143325,0,0,0,0,0.0810823163011058,0,0,0,0,0,0.00970248723495161,-0.0360592551187685,0.106588249734353,0,0,0,0,0,0,0,0,0,0,0.00168183461839402,0.0109342955312487,0,0,0,0,0,0
X601898.SH,0,0,0.152545653055795,0,0,0,0,0,-0.00852435744225114,0,0,0,0,0,0,0.0273287047538212,0,0.183534581029459,0,0.137610155875363,0,0,0,0.0857134891987442,0.0290876285696862,0,0,0,0,0,0,0,0,0,0,0.0792730596179567,0.0479636832941077,0,0,0,0,0,0.251444476887227,0,0,0,0,0,0,0,0,0.00664794252820232,0,0,0,0,0,0
X601992.SH,0,0,0,-0.0826313540098804,0,0,0,0,0,0,0,0,0,0,0.0972615589660365,-0.0604950303685728,0,0,0,0,0,0.63482111910517,0,0,-0.127759110685184,0,0,0,0.3024348556859,0,0,0.306786843451,0,0,0,0,0,0.163198670444471,0,0,0,0,0,0,0,0,0,0.0934173085392319,0,0,0.00907110939294021,0.0174275926352435,0,0,0,0,0,0
X600688.SH,0,0.159285945839954,0,0.0345378568844106,0,0,0,0,0.0557812863485706,0,0,0,0,-0.0748573493540264,0,0,0,0.0312583823459526,0,0,0,0,0,0.0235707035870356,0,0,0,0,0,0.0493788853457731,0,8.67361737988404e-19,0,0.0771700268566724,-0.104335768107152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019000512209433,-0.0119992735666034,0,0,0,0,0,0
