,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002466.SZ,X002460.SZ,X600188.SH,X600585.SH,X000792.SZ,X600019.SH,X601898.SH,X600111.SH,X600660.SH,X600011.SH,X000301.SZ,X000708.SZ,X002271.SZ,X000877.SZ,X600010.SH,X600547.SH,X600886.SH,X601600.SH,X600795.SH,X000629.SZ,X600176.SH,X600426.SH,X600362.SH,X000408.SZ,X601991.SH,X300073.SZ,X600096.SH,X000786.SZ,X600803.SH,X000723.SZ,X000983.SZ,X002080.SZ,X600027.SH,X600160.SH,X600348.SH,X600141.SH,X600219.SH,X601699.SH,X600378.SH,X600157.SH,X002407.SZ,X600801.SH,X600399.SH,X000155.SZ,X600486.SH,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,-8.67361737988404e-19,0,0.134566382260971,0,0,0,-1.73472347597681e-18,0.0130362749692102,0,0,0,0,0,0,0,0,0,0.0636285101866147,0,0,0,0,0,0,-0.0857310851724969,0,0,-0.127276371221823,0,0,0.113712836389397,0,0,0,0,0,0,0.115884783676937,0.0239857290016551,0,0,0,-0.0102787605603091,0,0.0937433313754711,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.110736182544083,0,0.19996608243991,0,0,0,0,0,0,0.108594997585259,-0.0669162967676473,0,0,0,0,0,0,0,0,-0.0579730525456011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327651643190635,0,0,0.0700064722504591,0,0,0,0,0,0,-0.00842311467457544,0,0,0,0,0,0,0
X600028.SH,0,0,0,0.0361224733109867,0,0,0,0,0,0,0,0,0,0.0124738694853238,0,0,0,0,0,0,0,0.100954317024409,0.0312754337097852,0.0208666570326567,0,0,0,0,0,0,0,0,0,0,0.0341022466778733,0,0,0,0,0,0,1.73472347597681e-18,0,0.0905779029023497,0,0,0.0475828889675513,0,0,0,0,-0.00665749340497057,-0.0117847864098628,0,0,0,-0.00252865465992262,0,0
X600309.SH,0,0.119730844838787,0,0,0,0,0,0,0,0,0.0290585204430662,0,0,0,-0.052383810767405,0,0,0.08323360215508,0.0243164915116348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209746046339294,0.101850513756967,0,-0.030502908372341,0,0.0218233877425695,0,0,0,0,0,-0.00531451488869149,0,0,0,-0.0184943585082631,0,0
X002466.SZ,0,0,0,0,0,0.626856318505805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0925723413776404,0,0,0,0,0,0,0.154127581756139,0,0,0,0,0.111217110605309,0,0,-0.0598784180145755,0.00543426707418755,0,0,0,0,0.122449358628351,0,0.0328724684155409,0.0152246175546004,0.076305668812885,0,0,0.0163438528853912,0,0,0,0,0.0575084909904541,0,0
X002460.SZ,0,0,0,0,0.144840550872708,0,0,0,0,0,0,0.0531348696593521,0,0,0,0,0,0,0.191994100834794,0,0,0.0985640765553866,0,0,0,0,0,0,0,0.0713224122948585,3.46944695195361e-18,0,0,0.0333913495344979,0.056007140065765,0.0509012242703597,0,0,0,0,0,0.0329503304552826,0,0,0.10468483904696,0,0,0,0,0,0,0.0174388324327069,0,0,0,0,0.0648564277813249,0,0
X600188.SH,0.0232789439587637,0.061494774302407,0,0,0,0,0,0,0,0,0.429674423901978,0,0,0,0,0,0,0,0,0,0,0.0386500930291138,0,0.0733227212966347,0,0,0,0,0,0,0,0,0,0,0.0543984271919881,0,0,0,0.0631772322886794,0,0,0.197395674233569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160578322883819,0,0,0,0,0,0,-0.00979283827158537,0,0,0,0,0,0,0,0,0,0.0415283921001987,0,0,0,0,0,0,0,0,0,0,0,0.428571341544738,0,0,0,0.0115727473044853,0,0,-0.0385848223317235,0,0,0,-0.00583637556661742,0,0
X000792.SZ,0,0,0,0,0.169976428899626,0.223275294748721,0,0,0,0,0,0,0,0.0845253439744077,0,0,0,0,0,0,0,0.0458601305198278,0,0.0952636213265845,0,0,0,0,0,0,0,0,0,0,0,0.0377047024003994,0,0,0.0440572297530574,0,0,0,0,0,0,0,0,0,0,0,0,-0.048614324964274,0,0,0,0,0,0,0
X600019.SH,0.0762337511713172,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.121252635355851,0,0,0,0,0.0524305566427687,0,0,0.0720759961657257,0,0.0423563010439749,0,0,0,0,0,0,0,0.0832990400620962,0,0.104762972611059,0.0510073766755699,0,0,0,0,0,0,0,0,0,0,0,-0.008162357524209,0,0,0,0,0.0283192046843562,0,0,0,0,0.00935921379471589,0,0
X601898.SH,0.0473379437694495,0.170218261384378,0,0.122289475852223,0,0,0.0827214034187121,0,0,0,0,0,0,0,0,0,0,0,0.050261397930506,0,0,0,0,0,0,0,0,0,0,0,0.187863354728248,0,0,0,0.280807190625127,0,0,0,0,0,0,0,0.0269082588852415,0.0474959872426302,0,0,-0.0519807160005848,0,0,0,0,-0.0134762806696242,0,0,0,0,0.0188645959278886,0,0
X600111.SH,0,0,0,0,0,0.0998523350221824,0,0,0,0,-0.00353126649182645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624843514700277,0,0.233625641777682,0,0,0,0,0,0,0,0,0,0,0,0,0.106178620968191,0,0.205924051746077,0,0,0,0,0,0,0.310683225616433,0,-8.67361737988404e-19,0,0,0,0,0.0219251899804531,0,0
X600660.SH,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,-4.33680868994202e-19,0.310017662143176,0,0,0,0,0,0,0,0.103367451826626,0,0,0,0,0,0.00663991122532267,0,0,0,0,0,0.0041283216187532,0,0,0.0837124987671476,-0.261502518909685,0,0,0,0,0.145664966526146,0,0.00431266938693014,0.108243044419599,0,0,0,-0.0141160760324392,0,0,0,0,-0.0213609794931937,0,0
