,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X002460.SZ,X002271.SZ,X600011.SH,X601600.SH,X601898.SH,X600010.SH,X600886.SH,X600362.SH,X600660.SH,X600801.SH,X600489.SH,X600188.SH,X600352.SH,X601991.SH,X600111.SH,X600688.SH,X000786.SZ,X002466.SZ,X600795.SH,X600027.SH,X601992.SH,X600176.SH,X600529.SH,X600299.SH,X600426.SH,X002353.SZ,X600612.SH,X600315.SH,X002409.SZ,X600126.SH,X002080.SZ,X000723.SZ,X600219.SH,X600516.SH,X002075.SZ,X000898.SZ,X000932.SZ,X600486.SH,X000959.SZ,X601158.SH,X000883.SZ,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0130544379041585,0,0,0,0,0,0,0,0,0.0226060414584954,0,0,0,0,0.101618039436057,0.0652700571957833,0.00215662994529508,0,0,0,0,0,0,0,0,0,0.000222300153869502,-0.0197519830850193,0,0,0.0504151778571044,0,0,0,0,0,0,0.0130052825782693,0,0,0,0.021005157379935,-0.00500965605922306,0,0,0,0,0,0,0
X600028.SH,0,0,0.0686197802143956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01912412670537,0,0,0,0,0.0704740868018156,0.0182480226098674,0,0,0,0,0.0766119838805894,-0.00728553325764642,0,0,0.0238821039878951,0,0,-0.0045976617474604,0,0,0.0555628381477928,0,0.0683508170648721,0,0,0,0,0,0,0,0,0,-0.00691530086750149,0.00994774084334645,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.0535123342575465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24494909789715,0,0.0716414815046071,0.0773012669838752,0.0658442751002656,0,0,0.0302423746115536,0.0184435731918588,0,0.028981807066728,0,0,0,0,0,0,0,0,0,0,0,-0.00278311942409125,-0.00201381439875161,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.0414458082657124,0.028832578950135,0.130367225025408,0,0,0,0,0,0,0,0.543663242128783,0,0,0,0,0,0,0,0.00131320367850748,0,0,0,0,0,0,0.0493568737731377,0,0.0380953134214068,0,0,0.00208945463357302,0.0188233427830655,0,0,0,0,0,0,0,0,0,0,0,-0.0106169329580268,-0.00689584479004892,0.00624755681414116,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0459421553816411,0.119474087466349,0,0,0,0,0,0,0.188004441890881,0,0,0,0,-0.0261927794239278,0,0,0.03149585531008,0.0262390375493892,0,0,0,0.0466155004615988,0,0,0.214232988583882,0.0508387829177537,0,0,0.07904071285988,0,0,0,0,-0.0330072331630415,0,0,0,0,0,0,0,0,0,-0.00495767150608568,0,0,0,0,0,0,0
X600547.SH,0,0,0,0.117358570795797,0,0,0,0.0854158152650897,0,0.0386609840717642,0,0,0,0,0,0.103784686811932,0,0,0.626405844721063,0,0,0,0,0,0,0.0432971273309001,0,0,0.0182411842044453,0,0,0,0,-0.0910947716372133,0.235313819702864,0,0,-0.00534010303467735,0,0,0,0,0,0,0,0,0,0,0,0,-0.0551990173491432,0,-0.018399390619614,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.104240278757533,0,0,0,0,1.73472347597681e-18,0,0.255195626673504,0,0,0,0,0,0,0,0,0.0533606435542129,0,0,0,0,-0.0152987442841656,0,0,0,0.0529986092559477,0,0,0,0,0,0,0,-0.0205803798794159,0,0.105665264560035,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,-0.00126307853534486,-0.000697971257936663,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185183859585639,0,0,0,0,0,-0.0811723044631305,0,0,0,0,0,-0.0462620706112448,0.0274358347937145,0,0,0,0.111644826065595,0,0.0101081844045531,0,0,0,0,0,0,-0.0475645786724978,-0.0147206887412964,0.00253855030937218,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153231895419545,0,0,0,0,0,0.113919388471939,0,0,0,0.0682773237585524,0.0968313714403968,-0.0237926667164359,0.0925406737099513,0,0,0,0,0,0,0,0,0,0,0,-0.0122175846247523,-0.00889014364269694,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0.0615118758416941,0,0,0,0.0862538456330894,-0.0590946536743838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176116566913577,0.0661638409835402,0,0,0,0,0.193587349076985,0,0,0,0,0.0411957736987825,0,0.035689441280264,0,0,0,0,0,0,0,0.0321582626412425,0,0,0,0,0,-0.00415795175183977,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.00747023111694692,0.0257369405120251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263582315392085,0,0,0,0.0367725344820383,0,0,0,0,0.0046067797857042,0.0940228975227332,0.0480869308950869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0168904024071219,0.0239529023286963,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0291718632713789,0.0474632788748136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494043749069809,0,0.098488118397753,0,0,0,0,0,-0.0611141101251087,0,0,0.0110508170511542,0,0,0,-0.0280784852478287,0,0.111859914998123,0,0.0892266079911045,0,0,0,0,0,0,0,0,0,-0.00386907563319175,0.000794232762443768,0,0,0,0,0,0
