,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X601600.SH,X600795.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600362.SH,X600157.SH,X600111.SH,X600188.SH,X601992.SH,X600299.SH,X002075.SZ,X000792.SZ,X000709.SZ,X600660.SH,X000898.SZ,X601158.SH,X000883.SZ,X002466.SZ,X000539.SZ,X600309.SH,X600583.SH,X000027.SZ,X600623.SH,X600352.SH,X600160.SH,X600578.SH,X000630.SZ,X000629.SZ,X600547.SH,X002470.SZ,X600489.SH,X600098.SH,X600021.SH,X600022.SH,X600176.SH,X000983.SZ,X300072.SZ,X000060.SZ,X600808.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0.132405030702394,0,0,0,0,0,0,0.111068793045693,0.158879817453011,0,0,0,0.0152393661470837,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0.0497164091582161,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.0295450662282522,0,0,0,0.0171094936027313,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0304997788478199,0,0,0.102972015628485,0,0,0,0,0,0,0.22545722523142,0.013115620696971,0,0,0,0,0,0,0,0,0.0250145261858018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0672954133824099,0,0,0.0277568499651466,0.00127170773680194,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.0896096155054346,0,0,0,0,0,0,0,0.145271574515412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0517070308968042,0,0,0.0771958671548122,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.0783682823984149,0,0.342298659232644,0,0,-0.0270065321651593,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0750288573206061,0,0.140523468209331,0,0,0,0,0,0,0,0,0,0.0184160653955138,0,0,0,0,0,0,0.0210577966710196,0,0,0,0.0227150758667378,0,0,0,0,0,0,0,0,0,0,0,0,0.0767721704982326,0.222539929922557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073753939704222,0.117966027639801,0.339043165102203,0,0.0381687905652282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136759249513631,0,0,0,0,0,0,0,0,0,0.124751095396937,0.02143150542783,0,0,0,-0.00564494280891209,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00621435995510378,0,0.130076096232524,0,0.708050098925083,0,0,0,0,0,0,0,0.0455622591661122,0.0307281129215284,0,0,-0.0124237150936609,0,0,0,0,0,-0.0569255136219943,0,0,0,0,0,0,0.0392749398177508,-0.0277021085096708,0.0186478924846046,-0.0712063079009499,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.084053173370396,0,0.195017846755246,0,0,0,0,0,0,0,0,0,0,0.0144590567922762,0,0,0.0163010698004986,0.13804266498123,0,0,0,0,0.0228146787426147,0,0,0,0,0.0413052330807209,0,0,0,0,0,0,0,0,0,0,0,0.0357487852493255,0.0332687969425545,0,0,0.0164511170822811,0,0,0.0034606172705369,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.0100868669786669,0,0,0,0,0,0,0,0,0,0.183144041603413,0,0.234854736150298,0,0.0179841728670964,0,0,0.0451348055175798,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0608637357893311,0,0,0,0,0,0,0,0.0202245755831468,0,0.0474262525764543,0,0.26669830261344,0,0.0185626543516285,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220708411836779,0,0,0.0158372224996226,0,0,0,0,0.0173212734738059,0,0,0,0,0,0,0,0,0,0,0,0.00865311478484577,0,0,0.124914318000139,0,0,0,0,0,0,0,0,0,0.128473645089253,0.0358465460640791,0.150315811978337,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159823410009843,0,0.126447648342713,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,-8.67361737988404e-19,0,0.0501430576914014,0.0372856205595859,0,0,0.0547241913637571,0,0,0,0.154221811841908,0.0779901465998759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.293593472768691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0704914069131699,0.0781375373530377,0,0,0,0,0,0,0,0,0.0321682874232318,0,0,0,0,0,0,0.0948832511598599,0.00465642038525447,0,0,0.0679661429390477,0,0.164678033320965,0,0,0,0,-0.00473650942445527,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0.116986564391082,0,0.0838211535360474,0,0,0,0,0,0,0,0,0,0.0460878398890011,0,0,0,0.0317537319615815,0,0,0.0439980366501797,0,0,0.00617343619777658,0,0,0,0,0,0,0,0,0,0.0618836852328973,0,0,0,0,0.312702965463005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
