,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600585.SH,X600019.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X000792.SZ,X002460.SZ,X002466.SZ,X600886.SH,X600111.SH,X600010.SH,X000301.SZ,X000708.SZ,X002271.SZ,X600426.SH,X600362.SH,X000877.SZ,X600795.SH,X601699.SH,X000983.SZ,X600176.SH,X600027.SH,X600489.SH,X600803.SH,X000807.SZ,X000786.SZ,X601991.SH,X000932.SZ,X000630.SZ,X600160.SH,X600219.SH,X000933.SZ,X000408.SZ,X000629.SZ,X002080.SZ,X600612.SH,X600688.SH,X600985.SH,X300037.SZ,X600096.SH,X002353.SZ,X000539.SZ,X600801.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.911135980912797,0,0,0,0,0,0,0.0772696989776292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307829854681857,0,0,0.155529056074562,0,0,-0.00611902572801066,0,0.00665783380185784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0
X600028.SH,0.569694358049961,0,0,0,-0.0151905522397054,0,0.00813801393466292,0,0,0,0,0,0,0,0,0,-0.013762190478831,0,0,0,0,0,0,0,0,0,0,0,0,0.0386933119479774,0.0629373192249127,0,0.0874442334346728,0.0400638761707353,0,0,0,0,0,0,0,0,0,0,0,0,-0.201661924796227,0,0,0,0,-0.0445573907336237,0.0910533683114264,0,0,0,0,0,0
X601088.SH,0.00890738850552815,0.144492288644363,0,0,0.206545594432748,0,0,-0.0357083963865143,0,0,0,0,0,0,0,0,0.105375594847709,0,0,0,0.0616962280403425,0.0182449675675549,0.0435057683352119,0,0,0,0,0.0159865583401355,0,0,0,0,0,0,0,0.130306407460044,-0.0677892144496183,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.00904096866645741,0,0,0,0,0,0
X600309.SH,0.0102252213028253,0,0,0,0,0,0,-0.012396737033761,0,0,0,0.0838456851079522,0,0.101356788234559,0.155066194229102,0,0,0,0,0,0.0972455233001059,0,0,0,0,0,0.0261942686097207,0,0,0,0.0182500159636376,0,0,0,0,0,0,0,0.0618474178704173,0,-0.037511219973195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0.720747838304437,-0.223934780201039,0,0,0,0,0,-0.195852506380229,0,0,0,0,0,0,0,0,0,0,-0.161015475717528,0.171667203567705,0,0,0,0.257161344766724,0.21579235312701,0,0,0,0,0.164422595531889,0,0,-0.00222628187181247,0,0,0,0,0,0,0,-0.285310237175139,0,0,0,0,0,0,0,0,0.0521825786029754,-0.0653278333991346,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.243777887740519,0,0,0,0,0,0.15306709976107,0,0,0,0,0,0,0,-0.134236381756226,0,0,0,0,0,0,0,0,0,0.235943668350526,0,0,0,-0.00711299039521176,0,0,-0.124066519934848,0,0.15973623988322,0,0.306010878191065,0,0,0.00110444559311512,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,-0.0260891137510733,1.73472347597681e-18,0,0,0,0,0,0,0.0145349073202167,0,0,0,0.173372139360013,0,0,0,0,0,0,0.0663615834562667,0,-0.0116450093610814,0,0.161954999666299,0,0,0,0.299048944568295,0,-0.0231684685263822,0,-0.0336239859277341,0,0,0,-0.00609710254557165,0,0,-0.205995720113039,0,0,0,0.142488304174046,0,0,0.0420069294787241,0,0,0,0,0,0
X600011.SH,-0.0365845267523641,0,-0.0923343395946783,0,-0.0728023574415589,0,-0.0788383080413077,0,0,0,0,0,0,0,0,0.315539248192264,0,0,0,0,-0.217218507680662,0,0,0,0,0,0,0,0.375812800702986,0,0,0,0,0,0,0,0.0442113802787475,0,0,0,0,-0.0928201883793746,0,0,-0.00103504686746737,0.0240749273755304,0,0,0.2780405007246,0,-0.0189764334823649,0.0118417695233648,0,0,0,0,0,0,0
X601898.SH,0.0214813571495771,0,0.0727187369643163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11529743813204,0.175546923911115,0,0.0183572115621688,0,0.108531678464579,0,0,0,0,0.213750368578395,-0.0397516591642164,0,0,0,0.10496581788106,0.0392893783053442,0,0,0.027402674084364,-0.153961957931756,0,0,0,0,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,-0.0420834079442818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311301842889833,0.117923354738932,0,0,0,0,0,0,0,0,-0.0674548892848028,0,-0.0603907543262478,0.13756685945455,0,0,0,0,0.111935844580094,0,-0.105118026855515,0,-0.0304690931937188,0,0,0,0,0,0,0
