,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X600583.SH,X601158.SH,X601992.SH,X000539.SZ,X000027.SZ,X600309.SH,X000709.SZ,X000898.SZ,X000883.SZ,X600352.SH,X600021.SH,X600660.SH,X002470.SZ,X601918.SH,X000792.SZ,X600489.SH,X600863.SH,X600098.SH,X600623.SH,X600022.SH,X600547.SH,X000629.SZ,X600808.SH,X600307.SH,X300072.SZ,X600578.SH,X002353.SZ,X600008.SH,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.689748921692742,0,0,0,0,0,0,0,0,0.078853655949481,0,0,0,0,0,0,0,0,0,-0.053150979724341,-0.0355987659627207,0.0434976328390134,0,0,0,0,0,0,0,0,0.0140743466226814,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,-0.040518058950307,-0.00250878451483305,0,0.0350944637971499,0,0,0,0
X600028.SH,0.166388875076722,0,0,0,0.113275683453549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097015291699627,0,0.00731219928944028,0.052878051468572,0,0,0,0,0,0.0976434522424979,0,0.112841376356108,0,0.0243302507474553,0,0,0,0.0199328623414601,0,0,0,0,0.004957545553857,0,0,0,0,0,0,-0.0463201243258894,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.018937567239526,0,0,0,0,0,0,0,0.149424346026166,0,0,0,0,0,0.155696467799948,0.244784133588002,0,0.209417515213726,0,0,0,0,0,0.00169710840629122,0,0,0,0,-0.0478995885118356,0,0,0,0,0,0,0,0,0,0,0.0555551103935934,0,0,0,0,0,-0.0267265310943158,0.0285798497544326,0,0,0,0,0,0
X600011.SH,0,0,0.0518574081052658,0,0,0,0,0,0,0,0,0.406056171654238,0.169419296971915,0,0,0,0,0,0,0,0.160898652796458,0,0,0,0,0,0.0318548678813935,0,0,0,0.0369962899789064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0183933425272657,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.0394359025521138,0,0,0,0,0,0,0.142525317442471,-8.67361737988404e-19,0,0.041889353156516,0,0.204314869197746,0,0,0,0.0846374915733419,0,0,0,0,0,0,0,0,0,0,0,0.007555359369915,0,0,0,0,0,0,0,0.162171721508916,0,-0.0120099588620696,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.100054034909945,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0.537963689479575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0604192344755113,0,0,0,0,0,0,0,-0.0190047243858794,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.193063426513831,0,0,0,0.0189998783018235,0.198707827636463,0,0.0163396776345936,0.0717184374772895,0.0690888395326633,0,0,0.0757521153099095,0.0488330638981608,0,0.0657697337915963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0321703072030919,0,0,0,0,0,0,0
X601898.SH,0.0787815599693522,0,0,0,0,0,0,0,0,0.313138060773453,0,0,0,0,0,0,0,0,0.0573965176824437,0.0657867764095613,0,0,0.262696674974438,0,0,0,0,0,0.0344249602163715,0,0,0.132241352687525,0,0,0,0,0.0421227099206295,-0.0430042968149022,0,0,0,0,0,0,0,0,0,0,-0.0463882792312262,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0.0816844224048234,0.306979410685349,0,0,0.0827239307684787,0,0,0,0,0.195916004015636,0,0.0682040795076406,0,0,0,0.0253704347869031,0,0,0,0,0,0,0,0.0750385247379631,0,0,0,0,0,0,0.00287338847121308,0,0,0,0,0.012908872290392,0,-0.0208430912842291,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.207303533049497,0,0,0,0,0,0,0.0579846055873793,0,0,0,0,0.152039625923345,0,0,0.157180634789945,0,0,0,0,0,0.0106676145186922,0,0,0,0,0,0,0,0.123476340186626,0.0202454029938798,0,0.0957638635601898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
