,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600660.SH,X601898.SH,X600188.SH,X601991.SH,X600688.SH,X601600.SH,X002466.SZ,X600362.SH,X600795.SH,X600886.SH,X000898.SZ,X300072.SZ,X600516.SH,X600547.SH,X600027.SH,X002460.SZ,X600111.SH,X601992.SH,X600176.SH,X600352.SH,X000553.SZ,X000786.SZ,X002110.SZ,X600299.SH,X000709.SZ,X600426.SH,X600808.SH,X600801.SH,X000932.SZ,X000408.SZ,X000883.SZ,X600315.SH,X601158.SH,X002271.SZ,X000830.SZ,X600219.SH,X601699.SH,X601003.SH,X000792.SZ,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.320681072145957,0,0,0,-0.0241185049533945,0,0,0,0,0.094410557086267,0,0,0,0,0,0,0,0,0,0,0,0,0.0151175294613876,0,0,0,0.103587475904089,0,0,0,0,0,0.0517630985419587,0,0,0.0286796061981189,0.00997937210873805,0,0,0,0.00558596212105108,0.117281812078975,0,0,0,0,0,0,0.0102687135224124,0.0168850165562107,0,0,0,0,0,0
X600028.SH,0.240783664709051,0,0.28218672969262,0,0,0,0,0,0,0,0,0,0,0,-0.0850847590688196,0,0,0,0,0,-0.0190452632513108,-0.0701034385058909,0,0,0,0,-0.00888655355905694,0,-0.0809539730709478,0,0,-0.0138429158288242,0,0,0,0,0,0,0,0,0,0,0,0,0.0639367892180321,-0.0317983181602985,0,0,0,0.00218081259103624,0,0,0,0,0.214489207088874,0,0
X601088.SH,0,0.0178818329563572,0,0.285077912212909,0,0.0210643908577397,0,0,0,0,0.592300292003291,0,0.0695079959640709,0,-1.0842021724855e-19,0.0283967921626919,0,0,0,0,0,0,0,-0.0428356073075405,0,0,0,0,-0.103547986838157,-0.114883803118418,-0.2006576830638,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0546060269471179,-0.00207142786679763,0,0,0,0,-0.00756952640510613,0,0,0,0,0,0
X600585.SH,0,0,0.231618406230977,0,0,0,0,0,0,0,-0.0758122482547408,0,0.250931111649756,0,0.0596098710250071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115938393277589,0,0,0,0,0,0.380620660735733,0,0,0,0,0,0,0.110019069736829,0,0,0,0,0,0,-0.0180035825393619,-0.00319838790700103,0,0,0,0.0318126671282288,0,0
X600019.SH,0,0,0,0,0,0.141544557652575,0,0,0,0,0.177666756447774,0,0,0.076625758603962,0,0,0,0,0,0,-0.276508149426816,0,0,0,0,0,0.165207784865147,0,-0.0227473791581595,0,0.037165682579949,0,0,0,0,0.137434641994827,0.154186153421067,0,0,0,0,0,0,0,0.14714878610396,0,0,0,0,0.0114405699862543,0,0,0,0,0,0,0
X600309.SH,0,0,0.18124113278797,0,0,0,0,0,0,0,0,0,0,0,-0.184125842728853,0,0.263207375179563,0,0,0,0,0,0,-0.0120766690960028,0,-0.061102257853233,-0.0370995269601847,0,0,0.23454077549947,-0.0292876446042035,0.208740258734367,-0.252211021943488,0,0,0,0,0,0,0,0,0,0.132521784628491,0,0,0,0.0291901719529642,0,0,0.0407521540316129,0.0653743178930752,0,0,0,0.0383623611212727,0,0
X600011.SH,0,0,0,0,0,0.078725269057412,0,-0.0211696344301875,0,0,0,0,0,0,0,0,0,0.0578331881682443,0,0,0.121571652866442,0,0.426986848274079,0.0735067380634515,0,0,0,0,0,-0.13670793796039,-0.143899370611882,0,0,0,0,0,0,0,0,0,0.205511212935297,-0.0122636952651188,0,0,0,0,-0.0396024396348031,0,0,-0.00489928938774266,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0.184783661903155,0,0,0,0,0,0,0.145738896165459,0,0,0,0,0,0,0,0,0,0,0.0196981716130371,0,0,0,0,0,0,0,0,0,0,0,0.140604778887296,0,0,0.0696979504673811,0,0,0,0,0.270312518177165,0,0,0,0,0.191902771670634,0,0.0115283392714875,-0.0178152542941481,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,-0.00497713202875175,0,0,0,0,0,0,0,0,0,0,-0.313871931914678,0,-0.0612311801641989,0,0,0,-0.0935230527869282,0,0,0.109220906174023,0.14034819860889,0,0.019438937930045,0,0,0,0,0,0,0,-0.171222649327471,0,-0.0364554717005175,0,0.00591553177078094,0,0,0.0185877323474386,0,0,0,0,0.0229737548090917,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.0251155769462788,0,0,0,0,0,0,0,0,0,0,0,0,0.171269664384859,0,0,0,0,0.0996154800067608,0,0,0,0,0,0,0,0.078808148602598,0,0,0,0,0,0,0,0,0.0629996562448754,0,0,0.0147592469770178,5.42101086242752e-20,0,0,0.00989452413194871,-0.000813944009867208,0,0,0,0,0,0
