,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600188.SH,X600547.SH,X600795.SH,X601600.SH,X601991.SH,X600362.SH,X600027.SH,X600157.SH,X600111.SH,X600886.SH,X600489.SH,X601992.SH,X600309.SH,X600623.SH,X600660.SH,X300072.SZ,X600299.SH,X002466.SZ,X000792.SZ,X601158.SH,X002075.SZ,X000709.SZ,X600583.SH,X000723.SZ,X000983.SZ,X000898.SZ,X000408.SZ,X000883.SZ,X600352.SH,X600549.SH,X000539.SZ,X000027.SZ,X600176.SH,X002470.SZ,X000630.SZ,X002460.SZ,X601699.SH,X000060.SZ,X000012.SZ,X002407.SZ,X600021.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0.0523917110278895,0,0,0,0,0.0205258067672492,0,0,0,0,0.00801247747080367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211466108076266,0,0,0,0,0,0,0,0,0,0.109373523318218,0,0.00376436923353838,0.00290777339606799,0,0,0,0,0,-0.00815432201637904,0,0,4.33680868994202e-19,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0814237601512274,0.0167050232600888,-0.0252445858985382,0,0,0,0,0,0,0,0,-0.0126138297566162,0,0,0.00220467235145312,0,0,0,0,0,0,0.0313063682062067,0,0,0,0.0630508234883895,0,0.0588224544029845,0,0,0.0179602610669013,0,0,0,0,0,0,0.0108422379538752,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.179481956650206,0,0.106669119591883,0,0,0,0,0,0,0.0300626589326877,0.0517768290937485,0,0,0,0,0.0483264629264269,0,0,0,0,0,0,2.71050543121376e-20,0,0,0,0,0,0,0,0.0408047186357154,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,-0.00231943439468568,0.101809480068872,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.077387423376658,0,0,0,0,0.0536339894041572,0,0,0,0,0.0240831374438108,0.198255197103231,0,0,0,0,0,0.0997423118712311,0,0,0,0,0,0.00149201704231489,0,0,0,0,0,0.0580943282362822,0,0.208821431006486,0,0,0,0,0,-0.0630780269202691,0,0,0,0,0,0,0,0,0,0.00292964602033802,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.150987156849827,0,0,0,0,0,0,0,0,0,0.477816719366482,0,0,0,0,0,0,0,0,0,0,0,-0.0128186482389972,0,0,0,0,0,0,0,0,-0.0636907224642465,0,0,-0.0632416842628119,0,0,0,0,0,0.0946826865206275,0.00381328345513344,0,0,-0.0122373452724868,0,0,0,0,0.0667197483912193,0,0
X600585.SH,0,0,0,0.0371872825217849,0.102115561613237,0,0,0,0,0.11758419414311,2.16840434497101e-19,0,0,0,0,0,0,0,0,0.0139155840594708,0,0,0.0816832814103079,0,-0.0292097050221294,0,0,0,0,-0.105058145234025,0,0,0,0,0.130240254079185,0,0,0.104296614656072,0.062409492330097,0,0,0.0589932367555707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,-0.0155323726191025,0,0,0,0,0,0,0.0441997239447511,0,-0.0407393316338858,0,0.0339811658159878,0,0,0.00578671478603979,0,0,0,0,0,0,0,0,-0.0143433076290524,0,0.0437954717070432,-0.0635591845659726,0.0318366077225595,0,0,0,0,0.0859751149525158,0,0,0,0,0,0,0,0,-0.0589986595463659,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701021784920607,0,0.0139234550013797,0,0,0,0,0,0,0,0,0.0789282926992342,0,0,0,0.0988280907404179,0.11038293856019,0,0,0,0,0,0,0.263175014830435,0,0,0,0,0,-0.0201670426571852,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0732674846714533,0,0,0.181445179501285,0,0,0,0,-6.93889390390723e-18,0,0.0357990777156443,0,0,0,0.13305160090112,0,0,0,0,0.0156641896203611,0,0,0,0.153864771936826,0,0.0276754567497858,0.0904982518465545,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.209827737818102,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0579678983148106,0,0.099097997156569,0.094578169231137,0,0,0,0,0,0,0,0,0,0,0.483680066106778,0,0,0,0,0.0784126585882003,0,0,0,0,0,-0.0397876315895005,0,0.0650942452520541,0,0,0,0,0.0577025375649291,0.024655646435963,0,0,0,0,0,0
