,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600660.SH,X601600.SH,X600547.SH,X600585.SH,X600886.SH,X600011.SH,X600795.SH,X000792.SZ,X600362.SH,X600010.SH,X600489.SH,X600111.SH,X000708.SZ,X002460.SZ,X600803.SH,X600027.SH,X000301.SZ,X600160.SH,X601991.SH,X000786.SZ,X600426.SH,X601699.SH,X002466.SZ,X000983.SZ,X600219.SH,X000807.SZ,X000630.SZ,X600985.SH,X600176.SH,X601168.SH,X000408.SZ,X002128.SZ,X000933.SZ,X600096.SH,X000877.SZ,X000883.SZ,X600378.SH,X600352.SH,X600995.SH,X002353.SZ,X600863.SH,X600612.SH,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.342932720939428,0,0.232604645580376,0,0,0,0.0043070470727122,0.0590909980923384,0,0.0463438060818925,0,0,0,0,0,0.0581681079746318,0,0,0,0,0,-0.053263572848574,0,0,0,0,0,0,0,0.338959039470165,0,0.249831298452133,0,0,0.0880037762152723,0,0,0,0,0,0,-0.331473700221605,0,0,0.0612236779681231,0,0,0,0,0,-0.0525730754344775,0,0,0,0,0,0
X601088.SH,0.126461002615841,0,0,0,0.0885468674199201,0,0,0,0,0,0,0,0,0.120619437197358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0931807087803641,0,0,0,0,0.109749221616368,0,0,0,0,0.131942310673677,0,0,3.46944695195361e-18,0,0,0,0,0.042064801290729,0,0,0,0,-0.0287737890707913,0,0,0,-0.0277544441463711,0,0
X600028.SH,0.351488591878838,0.274164156066354,0,0,0.181891028706218,0,0,0,0,0.0762663552176314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0878647422043083,0,0,0,0,0,0,-0.0457555667930121,0,0,0,0,0.0268748275065192,0,0,0,0,0,0,0,0,0,0.0527063823274478,0,0.0473618928502775,0,0,0.002854933858201,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0881097356135914,0,0,0,0.0539519731407807,0.364631647792934,0,0.0441645578760905,0,0,0,0,0,0,0,0,0.18825033444809,0,0,0,0,0,0,0,0,0,0.234956291263557,-0.176168443450133,0,-0.0870547284137726,0,0,0,0,0.0199821512466137,0,0
X601898.SH,0,0.751412636750966,0,0,0,0.122246965830562,0,0,0,0,0,0,0,0,0,0,0,0.0774396553692824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491582368686959,0,0,0,0.0415881117844379,-0.064609528141141,-0.0113430572705079,0,0,-2.16840434497101e-19,0,0
X600188.SH,0,0,0,0,0.280069589181855,0,0,0,0,0.0674284908868886,0,0,0,0,-0.148415565363087,0,0,0,0,0,0,-0.0189166857493725,0,0,0,0,0.0614333217966451,0,0.336582260131916,0,0,0,0,0,0.493605177070206,0,0,0.119281252816783,-0.244633998977965,0,0,-0.0263650102857744,0,0,0,0,0,0.315436631381314,0,0,0,0.0220153083186964,0,0,0,0,0,0,0
X600019.SH,0,0,0.169410442992784,0,0,0,0,0,0,0,0,0,0.181227879758343,0,0.109923533464443,0,0,0.105083774891319,0,0.342633651810011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0729037509907702,0,0,-0.141380843558286,0,0,-0.105077685273384,0,0,0,0,0,0,0,-0.00240828995558846,0,0,0,0,-0.058835847783529,0,0
X600660.SH,0,0,4.33680868994202e-19,0.00982936144294978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.568612881275359,0,0,0,0,0,0,0.269341310258007,0.395045259539953,0,0.0318821701454554,0,0,0,0,0,0,-0.0395097166185314,0,0,0,0,-0.166575590646087,0,0,0,0,-0.114923460433959,0,0,0,0,-0.180976554161779,0,-0.105171762349275,0,0,-0.0888110719004966,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162261270405603,0,0,0,0,0,0,0,0,0.00455801767332524,0,0,0,-0.0305091656154866,0,0,0,0,0,0.546999668701096,0,0,0,0.348225644564372,0,0,0,0,-0.0171452371430544,0.193952353475438,0,0,0,0,0.0412484752976266,0,0,0,-0.0403448889044757,0,0,0,0,0,0,0
X600547.SH,0,0,0,-0.0743333386570178,0,0.173900311467442,0,0,-0.194829948659358,0,0,0,0,0,0,0,0,0.648704009642578,0,0,0,0,0.00445778383876225,0,0,0,0,0,0.0212709223351377,0,0,0,0,0,0,0,0.227554987467971,0,0.0562753932385643,0,0,0,0,0,-0.00544515758989336,0,0,0,0,0,0,0,0.0140986343087696,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15665550034712,0,0,0,0,0,0,0,0,0.086692478671484,0,0,0.125819176646938,0,0,0,0,0,0,0,0,0,0,-0.0199814301883634,0,0,0,0.149004245092142,0,0,0,0,0,0,0,0,0,0.0923427505928497,0.0107379519055488,0,0,0,0.0136069718781236,0,0
