,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X002460.SZ,X600547.SH,X000708.SZ,X600660.SH,X002271.SZ,X600011.SH,X600362.SH,X601600.SH,X000786.SZ,X600886.SH,X600176.SH,X600426.SH,X601898.SH,X600010.SH,X600188.SH,X600801.SH,X000301.SZ,X600111.SH,X600352.SH,X600489.SH,X002466.SZ,X600795.SH,X601991.SH,X300037.SZ,X600688.SH,X600486.SH,X600803.SH,X002353.SZ,X600027.SH,X600299.SH,X601992.SH,X600219.SH,X002080.SZ,X601168.SH,X000932.SZ,X002409.SZ,X000898.SZ,X600529.SH,X000723.SZ,X000630.SZ,X600315.SH,X000807.SZ,X000027.SZ,X002075.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,-0.0291506463462572,0,0.0555462166242273,0.046734676753482,0,0,0,0,0,0.00919324531154725,0,0,0,0,0,0,0.00840537339764605,0,0,0.00200711757244119,0,-0.00416958773082904,0,0,0,0,0,0,0.0249773890302098,0,0,0,0,0,0.00419013602362759,0.0183469063888062,0,0,0,-0.015545214354509,0,-0.00457236378274021,0,0,0,0,-0.00322017928522417,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0.0218250248938094,0,0,0,0,0,0.0162823987923272,0,0,0,0,0,0.015634304634275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0592613042822683,0.0245701351367002,0,0,0,-0.0130199957699875,0,0,-0.0100370194484255,0,0,0.0526084203276279,0,0,-0.00884048852117888,0,0,0,-0.0139953403366933,0,0
X601088.SH,0,0,0,0,0,0,0.0285604430364089,0,0,0,0,0,0.00257241661133831,0,0.0645021976715628,0,0,0,0,0,0.173827995389794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145520751126219,0,0,0,0,0,-0.0720655488747283,0.0275320688485594,0,-0.0443115694078871,0.0725157492837147,0,0,0,0.0158626527368326,0,0,0,0,-0.0086901464748957,0,0
X600585.SH,0,0,0.0235197793639898,0,0.0801436750178106,0,0.0617099835627127,0.0335131496382828,0,0,0,0,0,0.0979331452209029,0,0,0,0,0,0,0.0135608365864094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00455459179815618,0,0,0,0,0,0,0,0,0,-0.0430804804969549,0,0.0253629388422635,0,0,0,0,-0.0047133375912684,0,0
X600309.SH,0,0,0,0,0,0,0,0.252390493732467,0.245031733400731,0,0,0,0,0,0.0540861611812812,0,0,0.231795605732616,0,0,0,0,0,0,0,0,0,0,0,0.0517621111932885,0,0,0,0.0577060509283628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235691584447539,0.0138718145869356,0,0,0,0.039221723932526,0,0
X600019.SH,0,0,0,0,0,0,0.0068352182631915,0.047554179035036,0,-0.0482926148909842,0,0,0.0428868204728594,0,0,0,0,-0.100525259479433,0,0,0,0,0,0.153169346488123,0,0,0,0,0,0,0,0,0,0,0.130965039265734,0,0,0,0,0.0293346046545692,0,0,0,0,0,0,0,0.0901832905575012,0,0,0.0904182382309907,0.0231783803649124,0.0385422247979986,0,0,0,-0.00868914422730395,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0.20739631004388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395718497601054,0,0,0.173535721668299,0,0,0,0.0162831468614575,0,0,0,0,0,0.189451196221337,0,-0.0364107644013214,0,0,0.028097597174941,0,0.197356290010024,-0.117657002763053,0,-0.109369895910284,0,0,-0.0190894164680211,0,0,0,-0.0240539406744044,0,0
X600547.SH,0,0,0,0.0405726783291844,0.0383776126804116,0,-4.33680868994202e-19,0,0,-0.00240770153420741,0,0,0,0,-0.000669467094666622,0,-0.0852185790078129,0,0,0,0,0,0,0,0,0.596303652401896,0,0,0,0.0192348985341217,0,0,0,0,0,0,0,0,0.0284929578023017,0,0,0,0,0,0,0,0.123368965150854,0,0,-0.0360370518831882,0,0.00104425185615105,5.42101086242752e-20,0,0,0,0.00672264342023302,0,0
X000708.SZ,0,0,0,0,0.0641055655386671,0,0,0,0,0,0,0,0,0,0,0,0.000447300943751255,0,0,0,0,0,0,0,0,0,0,0,0,-0.026106259807229,0,0,0.127398104322019,0,0,0,0,0.331863726352925,0,0,0.120550975054773,0,0,0,0,0,0,0,0,0,0,-0.014082115338554,0,0,0,0,0.00413782120562431,0,0
X600660.SH,0,0,0,0,0,-0.228600685637826,0.0284151894383521,0,0,0,0,0,0,0,0,0,0,0,0,-0.0184900573960088,0,0.254346498486798,0.00132471290684804,0,0.0602817608734334,0,0,0,0,0.156600133240925,0,0,0.0159229392009928,0,0,0,0,0,0,0,0,-0.0330025104321362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157423893877097,0,0
