,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X002466.SZ,X600585.SH,X000792.SZ,X600011.SH,X601898.SH,X600019.SH,X600660.SH,X600111.SH,X600010.SH,X600547.SH,X000708.SZ,X000301.SZ,X600886.SH,X002271.SZ,X600795.SH,X000877.SZ,X601600.SH,X600426.SH,X600362.SH,X600027.SH,X600176.SH,X600803.SH,X601991.SH,X601699.SH,X000983.SZ,X000408.SZ,X600160.SH,X000629.SZ,X000786.SZ,X000723.SZ,X600378.SH,X600219.SH,X600995.SH,X600348.SH,X002080.SZ,X600489.SH,X600096.SH,X600157.SH,X000933.SZ,X000807.SZ,X600985.SH,X600688.SH,X600141.SH,X000831.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.553720421706088,0,0,0,0,0,0,0,0.185776712395306,0.16476714055111,0,0,0,0.0323090149991348,0,0,0,0,0,0,0.0828600396454106,0,0,0,0,0,0,0,0.101870035105346,0,0,0.035882354237926,0,0,0,0,-0.0289646921066849,0,0,0,0,0,0,0,0,0,0,0,0,-0.00658786539362905,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.432494116274671,0,-0.0217937125204673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0611697585515203,0.0249793475597095,0,0,0,0.239395320193653,0,0.0864963656967105,0,0,-0.0185614045615074,0,0,-0.0307758636312712,0,0,0,0,0,0,0,0,0,0,0,0,-0.007336310958723,0,0,0,0,0,0,0
X600028.SH,0.590029609091909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017776080140806,0,0,0,0,0,-0.00879538924217623,0,0.0834024978558301,0.0288797198375607,-0.0175204922144735,0.00449634040541096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136656343017671,0,0.00985874944737069,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0474848908897001,0,0,0,0.104567813295537,0,0.349839180982705,0,0.0879897840214432,0,0.194107682158405,0,0,0,0,0,-0.057708995334585,0.045579784409034,0,0,0,0.0430042168573505,-0.147044486719195,0,0,0,0,0,0.0239401603067939,0,0,0,0.0276010273034609,0,0.00814325701889573,-0.0921755236397426,0,0,0,0,0,0
X600188.SH,0,0.734280641964037,0,-0.0469211361972055,0,0,0,0,0,0,0.0554533245394407,0,0,0,0,0,0,0,0,-0.0406897752269479,0,0,0,0,0,0,0,0.0507582008800511,0.0184815017084794,0,0.128106415481019,0,0,0,0,0,0,0,0,0.0199925791147433,0,0,0,0,0.135704094509058,0,-0.0734785052602027,0,0,0,0,0.0322796767725106,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.452501609408756,0,0,0,0,0,0,0,0,0,0,0.0265717356918326,0,0,0,0,0,0,0,0,0,-0.119564204358989,-0.12201687686913,0,0,0,0,0.0254153439118115,0,0.10737191569413,0.130906947340224,0,0,0,0.223044116764977,0,0,0,0.0357108975121463,0,0,0,0,0,0,0.00586821673678027,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.413011264708374,0,0,0,0,0,0,0,0,-0.0214409730676743,0,0,0,0,8.67361737988404e-19,0.0867219099397022,0.0555489281021178,0,0,0,0,0,0,0,0.0232259778561615,0,0.420758844883626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0870806271682546,0,0.141687731883358,0,-0.0130026497266389,-0.0262634592323675,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117355613018979,0,0,0,0.0732610514098766,0,0,0,0,0,0,0,0.0740087489712781,-0.115911743137091,0,0,0,0,0.342655016121284,0,0,0,0,0,0.0759975450075377,0,0,0,0,0,0.0179416965309754,0,0,0,0,-1.37169206003432e-05,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.190699926124262,0.0722452944691989,0,0,0,0,0,0,0.218917735988396,0,0,0,0,0,0,0,0,0.0640968412785281,0,0,0,0,0,0,0,0,0.238513624000548,0,0.0024912155414773,0.143962946529615,0,0,0,0,0,0,0,0,0,0,0.0618829649915766,0,0,0,0,0,-0.00436765447672398,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297244779711579,0,0.0584262972308679,0.26242087894712,0,0,0.133450564087371,0.18762684050823,0.0266263985388614,0,0,0,0,0,0.056644967529699,0,0,0,0,-0.297181663979256,0,0,0.0409693025833284,0,0,0,-0.0151338141771509,0.0908177453009252,0,0,0,0,0,0
