,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X601600.SH,X600309.SH,X601898.SH,X601992.SH,X600111.SH,X600688.SH,X600795.SH,X002466.SZ,X600547.SH,X600362.SH,X600188.SH,X601991.SH,X300072.SZ,X600660.SH,X600516.SH,X600886.SH,X000709.SZ,X002460.SZ,X000898.SZ,X600157.SH,X600027.SH,X600489.SH,X000959.SZ,X600339.SH,X600808.SH,X600219.SH,X600549.SH,X600352.SH,X601158.SH,X000553.SZ,X000983.SZ,X600008.SH,X002271.SZ,X002092.SZ,X000630.SZ,X000883.SZ,X000786.SZ,X000792.SZ,X000723.SZ,X000807.SZ,X600176.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0233285974838695,0,0,-0.0165263438161799,0,0,0,0.0360473399610323,0.0161302131671779,0,-0.0125920215955877,0,0,0,0,0,0,0,0,-0.0485165256031128,0,0,0,0,0,0,0,0,0,-0.0294070262719874,0,0,0,0,-0.0569049520678368,0.0554027710948207,0,0,0,-0.0077134640493024,-0.0135854246979696,0.00948540447428575,0,0,0,0,0
X600028.SH,0,0,0,0,0.134667432190502,0,0,0,0.0232297485193387,0,0,0,0,0,0,-0.0461741024475528,0,0,0,0,0,-0.0287785386708045,0,0,0.0152655855299772,0,0,-0.250473900645321,0,0,-0.00472623148927634,0,0,0,0,0,0,0,-0.0727474985457633,0.0262908667015264,0,0,0,0,0,0,0,0,0.0372468696227233,0,0.0064563435616503,0,-0.0535031820850342,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.00157500263147102,0,0.00587600088712002,0.00647984481826461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0097362235816704,0,0,0,0,0,0.0340225319337849,0,0,0,0,0,0,-0.0058925019770959,0,0,0,0,0.113534500718962,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.171564880399093,0,0,0,0,0,0,0.0837304133114895,0,0,0,0.04020502681135,-0.029247950506888,0,0,0,0.217921225255991,0,0,0,0,0.031001107537456,0.267885478996741,0,0.0500853446472057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0142154743461309,0.0326567638411278,0,0,0,0,0,0
X600585.SH,0,0.333570769511218,0,0,0,0,0,-0.16666841110224,0.00197384716301968,0,0,0,0,0,0,0,0.0175636521190583,0.160825267561295,0,0,0.448389024378445,0,0,0,0,0,0,0,0,0,0.0886267943454322,0,0,0,0,0,0,0,0,0.0215979532123513,0,0,0,0,0,0,0.0198174524674265,0,0,0,0.00547839975248251,-0.00184359155235774,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0.0934523747104928,0,0,0,0,0.0656181878574468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206885552110462,0,0.0643635009100181,0,0,0,0.00792287492156677,0,0,0,0,0,0,0,0,0.0183671388590175,0,0.140666066288853,0,-0.0164723833588625,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.0413999747926271,0,0,0,0,0,0,0.0642959843993791,0,0,0.24576037222935,0,0.0694186046322885,-0.0619640552298935,0,0,0.0646213888891572,-0.0391919273419404,0,0,0,0,0,-0.0248304124788295,0,0,0.142399374297045,0,0.0403558646587709,0,0,0,0.000111577688302205,0,0,0,0,0,0,0,0,0,0.0273139516237847,-0.0303630753565597,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022799741723905,0,0,0,0,0,0,0,0.106467540062056,0,0,0,0,0,0.212152627640288,0.265289056640999,0.138814870595173,0,0,0,0.0604332137052058,0,0,0,0,0,0,0,0,0.0476642931421478,0,0.0774564411038533,0,-0.00960354993958271,-0.00667575423644619,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101452682622858,0.194709560310944,0.0470226036328481,0,0,0.132429296221219,0,0,0,0,0,0,0,0,0.0513416683021579,0,0,0,0,0,0,0.119342971500423,0,0,0,0,0,0.0780660992831779,0,0.073692060313243,0,-0.00615637825617303,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.251543360819041,0,0,0,0.0403417920072492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0720177705723887,0,0,0,0,0,0.176945646753238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065830019632744,0,0,0,-0.0186027337340561,0,0,0,0,0,0,0
