,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X002460.SZ,X000792.SZ,X600019.SH,X601898.SH,X600111.SH,X002466.SZ,X600011.SH,X002271.SZ,X000877.SZ,X600660.SH,X000708.SZ,X600010.SH,X600547.SH,X000301.SZ,X601600.SH,X600886.SH,X600176.SH,X600426.SH,X600362.SH,X600795.SH,X000786.SZ,X000983.SZ,X600096.SH,X600803.SH,X000723.SZ,X600801.SH,X601991.SH,X600486.SH,X000408.SZ,X601699.SH,X600219.SH,X600027.SH,X600141.SH,X000932.SZ,X002080.SZ,X000807.SZ,X600295.SH,X300073.SZ,X600157.SH,X600489.SH,X000830.SZ,X600688.SH,X600352.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0957505343413096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0808293813741789,0,0,0,0.14210452867751,0,0,0,0.0612216154906547,0,0,0.0656388078486796,0,0,0,0.0456905326899904,0,0,0.183789444329554,0,0,0,0,0,0,-0.0295376634968068,0,0,0,0,0,0
X601088.SH,0.040757984257312,0,0,0,0,0.0644311276861998,0,0,0,0.225290490304163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0438361981287923,0,0,0,0,0,0,0.0251669937960805,0,0,0,0,0,-0.0569427701136035,0,0,0,0,0,0.360651721725198,0,0.0524939297773442,-0.0154945326673925,0,0,0,0,0,0
X600028.SH,0.0447587920767911,0,0,0,0,0,0,0,0,0.0430616281308364,0,0,-0.0776351629154331,0,0,0,0,0,0,0,0.0459736296901976,0,0,0.0596492338332879,0,0,0,0,0.000838702431777898,0,0,0,0,0,0,0,0.08027506222357,0,0,0,0,0.017425838617684,0.0366708799086329,0,0,0,0,0,0,0,0,0,-0.0166689621314431,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.0088561698188616,0,0,0,0,0,0,0.225603945750972,0.134396532170571,0,0.159504020681788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341171728155257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.053949422445848,0,0,0,0,0,0,0,0,0,0.00922563556789112,0,0,0,0,0,0,0,0,0.0719342035728867,0,0,0,0.0881755846164279,0,0,0,0,0.360419228291949,0,0,0,0,0,0.0359896167282545,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027092815247595,0.0157128153070354,0,0,0,0,0,0
X600188.SH,0,0.315690838431428,0,0,0,0,0.0436119533345151,0,0,0,0,0.0651254717423294,-0.000282226490735331,0,0,0,0,0,0,0,0,-0.108247564508386,0,0.0644425710951103,0,0,0,0.0143920450504401,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0458988762636407,0,0,0,0,0,0,0,0.562800191541208,0.195086299001512,0.0773730167801739,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.0421408719605615,0,0,0.267422280128903,0.539563972065276,0.0449443223771195,0,0,0,0,0,0,0.0124107247535139,0,0,0,0,0,0,-0.0158989241524359,0,-0.0746514039639941,0,0,0,0,0,0,0.0220165005256737,0,0,0,0,0,0,0,0.0748185164951795,0,0,0,0,0,0,0,-0.0976796038932896,0.049301471896918,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0.270719181381052,0,0,0,0,0.175866714744693,-0.0438080487038136,-0.0728897892520926,0,-0.00176296631594863,0,0,0.136844854844009,0,0,0,0,0,0,0,0,-0.0265718993395145,0.0132919709355227,0.130722260534958,0,0,0,0,0,0,0,0,0.357725809184385,0,0,0,0,0.0586854973546578,0,0,0,0,0,0,0,0,-0.0284240842832691,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0268329425105331,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020166514723568,0,0,0,0,0,0,-0.0137392200311734,0,0,0,0,0,0.491080005106138,0,0,0,0,0,0,0,0,0,0.124531151666683,0,0,-0.0281390796448887,0,0,0,0,0,0
X601898.SH,0,0.212466538044139,0,0.0212211336356026,0,0,0,-0.0958000994285405,0,0,0,0,-0.0525984553737277,0,0,0,0,0,0.145382133901159,0,0,0,0,0,0,0,0,0.167084290914418,0,0,0.0485778861827275,0,0,0,0,0,0,0,0,0.0823307061325002,0,0.0465635137248437,0.0798201284589934,0,0,0,0,0,0,0.23384160468627,0,-0.00415104469494913,-0.00920648509863536,0,0,0,0,0,0
