,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X601991.SH,X600688.SH,X600027.SH,X600886.SH,X601992.SH,X600157.SH,X600362.SH,X600111.SH,X600188.SH,X600299.SH,X002466.SZ,X600623.SH,X601158.SH,X000027.SZ,X600583.SH,X600352.SH,X000539.SZ,X000792.SZ,X600660.SH,X600309.SH,X600160.SH,X000630.SZ,X600098.SH,X000709.SZ,X000898.SZ,X000883.SZ,X600021.SH,X000060.SZ,X002470.SZ,X600547.SH,X600489.SH,X600578.SH,X002004.SZ,X600863.SH,X600315.SH,X000629.SZ,X600022.SH,X300072.SZ,X600307.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118795793789926,0,0.0407842623521707,0,0,0,0,0.0853167340201673,0,0,0.122495138203931,0,0,0,0.00838687250871337,0,0,0,0,0,0.120208463066652,0,0,0,0,0,0,0,0,0,0,0,0,0.0200395988379325,0,0,0,0,0,0,0
X600028.SH,0.44978994682985,0,0,0,0,0,0,0,0,0,0,0.0444666535621428,0.0139447933038133,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.0224201268524508,0,0,0,0,0,0,0,0,0,0.0987391952691134,0,0,0,0,0,0,0,0,0,0,0,0,0.0100050961966887,-0.00242505254015342,0,0,0,0,0,0
X601088.SH,0,0,0,0.34703034465483,0,0,0.247363619250017,0,0,0,0,0,0,0,0.0966815376239308,0,0.00909635864181883,0,0,0,0.0384877777647136,-0.0492642124517671,0,0,0.15438840657989,0,0,0,0,0,-0.0286428172040356,0,-0.033557301342302,0,0,0,0,0,0,0,0,0,-0.0150756340097549,0,0,0,0,0,0,0,-0.0123847455246795,0,0.0208980668301103,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.474231793001664,0,0.104737414027977,0,0.0405180147219023,0,0,0,0,0,0,0,0,0,0,0,0,0.01352975514956,0,0,0,0,0,0,0,0.0793829728152043,0,0,0.0771796926406221,0,0,0,0,0,0,0,0,0.0318489448107568,0,0,-0.00994566366036415,0.00636479419996777,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280268000801918,0.283956393539222,0,0.113793536054432,0,0,0,0,0,0,0,0,0,-0.0421868461037316,0,0,0.105347955391966,0,0,0,0.00889353454956249,0,0,0,0,0.0133118907929942,0,0,0,0,0.0734688635617177,0.0887397526019349,0,-0.0203663512944319,-1.73472347597681e-18,0,0,0,0,0,0
X600019.SH,0,0,0.0345525863669109,0.0344302059190453,0,0,0,0,0,0,0,0,0,0,0.098092692646694,0,0.024752197371497,0,0.0414687245811871,0,0,0,0,0,0.135744484016471,0,0,0.0169163217948591,0,0,0,0,0,0.26201355968403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00295255959032751,0,0,0,0,0,0,0
X600585.SH,0.00063667344587743,0,0,0,0,0,0,0,0,0,0,0,0,0.0484320059015483,0.00872974900112259,0.0196468738369464,0,0.04824501972447,0,0,0,0,0.100618378354933,0,0,0,0,0,0,0,0.0533969638844476,0,0,0.147634650476918,0,0,0,0.0511270029362818,0,0,0,0,0,0,0,0,0,0,0,0,-0.0187395101643006,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.063472990148748,0,0,0,0,0.203711269889477,0.0385318658548955,0,0,0.143354118890341,0,0,0,0,0.0896846673207979,0,0,0,0,0,0,0.0329522211138468,0,0,0.115989651620378,0,0,0,0.0547602754557929,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0.00925197262864609,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0.0218217073483617,0,0,0,0.0656958822425913,0,0,0,0,0,0.0159138940967571,0,0,0,0,0.0516095820868719,0,0,0,0,0.0164690805006823,0,0,0,0.064872635603487,0,0.257679896499009,0,0,0,0,0,0,0.0971932061936677,0,0,0,0,0,0,-0.00368094067553884,-0.0037921806816569,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0754777167198587,0.133199561507869,0.173538056134817,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00557915643318638,0,0,0.132049484130613,0,0,0,0.0950816252479167,0,0.0619759355900522,0.0720999629350656,0,0,0,0,0,0,0,0.0965181080117322,0,-0.00218474290706218,0,0,0,0,0,0,0
X601991.SH,0,0,0,0.371650709001725,0.0704983024025929,0,0,0,0,0,0,0.0376878408377781,0,0,0.0222174302949577,0,0,0,0.20151080134293,0,0.00419564722141205,0,0,0,0,0,0,0.0346302855033377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525128521795512,0,0,0,0,0,0,-0.00870545301400686,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123214425372124,0,0,0.0293198419270977,0,0.0649795253027421,0,0.150661153877398,0.197659092495094,0,0,0.0680259766101937,0,0,0,0,0,0.0101991246073443,0.137101945257224,0.125874731333664,0,0,0.0319916302382614,0.0741609921421057,0,0,0,0,0,0,0,0,0,0,0,-0.0196416240082612,0,0,0,0,0,0,0
