,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X000723.SZ,X601600.SH,X601898.SH,X600352.SH,X600660.SH,X600547.SH,X601991.SH,X600688.SH,X600188.SH,X600362.SH,X600886.SH,X600795.SH,X600516.SH,X601992.SH,X600027.SH,X600801.SH,X000898.SZ,X600111.SH,X600299.SH,X600176.SH,X002466.SZ,X000709.SZ,X002460.SZ,X000786.SZ,X000629.SZ,X600219.SH,X000990.SZ,X600157.SH,X002110.SZ,X600808.SH,X002271.SZ,X000553.SZ,X601158.SH,X000825.SZ,X600489.SH,X000883.SZ,X300072.SZ,X000630.SZ,X600985.SH,X600583.SH,X600339.SH,X600426.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0237807616659951,0,0,0.00691086942210584,0,0,0,0,0,-0.0119301441821049,0,0,0,0,0,0.108891647196741,0,0,0.019607624886672,0,0,0.0343988813450371,0,0,0,0,0,0,0,0,0,0,0,0.0249373517070672,0,0,0,0,0,0,0,0,0.0154081362105127,0,0.13139137510673,0,0,0,0,-0.00460724572333698,-0.0138947053155297,0,0,0,0,0,0
X600028.SH,0,0,0.0826902865087616,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.091023305585981,0,0,0.038074653330112,0,0,0.0566691875119134,0,0,0,0,0,0,0,0.000199413450546084,0,0,0.00950815677999262,0.0375605870333122,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0673886455544842,0,0.00440420764173616,-0.0425484218079719,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,-0.102040942316272,0,0,0,0,0.0847434318583215,0,0,0,0,0,0,0.145535408676034,0,0.00293509328324929,0,0,0,0,0,0,0,0,0,0.068180705203168,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179695693859173,0,0,-0.0496588877870663,0,0,0,-0.00514144387605314,0,0
X600585.SH,0,0,0,0,0,0.0901767621307869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484580549840896,0,0,-0.000585859014465529,0,0,0,0,0,0,0,-0.0105832749042365,0,0.0570822833490329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0154484494115509,0.000627465505055318,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0943163244764951,0,0,0,0.196875467274382,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875908852241576,0,0.0950919063204242,0,0,0,0,0,0.0414028004370904,0,0,0,0.0418333192169405,0.0331292405118241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033082543878475,-0.00894825412619176,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0734089506691187,0,0,0.0235915676030739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0660889379086691,0,-0.109060641194271,0.0346160582683571,4.33680868994202e-19,0.153056417726136,0,0,0,0,0,0,0,0,0,0,0,0.0147122995207645,0.39026926119635,0,0,0.0252169827153412,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,-0.0203995901064077,0.0701964742364984,0,0,0,0,0,0,0,0,0,0,0.490030862646414,-0.0721357935947471,0,0.433344121475388,0,0,0,0.0253268641671682,0,0,0,-0.0246555518447034,0.0370970951671102,0,0,0,-0.00998276189142379,0,0,0,0.0720863897066099,0,0,0,0,-0.0656613138461452,0,0,0,0,0,0,0.0103413788132017,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192898591177188,0,0,0.0253360141947166,0,0,0,0,0.154172124474812,0.0148883597125444,0,0,0,0,0,0,0.350644115183807,-0.00919587078012827,0.0795995506277261,0,0,0,0,0,0,0,0,0.0243706657941349,0,0,0,0,0,0,-0.014494723173415,-0.00175665625578865,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0,0.422597236103544,0,0,0,0,0,0,-0.0441406139532229,0,-0.101882197200862,0,-0.0912875508268993,0,0,0,0,0,0,0,0.685110209914321,0,0,0,0,0,0,0,0.280262669244156,0,0,0,0,0,0,0,0.0492803105685334,0,0,0,0,0.11125189389066,0,0,0.24209692149515,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.0209526870581863,0.00884863666733112,0,0,0,0,0,0,0,0,0.188824231509729,0,0,0,0,0,0,0,0.106886340949261,0,0,0.0127414068011716,0,0.0249956928343787,0,0,0.238535553868363,0,0,0,0,0,0.105679176824719,0,0,0,0,0.0461176398376667,0,0,0,0,0.102753253587664,0,-0.00675704633872933,-0.00462146206929021,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.175847324522819,0,0,0,0,0,0,0,0,0,0.163116408651642,0,0,0,0,0,0,0,0.0536934001061816,0,0,0,0,0,0.0158123101515019,0,0,0,0.00602916251212546,0,0,0,0,0,0,0,0,0.066411498064207,0,0.077724334452357,0,0,0,0,0,0,0,0,0,-0.0115509120876628,0,0
X600352.SH,0,0,0,0,0,0,0,0,0.0349838000323189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474371289017325,0,0,0,0,0,0,0,0,-0.111155364080465,0,0.0429054510525646,0,0,0,0.0356655433566303,0,0,0,0,0,0.186919723726003,0.141356993353483,0,0,0,0,0,0,0.00705957475205909,0,0,0,-0.289528097527481,0,0
X600660.SH,0,0,0,0,0,0.0240522636923577,0,0,0.11116047549567,0,0,-0.0308611279470807,0,0,0,0,0,0,0,0,-0.0726364681722509,0.0459326711895043,0,0,0,0,0,0,0.0814417505709485,0,0,0.216987363220168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0130165108559273,0.044699625880044,0,0,0,0,0,0
