,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X600188.SH,X601600.SH,X601898.SH,X600688.SH,X601991.SH,X002466.SZ,X600362.SH,X600660.SH,X600795.SH,X600547.SH,X300072.SZ,X601992.SH,X002460.SZ,X600516.SH,X600111.SH,X000898.SZ,X600886.SH,X000786.SZ,X600176.SH,X000553.SZ,X600352.SH,X000792.SZ,X000709.SZ,X002271.SZ,X000825.SZ,X600027.SH,X600299.SH,X000408.SZ,X601158.SH,X601699.SH,X600489.SH,X600219.SH,X600808.SH,X600426.SH,X000883.SZ,X600583.SH,X000630.SZ,X002470.SZ,X600157.SH,X600315.SH,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.258433215819703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176195234881711,0.0047802393122782,0,0,0,0,0,0,0,0,0,0,0,0,0.0449072428063726,0,0,0,0,0,0,0,0.0572402030977124,0.0549567108516286,0,0.0847635470795365,0,0,0,0,0,0,0.00825176329408754,0.0159853167173614,0,0,0,0,0,0
X600028.SH,0,0,0.337672884518869,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169010395695155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0584697186662503,0,0,0,0,0,0,0.0372813882221983,0,0,0,0,0,0,0
X601088.SH,0,0.118530691865158,0,0.218421875048804,0,0,0,0,0.0285474689924142,0,0,0,-0.00518327852399556,0,0,0,0,0,0,0,0,0,0,0,0.00863169609709441,0,0,0,0,0,0,0,0,-0.17789054034392,0,0,0.390350423721394,0,0,0,0,0,0,0,0,0,0,0,0,-0.000781634165365634,-0.00554156569969008,0,0,0,0,0,0
X600019.SH,0,0,0.232486298273313,0,0.171983036104037,0,0,0,0,0,0,0,0,0,0,0,0,0.00836418487425211,0,0,0,-0.0381882815380274,0.126916351872109,0,0,0,0,0,-0.0444380229622016,0,0,0.0614923117064205,0,-0.0678017457269491,0,0,0.17744207771326,0,0,0.144477791661091,0,0,0,0,0,0,0,0,0,0.0205017482798126,-0.00515967278379666,0,0,0,0,0,0
X600585.SH,0,0,0.00621695975193893,0.333172397779316,0,0,0,0.244466726998513,0.0177915270387095,0,0,0,0,0.07457112986574,0,0,0,0,0,0,0,0,0,0,0.06543806172506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375817929766813,0,0.00434224342816707,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0531036328769919,0,0,0.167299102126987,0.00983038278459072,0,0,0,0,0.0619457916363627,0,0,0,0.0562843401542773,0,0,0,0,0,0,0,0.0934002564712642,0,0,0.109115947653056,0,0.104873672209708,0,0,0,0,-0.0151604963557014,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.0948999764980975,0,0,0,0,0,0,0,0,0,0,0,0,0.0157226721264231,0,0.057314779516819,0.195338064931062,0.0850852948922276,0,0,0,0,0.0372124450157129,0,-0.0254664064293241,0,0,0,0,0,0,0,0.208617918510207,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.0171656358853823,-0.019423139590164,0,0,0,0,0,0
X600188.SH,0,0.0773122859472534,0,0.249137771824164,0,0,0,0,0.0359972173371401,0,0,0,0.0484257540787852,0,0,0,0.190642732686898,0,0,0.101345106958464,0,0,0.15674969297646,0,0,0.145031856383209,0,0.017657136594443,0,0,0,0,0,0,0,0,0.14271621067799,0,0,0.23000035926705,0,0,0,0,0,0,0,0.147253864446137,0,-0.0339886611057166,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.777932084486408,0,0,0,0,-0.0588916520647369,0,0,0,0.315492398539331,0,0,0,-0.120509476832199,0,0,0,0,0,0,-0.119903055401082,0,0,0.0769115610304533,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.646069198189415,0,0,-0.464991926211959,0,0.0360675102904593,-0.149091593367265,0,0,0,0,0,0
X601898.SH,0,0.0444204943101903,0,0,0,0,0.0420671720146881,0,0,0,0,0,0,0.401971632073069,0,0,0,0,0,0,0,0,0,0,0,0,0.00770963666207993,0.0179350319181338,0.0866199171377025,0,0,0,0,0,0,0,0,0,0,0.146424300671772,0,0,-1.73472347597681e-18,0,0.0940364861624447,0,0,0.0741427467670154,0,0.000649635147408769,0.00876544794320144,0,0,0,0,0,0
X600688.SH,0,0.444986056848091,0.0584161694611997,0,0,0,0.0163905551566023,0,0,0,0,0,-0.010064865439752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0194644778244694,0,0,0,0,0,0,0,0.00148023234619463,0,0,0,0,0,0.0142643874454718,0,0.0621426478551755,0,0,0,0,0.0260716269279702,0.0712794779307681,0,0.100026975083696,0,0,0,0
