,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X600660.SH,X601991.SH,X600188.SH,X600688.SH,X601600.SH,X600795.SH,X600362.SH,X600886.SH,X000898.SZ,X002466.SZ,X600516.SH,X300072.SZ,X600027.SH,X600547.SH,X601992.SH,X600111.SH,X002460.SZ,X600176.SH,X000553.SZ,X600352.SH,X002110.SZ,X000786.SZ,X600299.SH,X600808.SH,X600801.SH,X000709.SZ,X000932.SZ,X600426.SH,X000883.SZ,X601699.SH,X601158.SH,X600339.SH,X600219.SH,X601003.SH,X000408.SZ,X002271.SZ,X600782.SH,X000830.SZ,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0144095980867098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.081400160352421,0,0.133998027466154,0,0,0,0,0.135264340904885,0.0285920459422563,0,0,0,-0.00668405004359057,0,0,0,0,0,0
X600028.SH,0,0,0.307492508820347,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0779133357630988,-0.0824493187897857,0,0,-0.0917003781962617,0,0,0,0,-0.0351140619641747,0,0,0.0478693063260143,0,0.035195341777176,0.0405432079721982,0,0,0.105247276990023,0,0,0,0,0.000992044098610031,0,0,0,0,0.0294746524350818,0,0
X601088.SH,0,0.0451362980122908,0,0.150253500324723,0,0.00897101830211934,-0.155249623952215,0,0,0,0,0.351951616343826,0,0,0,0.235646056439918,0,0,0.0157625144185841,0,0,0,0,0,0,0,0,-0.000715390789359498,0,-0.0495278510008983,-0.0627478690854164,0,0,0,0,0,0,0,0,0,0.0115543181034257,0,-0.00312693350782916,0,0,0,0,0,0,-0.00873670758143024,-0.0265644735226809,0,0,0,0,0,0
X600585.SH,0,0,0.120339231735974,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0577584335863469,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958469607596824,0,0,0.333579469085388,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.1972905896836,0,0,0,-0.0258601605870181,0,0,0,0,0,0
X600019.SH,0,0,0,0.082741722749286,0,0.00436765442007947,0,0,0,0,0,0.0966460795279477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161438999508243,0,0.138726062137821,0,0,0,0,-0.0154478771172196,0,0,0,0.115992110338374,0.166889067447331,0,0,0,0.0103480588487232,0.0101655249158109,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393174872839801,0.174689085489326,0,0,-0.136043805665153,0,0,0,0,0,0,0,0,0.0125371744109869,0,0,0.114285598082239,0.346152406751315,-0.197468635396034,0.144229022249943,-0.257861367810769,0,0,0,0,0,-0.0299106764733625,0,-0.0375968568910811,0,0,0,0.243116054670005,0,0.0888451493025673,0.0302331497626329,0.0504633265235695,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0428593040822148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101025733511109,0,0.279432826892085,0,0,0,0,0,0,0,-0.212100981109432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17783411642175,-0.0680163358906588,0.119212128103242,0,0,0,-0.00407774670837015,0.0136032286581528,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114258448344417,0.0310891733081746,0,0,0,0,0,0,0,0,0.361750342602252,0,0,0,0,0,0,0,0,0.135208017318244,0,0,0,0,0.110314015950149,0.261237138265264,0,0,-0.00261514653645052,-0.0418400996072299,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27602936933046,0,0,0,0,0,0,0,0,0,0.173260779328523,0,0,0.0267457025883933,0,0,0,0,0,0,0,0,0,0.0209419143741117,0,0.0389439949250351,0,0,0,0.0363226336167664,0,0,0,0.0227223089380303,0,0,-2.0502602405484e-05,0.000329040481923489,0,0,0,0,0,0
X600660.SH,0,0.0465800612789682,0,0,0,-0.110342864387784,0,0,0,0,0,0,0,0,0,0,0,0,0.037666853275985,0,0,0,0,0,0,0,0.186543725830014,0,0,0,0,0.0395686884783332,0,0,0,0,0.207637179214272,0,0,0,-0.00937673312102557,0,0,0,0,-0.00666714852412097,0,0,0.218810262070633,-0.013179669994267,0.030706495818612,0,0,0,0,0,0
