,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X601898.SH,X600688.SH,X300072.SZ,X601600.SH,X600547.SH,X600309.SH,X600795.SH,X601991.SH,X600188.SH,X600660.SH,X600362.SH,X600886.SH,X000709.SZ,X002466.SZ,X600027.SH,X600157.SH,X600339.SH,X600111.SH,X000959.SZ,X600489.SH,X000898.SZ,X601158.SH,X600299.SH,X600008.SH,X002460.SZ,X600219.SH,X000408.SZ,X000883.SZ,X600352.SH,X600160.SH,X600578.SH,X000630.SZ,X000792.SZ,X600583.SH,X600176.SH,X000723.SZ,X000401.SZ,X000539.SZ,X000027.SZ,X000983.SZ,X000629.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.027933737197123,0,0.0606329421867425,0,0,-0.0289706781846997,0.0380358343892099,0,0,0,0.119015105957922,0,-0.0236489307279871,0,-0.0098468751085872,0,0,0,0,-0.0238536252836813,0,0,0,0,0,0,0.00318075259883973,0,0,0,0.0265184018133791,-0.0576657567266282,0,0,0,0,0,0,0,0,0.0983988409424505,0,0,0,0,0,0,0,0,-0.0126957325745449,0.00569753430164179,0,0,0,0,0,0
X600028.SH,0.0192232978917281,0,0,0,0,0,0,0.0384369077808454,0,0.0750205213219426,0.061939582381348,0.016560954795194,0,0.00138046378082395,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0882821713746341,0,0,0,0.0142373992295027,-0.0384169600759721,0,-0.0155135117778784,0,0,0,0,0,0,0,0,0,0,0,0,0.0623107590190137,0,0,-0.00525105954990704,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.0787473973293071,0,0,0,0,0,0,0,0,0,0,0,0.031455139760824,0,0.0904442721129911,0,8.67361737988404e-19,0,0,0,0,0,-0.01726311406178,0,0.164814286067395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0241903384534797,0,0,0,0,0,-0.00671348278566274,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0637405504254578,0,0,0,0,0,0,0,0.0330012546843211,0,0,0,0,-0.0376876361650725,0.026247908578152,0.520538775001041,0,0,0,0.0293808921818663,0,0,0,0,0,0.0446153001816872,-0.0366470829435791,0,0,0,0,-0.0111521637089736,0,0,0,0,0,0,-0.0337712848955835,0,0,0,0,0,0
X600011.SH,0,0,0.0166139707057931,0,0,0,0,0,0,0,0,0,-0.115952343231008,0,0,0,0,0,0,0,0.092060150656416,0,0.150937373324243,0,0.102490176714116,0,0,0,0,0,-0.0858050668112503,0.0531873985725793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0819337456540337,0.0543069482520713,-0.0252054224369639,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.311804854151207,0,0,0,-0.0907830938880283,0,0,0.00883131901048452,0,0,0.086625114951071,0,0,0,0,0,-0.243147556685953,0,0,0,-0.0403544841056421,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.0284984158072374,0.141081865180229,-0.0481773543243424,0,0.107425438615536,0,0,0,0.00295836314311775,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.0149221152297711,0.0768304429484677,0,0,0,0.0121148783749479,0,0,0,0,0,0,0,0,0,0,0,0,0.25765346260874,0,0,0.0478542219122974,0,0,0,0,0,0,0,0,0,0,0,0.150790012214664,0.0504885743734593,0,0.0943940741586321,0,0.0134847698388038,0,0.0102209728262635,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,-0.0888127199520077,0,0,0,0,0,0,0,0.136566789576969,0,0.517645902274406,-0.154459389085434,0,0,1.73472347597681e-18,0,0.0320441673271071,0,0.0331811189158813,0,0,0.239251297963572,0,0,0,0,0,0,0.0787597847154575,0,0,0,0,0,0.427564894431421,0,0,0,0,0,0.0062832203333949,0.062156258120114,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010565012035716,0,0,0,0,0.00124951874434445,0,0,0,0,0.00973689613400834,0.016586305727198,0,0,0,0,0,0,0,0,0.334978276137642,0,0,0,0,0,0.243182614127136,0,0,-0.00305957308479908,-0.00796719197156561,0,0,0,0,0,0
X600688.SH,0,0.346977118826777,0,0,0.0759814362760832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0850296545007262,0,0,0.0431349792006709,0,0,0,0,-0.148990006308437,0,0,0,0,0,0,0.126773750467114,0.0457950806846466,0,-0.0123282944555697,0.010926377133788,0,0,0,0,0,0
