,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600019.SH,X600585.SH,X600011.SH,X600188.SH,X002460.SZ,X601898.SH,X600547.SH,X000792.SZ,X002466.SZ,X601600.SH,X600660.SH,X600886.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X002271.SZ,X000877.SZ,X600426.SH,X600362.SH,X600795.SH,X600176.SH,X600803.SH,X600027.SH,X601991.SH,X600489.SH,X000983.SZ,X000807.SZ,X601699.SH,X000786.SZ,X000932.SZ,X600160.SH,X000408.SZ,X000629.SZ,X600219.SH,X002080.SZ,X000539.SZ,X600995.SH,X300037.SZ,X000933.SZ,X600688.SH,X600096.SH,X000630.SZ,X000723.SZ,X600612.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.272543250951506,0,0,0,0,0.0308810283483641,0.0535737093944173,0,0,0,0,0,0.120424681662218,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147526401992223,0,0,0,0.0768753960720816,0,0,0,0,0,0,0,0.0879193258967079,0,0,0,0,0,0,0,0.0877772900531631,0.210816851099187,0,0,0.0898154504758177,0.0255853114825127,0,0,0,0,0,0
X600028.SH,0.662150058731632,0,0,0,0.0512482668002003,0.124455033922767,0.0378843796969314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0532805064812622,0,0,0,0,0,0,0,0,-0.0588183903761708,0,0,0,0,0,0,0,-0.0431351228889856,0.00772716136779798,0.0504957435199797,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.331276455149644,0,0,-0.00656938099579225,0,0,0.0410745969313496,0,0,0.0615450280165458,0,0.0670946395475853,0,0.0354400546607141,0,0,0,0,0.12029370814205,0,0,0,0,0,0.0120772991407951,0,0,0,-2.16840434497101e-19,-0.0431408591017607,0,0,0,-0.0532790208750936,0,0,0,0,0,0,0,0,0,0,0,0.0368071152025066,0,0,0,0,0,0
X600309.SH,-0.0421794435122159,0,0,0,0,0,-0.185132483260739,-0.0123917661586672,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0569282690403905,0.169570955859857,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181444446367119,0,0,0,0,0.0265227421909535,0,0,0,-0.0135170014378068,0,0,0,0,0,0
X600019.SH,0,0.0655709426142658,0,0,0,0.172419658323278,0,0.0161868714089571,0,0,0,0,0,0.116877903147703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106681844954476,0,0,0,0,0,0,0,0,0,0.0218096923714291,0,0.0453199363655249,0,0,0,0,0,0,0,0.101375273175942,0.000949204607975722,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.411521943132393,0,0.0511956705447486,0,0,0,0,0,0.0705561032457322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.130466919809383,0,0,0.0637176130017788,0,0,0,0,0,0.14089727695059,0.0613385573201488,0.0311141528600537,0,0.0507650099948061,0,0,0.0146565017296887,0,0,0,0,-0.0284092417825207,0.114805610848146,0,0,-0.0710594341681418,0,0,0,0,0,0
X600011.SH,0,0,-0.0869959111095446,0,0,0.0406679682192119,0,0,0,0,0,0,-0.184416792884213,0,0,0.350586347575262,0,0,0,0,0,0,0,0,0,0,0,0.248038759710854,0.496436415733029,0.0953254378401553,0,-0.0425359824644785,0,-0.0768091491993553,0,0,-0.0903159054747519,0.25384734864645,0,-0.334887071478202,0,0,0,0,0,0,0,0,0,0.14201062514275,0,0.0097826051812021,-0.0413257388479356,0,0,0,0,0,0
X600188.SH,0,0,0.372385892252765,0,0,0,0,0,0,0,0,0,0,0.0283389365052718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.333768672263567,0,0.0624464576082493,0.696138914560637,0,0,0.115020808647489,0,0.139824784568621,0,0,0,0.101324837258413,0,0,0,0.0323148648228602,0.0374019998079088,0,0,0,0,0,-0.167255249164085,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.504961597490764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0557985955037276,0.0801197745904543,0.324029745637839,0,0,0,0,0,0,0,0,0,0,0,-0.00622966332143046,0,0.200318519113881,0,-0.0117316827992074,0,0,0,0,0,0
X601898.SH,0.103339073653215,0,0.0250401164375969,0,0,0,0,0.262687153851164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.236240417092525,0,0,0,0,-0.050130310028304,0,0,0,0,0.289102963389303,0.109152443174269,0,0,0,0,0,0,-0.104204236126563,0,-0.0871911530144155,0,0,0,0,0.000354945838831318,0,0,0,0.00509987266207623,0.0182385412098707,0,0,0,0,0,0
