,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600111.SH,X000792.SZ,X600019.SH,X002466.SZ,X600011.SH,X600010.SH,X600188.SH,X000877.SZ,X600660.SH,X002271.SZ,X000301.SZ,X601600.SH,X000708.SZ,X601898.SH,X600547.SH,X600886.SH,X600362.SH,X000723.SZ,X600176.SH,X600426.SH,X000408.SZ,X002080.SZ,X600219.SH,X601991.SH,X000786.SZ,X600795.SH,X600803.SH,X002326.SZ,X600027.SH,X300037.SZ,X300073.SZ,X600399.SH,X600141.SH,X600688.SH,X000831.SZ,X000959.SZ,X600516.SH,X000825.SZ,X600157.SH,X600096.SH,X600486.SH,X600352.SH,X000027.SZ,X600801.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.247698710657931,0,0,0,0,0,0.00060249430369124,0,0,0,0.0481252266456387,0.0402544887675018,0,0,0,0.0113317503433877,0,0,0.0158810038450795,0,0,0,0,0,0.100947877228654,0,0,0,0,0,0,0,0,0.109023760186007,0,0,0,0,0.104810878771263,0,0,0.0391102113247652,0,0,0.089433512969832,0,0,0,0,0,-0.0108537886686938,0,0,0,0,-0.0412949531401057,0,0
X600028.SH,0.167750743498876,0,0,0,0,0,0,0,0,0,0.0132469552765216,0,0.054752450830652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0761741036980152,0,0,0,0,0,0,0.0767531098656074,0,0,0,0,0.0474452077649012,0,0,0,0.0530214584980281,0.0994906827280165,0,-0.00964657482817745,-0.0187302354351742,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.144151699172796,0,0,0,0,0.213927852017722,0,0,0,0,0,0,0.407867311097589,0,0.0693725459723051,0,0.0391927726207589,0,0,-0.100255041027356,0,0.0963833676819074,0,0,0,0.0290809356932897,-0.0868703360215013,0,0,0,0,0,0.000128793723762401,0,0.00108843754680234,0,0,0,0,0,0,0,0,0,-0.00384870819361306,0.0113577933083101,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0761135338448626,0,-0.039338285823147,0,0,0,0,0,0,0.165287218525681,0,0,0,0,0,0,0,0.0884339620538247,0,0.0981500879883194,0,0,0,0,0,-0.0299549438282535,0,0,0,-0.0630762656333979,-0.0425392280543043,0,0,0,-0.0981078229783809,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0246626878916787,0,0,0,-0.0137662871538747,0,0
X002460.SZ,0,0,0,0,0,0,0,0.175969405554011,0,0.4305640642613,0,0,-0.124447746620249,0,0.107649505739643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0592400659114659,0,0,0.113547275533065,0,0,0,0,-0.000605798981534896,0,0.0546438682244819,0,0,0,0,0,-0.00472201404209735,0,0,0,0,-0.065132064317058,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.100362303152691,0.107725322500475,0,0,0,0,0,0,0,0,0,0,0.30793142431197,0,0.0192552203239146,-0.127699538383829,0,0,0.123879423911171,0,0,-0.0106294496420633,0,0,0,0,0,-0.0388980103859875,-0.0484668359748556,0,0,0,0,0,0,0,0,0.408375071134566,0,0,0.012656579156082,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.308348550798208,0,0.314091881847769,0,0,0,0.0719828789321994,0.0946553356220536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119161397268683,0,0,0,0.212470560495284,0,0,0.120684782214153,0,0,0,0,-0.124424187657113,0,0,0,0,0,0,0.0066578677358061,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.480776530084983,0,0,0,0,0.039710789162772,0,0.0969946597114122,3.46944695195361e-18,0,0,0,0.0939723313583462,0,0,0,0,0,0,0,0,0.0680568152330888,0.109884140336456,0.0961289566236952,0,0,0,0,0,0,0,0,0,0,0,0,0.0646715211674121,0,0.169475088196894,0,0,0,0,0,0,-0.205129175009513,0,-0.0760774586181284,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.0853551460681558,0.0614490222576852,0,0,0,0,0,0.0886525449646509,0,0,0,-8.67361737988404e-19,0,0,0.0495951593258937,0.041483518037048,0,0.0248492134635945,0.0734828555415796,0,0,0.0217416633075236,0,0,0,-0.0258139252117096,0,-0.104856686200742,0,0,0,0.0224589894231003,0.233637518638474,0.0174381775464723,0,0,0,0,0.201309494694044,0,-0.0119464424143702,0,0,0,0,0,0,0
X002466.SZ,-0.115461158976538,0,0,0,0.425606206029586,0,0,0.216812034207926,0,0,0,0.0207082531218672,-0.0482632597116142,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112589720589442,0,0.0524127133768193,0,0,0,0,-1.73472347597681e-18,-0.0833790182973043,0,0.0896027433275268,0,0,0,0.275743470757726,0,0,0,0,0,0,0,0,0,-0.111873462725342,0.0215288616814836,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.00392779190505804,0,0,0,0,0,0,0,0,0.0522498884733011,0,0,0,0,0,0,0,-0.0554254134936832,0,0,0,0,0.410244732167716,-0.0859415981798719,0,0,0,0.493935514655385,0,0,0.0343300488833099,0.00775414930899117,0,0,0,0,0,0,0,0,0,0,0,0,-0.000143090413611377,0,0,0,0,-0.0829172778598055,0,0
