,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600011.SH,X600019.SH,X600585.SH,X002460.SZ,X002466.SZ,X600547.SH,X601898.SH,X000792.SZ,X601600.SH,X600886.SH,X600111.SH,X600660.SH,X000301.SZ,X600010.SH,X000708.SZ,X002271.SZ,X000877.SZ,X600795.SH,X600362.SH,X600426.SH,X600027.SH,X600803.SH,X601991.SH,X601699.SH,X600489.SH,X600176.SH,X000983.SZ,X000807.SZ,X000786.SZ,X600995.SH,X600160.SH,X600219.SH,X600612.SH,X600688.SH,X300037.SZ,X000629.SZ,X000408.SZ,X002080.SZ,X000933.SZ,X600096.SH,X000630.SZ,X000932.SZ,X000723.SZ,X600157.SH,X600378.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.104861007279923,0,0,0,0,0.107077219863123,0,0,0,0,0,0,0.075996890497743,0,0,0,0.0127418544810311,0,0,0,0,0,0.021489715193754,0,-0.0626215521888153,0.0943868082261658,0,0.0160979611571665,0,0,0,0.0130221487279644,0.114290184569326,0,0,0,0,0.0398013324748673,0,0,0,0,0,0,0,0,0,0,0,0,0.0498726284176358,-0.0286527003248546,0,0,0,0,0,0
X600028.SH,0.443595051861016,0,0.118097421292052,0,-0.155896151270151,0,0,0,0,0,0,0.150678039019588,0,0,0,0,0,0,0,0,0,-0.0160558136333396,0,0,0.114743033016612,0,0,0.0192713012252804,0,0.0216022592142445,0,0,0,-0.0215888750529103,0,0,0,-0.0259905517148956,0,0.030238160253463,0,0,0,0,0,0,0,0,0,0,0,0,-0.0409732212952152,0,0,0,0,0,0
X601088.SH,0,0.130667271026878,0,0,-0.192153761917044,0,0,0,0,0,0,0.206617301207452,0,0.0701941377256462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00225672044434207,0,-0.00717323965533125,0,0,0,0,0,0,0,0.154931146044635,0,0,0.138473523849203,0,0,0,0,0,-0.0217664535395808,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.033792911552783,0,0,0,0,-0.0843432623378058,0,0,0,0,0,0,0,0,0,0,-0.11943089885886,0,0,0.256453328839267,0,0,0,0,0,0,0,0.134805201300942,-0.0161350599507577,0,0,0,0.0470110305699502,0,0,0,-0.0480379508141086,0,0,0,0,0,0,0,0,0,0.0269224247990478,0.0109736918947166,0,0,0,0,0,0
X600188.SH,0.187072622582516,0,0,0,0,0,0,0,0,0,0,0.0717476638837345,-0.121037576339551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145437944901079,0.0335827752055321,0,0,0,0,0,0,0,0,-0.0366868225538646,0,0.294273285201006,0,0,0,0,0,0,0,-0.0460456356285467,-0.00893832335093498,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.0158276572792797,0,-0.0372632919167356,0,0.140419353917999,0,0,0,0,0,0,-0.0839388054727042,-0.290200478872836,0,0,0.0477323506577952,0.446999946577306,0,0.0427896328427897,0,0,0,-0.14819453407305,0,0,0,0,0,-0.0613018011747837,0,0.0244069831428553,0,0,0.057737277366404,0,0,0,0,0,0,0.0366413482909185,0,0.00819844560589211,0,0,0,0,0,0,0
X600019.SH,0,0.30494706044703,0,0,0,-0.062145736353234,0,0,0,0,0.0455243709227765,0,0,0.0704738444997443,0,0,0,0,0,0,0.123078254267015,0.0202265181750524,0.0954463836840379,0,0,0,0,0,0,0,0.119905153474647,0,0,0,0,0.127411897621367,0,0,0,0,0,0,-0.0858550004619047,0,0,0,0,0,0,0,0,0.0129598617659732,-0.0185835353700473,0,0,0,0,0,0
X600585.SH,0,0,0,0,-0.0184594074997317,0,0,0,0,0,0,0,0,0.000466323363931908,0,0,0,0,0,0.040320031909123,0.148095575079491,0.233245797882221,0,0,0,0,0,0,0,-0.00701571112830203,0.0890911496954189,0,0,0,0,0,0,0,0,0,0.0270764851429743,-0.052492108684522,0,0.0932762774758296,0,0,0,0,0,0,0,0.0163024127680022,0.00274674477707051,0,0,0,0,0,0
X002460.SZ,-0.127068053775448,0,0,0,0.122663997667826,0,0,0,0,0.65618303117418,-0.0084403082033679,0,0,0,-0.0799645983881713,0,0,0,0,0,0,0.135238384944998,0,0,0,0,0,0,0,0,0,0,0.0444970659062785,-0.0886840347193267,0,0,0,-0.0531640755167577,0,0,0,0.185261508987194,0,3.46944695195361e-18,0,0,0,0,0,0,0.00707414758758489,0,0,0,0,0,0,0,0
X002466.SZ,0,-0.0652886003600362,0,-0.0494119851608312,0,0,0,0,0.352794737206089,0,0,0,0,0,0,0,0,0,0,0,0.234357791083139,0,0,0,0,0,0,0,0,0,0,0,0,-0.115649637250587,0,0.00296715257144617,0,0,0,0.0939018293285354,0,0,0.0567631856302146,0.0283301842787114,0,0,0,0.368391007393004,0,0,-0.059707839685341,-0.0327128595397569,-1.73472347597681e-18,0,0.37443784155443,0,0,0,0
X600547.SH,-0.0169354799661584,0,0,0,0,0.0539192531247807,0,0,0.0757652328697041,0,0,0,0,0,0,0,0.0576911493487609,0,0,0,0.181460546501358,0,0,0,0,0,-0.099467876586853,0,-0.0642090332854715,0.614251829443845,0,0,0,0,0,0.0199929269612025,0,0,0,0,0,0,0,0,0,0,-0.0140219861665593,0,0,0,0,-0.0320421874875196,0,0,0,0,0,0,0
