,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X002466.SZ,X000792.SZ,X600585.SH,X601898.SH,X600019.SH,X600011.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X000301.SZ,X600547.SH,X600886.SH,X600795.SH,X601600.SH,X000877.SZ,X002271.SZ,X600426.SH,X600362.SH,X600176.SH,X600027.SH,X600803.SH,X601699.SH,X000983.SZ,X000408.SZ,X601991.SH,X600160.SH,X000629.SZ,X600348.SH,X000723.SZ,X600995.SH,X600096.SH,X600219.SH,X600489.SH,X600378.SH,X000786.SZ,X002192.SZ,X600157.SH,X000831.SZ,X000807.SZ,X000933.SZ,X002353.SZ,X600399.SH,X000155.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.518407615121104,0,0,0,0,0,0,0.169237564130941,0,0,0,0,0,0,-0.0449991241429782,0,0,0,0.125830229325298,0,0,0,0,0,0,0.0434011770931239,0.00493413618752022,0.0387675935069935,0,0,0,0,0,0,-0.0128537464591702,0,0,0,0,0,0,0,0,0,0,0.115766031944362,0,0,0,0,-0.00857583260562131,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.280868643549676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367697239670975,0,0,0.0844055480567058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121735158577822,-0.0522487485007023,0,0,0.00306576396517366,0,0,0,0,0,0
X600028.SH,0.541276934485282,0,0,0,0,0,0.0058657019716486,0.0210814492497741,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0212902849128437,0.0320621407724757,0,0,0,0,0.090404572762254,0,0,0,0.0136682174533926,0,0,0,0,0,0,0,0.0265895408411491,0,0,0,0,0,0,0,0.0243367754493034,-0.0176328180711299,0,0,0.0107390217341546,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.0364760067979238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.197062144394618,0,0,0.126433681202341,0.158561297904345,0,0,0,0,-0.00879114846095492,0,-0.234505302257552,0,0,0,0,0.259712333296854,0,0.0519590938692568,-0.00158530477292444,0,0,0,0,0.063629986955821,0.137235268439195,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0.770806032647988,0,0,0,0,0,0,0,0.0234766100949774,0,0,0,0,0,0,0,0,0,0,0,0,-0.0283514319471415,0,0,0,0,0.0710387882367386,0,0.0820403494932506,0,0.0852540908477887,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.029836986632649,0,0,0,0,0,-0.0430653221179316,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.278437734910855,0,0,0,0,0,0,0,0,0,0.0515253577292701,0,0,0,0,0.0237523296126988,0,0,0,0,0,-0.140431297590905,0,0,0,0,0,0.102267064629599,0,0.0580505776939074,0,0,0,0,0,0,0.0106031032346903,0,0,0,0,0.208993220846156,0,0.19433678663078,0,0.0208822974877836,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.384177293938773,0,0,0,0,-0.259813867967468,0,0,0,0,0,0.0241020753517479,0,0,0.0965169980069192,0,0,0,0,0,0,0,0,0.29076309864004,3.46944695195361e-18,0.462188314613523,0,0,0,0.0110523357427915,0,0,0,0,0,0,-0.0067245720783665,0,0,0.199771563513596,0,-0.193855829236598,0,-0.0173247238642635,0,0,0.0141922447458349,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.170805993677792,0,0,0,0,0,0,0.169380199080612,0,0,0,0,0,0,0,0.115521567873336,0,0,0,0,0,0,0,0,0,0.250384425509073,0,0,0.00848266665981265,0,-4.33680868994202e-19,0,0,0,0,0,0.103792368333351,0.0299230882425558,0,0,0,0.0774008647530647,0,0,0.0622265553646278,0,0,0.0333053147944318,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.0851681963223959,0,0,0,0.134968919246255,0,0,0,0.100589590562064,0,0.0338635475854441,0,0,0,0,0,0.00377532060014056,-0.0754096968165074,0,0,0,0,0,0,0,0,0.138261687074021,0,0,0,0.483543097802497,0,0,0,0,0.0224566684144088,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0.0197690431435204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0796836731895942,0,-0.0386099308872986,0,0,0,0,0.184617893063436,0.128390660717174,0.336049923933242,0,0,0,0,0.0463569191869137,0,0,0,0,0,0,0,0,0,-0.0916484959318609,0,0.114577526271813,0,0,0,0,-0.00424444378125112,0,0,0,0,0,0,0
