,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X600352.SH,X000723.SZ,X601898.SH,X600547.SH,X600660.SH,X601991.SH,X600688.SH,X600886.SH,X600188.SH,X600362.SH,X600795.SH,X600516.SH,X600027.SH,X601992.SH,X600801.SH,X600111.SH,X600176.SH,X000898.SZ,X002466.SZ,X600299.SH,X002460.SZ,X000709.SZ,X000990.SZ,X000786.SZ,X600219.SH,X000629.SZ,X002110.SZ,X600808.SH,X002271.SZ,X000553.SZ,X601158.SH,X600489.SH,X000825.SZ,X000883.SZ,X000630.SZ,X600985.SH,X600583.SH,X600157.SH,X600426.SH,X600339.SH,X300072.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.039315684500489,0.0393759641708991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125338171746651,0,0,0,0,0,0.0132226347361128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103717873728136,0,0.0192992608600697,0,0,0.0203168873079607,0,0.00645088919505981,-0.0431756128671009,0,0,0,0,0,0
X600028.SH,0,0,0.0812454699141842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123876947776258,0,0.0165325051782823,0,0,0.0285931467931787,0,0,0,0,0,0,0,0.000222236689069932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120187348311854,0.0233235732936082,0.0152024615683347,0,0.00894007574406416,-0.0370677824404396,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,-0.143422091413016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224148157146093,0.0393441776673959,0,0,0,0,0,0,0,0.0169228386645393,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079005567756618,0.169067830452791,0,0,0,0,-0.0497286407388779,0,0,0,-0.00670200415383632,0,0
X600585.SH,0,0,0,0,0,0.15195638268345,0,0,0,-0.011184548959472,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483955243493972,-0.0134291081428262,0,0,0,-0.0230217604082951,0,0,-0.00804608824062433,0,0,-0.0262188322469547,0.0532014506855991,0,0,-0.0235608713990971,0,0,0,0,0,0,0,0,0,0,-0.00826677141313715,0,-0.0134439227471835,0,0,0,0,-8.67361737988404e-19,0,0
X600019.SH,0,0,0,0,0,0.0414851985102487,0,0.0495064567455515,0.040501475850664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0954244008423345,0.147983769456312,0.0729181042462992,0,0,0,0,0,0,0.0184443022351777,0,0,0.0913140748947274,0,0,0,0,0,0,0,0,0,0,0.0446660411422876,0,0,0,0,0,-0.0052131468063181,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0.116277631190132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140954240040076,0.0161431174555735,-0.0340751152812664,0,0.151777135279015,0,0.015400307923739,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.438349268304781,0,0,0,-0.0174737062616798,0.0260203122779851,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.0857205685896585,0,0,0,0,0,0,0,0,0.431840075942848,-0.0880295430534043,0.545921531153281,0,0,0,0,0,0,0.00821673458991128,-0.0311318793822829,0,0,0.000706478350049656,0,0,0,0,0.0999306772184128,0,0,0,0,0,0,0,0,0,0,0,-0.133985367138596,0,0.00585655816246734,0.0302660230909951,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.0320356039746806,0,0,0,0,0,0,0,0,0.0972640383028861,0,0,0,0,0,0.197334574329842,0,0,0,0,0,0,-0.0227772000560428,0,0.327337667503066,0,0,0,0,0,0,0,0.117151027992831,0,0,0,0,0.0825929452192264,0,0,0.0360813966771706,0,-0.0162434655771115,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0.00994490538791721,0,0,0,0,0,0,0,0.174387750829779,0,0,0,0,0,0.140057026268436,0,0,0.0636414840995645,0,0,0,0,0,0.2298905596374,0,0,0,0,0.0078657675253417,0,0,0,0,0,0,0,0,0.149690548250601,0,0.0405695775552309,0,-0.0147558063854705,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0.028778630499508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227860531839521,0,0,0,0,0,0,0,0,0.279075545534468,0,0,0,0,0,0.0618024453607505,0,0.0451341004424596,0,0,0.0256858549656838,0,0,0,0,0,0,0,0,0.0343656110251311,0,0,0,-0.246482630349579,0,0
