,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600585.SH,X600019.SH,X002460.SZ,X000792.SZ,X002466.SZ,X600011.SH,X601898.SH,X000708.SZ,X600111.SH,X000301.SZ,X601600.SH,X600660.SH,X600010.SH,X002271.SZ,X000877.SZ,X600547.SH,X600886.SH,X600426.SH,X600795.SH,X600362.SH,X000983.SZ,X601699.SH,X600176.SH,X600803.SH,X600027.SH,X601991.SH,X000786.SZ,X600160.SH,X000807.SZ,X600995.SH,X000629.SZ,X600096.SH,X000408.SZ,X600219.SH,X000933.SZ,X600489.SH,X600378.SH,X000723.SZ,X000932.SZ,X600141.SH,X002080.SZ,X600348.SH,X000831.SZ,X600801.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,-0.0104492404146006,0,0.0252185952384804,0,-0.0617686071882435,0.20369870991537,0,0,0.00489611992828771,0.10368284575118,0,0,0,0,0,0.0319125089040813,0.0494727320208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00996299459880584,0,0,0,0,0,-0.00571221351567326,0.0109398487951104,0,0,0,0,0,0
X600028.SH,0.0490327757917875,0,0,0,0.143988998816314,0,0,0,0,8.67361737988404e-19,0,0,0,0,-0.00367989236374778,0.0945012202526188,0,0,0.0267380078949348,0,0,0.0646422926852343,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00990679901041363,0,0,0,0,-0.00970088982787756,-0.00912407565183031,0,0.139572061393706,-0.0218206265874238,0,0,0,0,0,0,0,0.00610106521138652,-0.0549218206460331,0,0,0,0,0
X601088.SH,0,0,0,0,0.0367611694341668,0,0,0,0,0,0,0.148719537061609,0,0,-0.00128834830090198,0,0,0,0,0,0,0,0.0112588661569028,0,0,0,0.124405522946878,0,0.0673226243822294,0,0,0,0,0,0,0,0,0,0,0,0,-0.0497970818085777,0,0,0,0,0.0148657996620107,-0.0325220394472113,0,0,0,-0.018227021387928,0.0327436565198771,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.0305976780728816,0,0,0,0,0,-0.11146116603199,0,0,0,0.252653545757188,0,0.110099055082715,0.10536702343072,0,0,0,0,0.228958054618027,0,0,-0.0619840458657378,0,0,0,0,0,0.0324472753378882,0,0,0,0.0425771696546737,0,0,0,0,0,0,0,0.515806418514361,-0.071466526671636,0,0,0,0,0,0,0.0103137357571533,-0.0215258967278392,0,0,0,0,0,0
X600188.SH,0,0,0,-0.129999978460941,0,0.0593083644787414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108014725262557,0,0.229611559370124,0,0,0.16578455753328,0,0.211347491870026,0,0,0,0,0.100005285516968,0,0,0,0,0,0.125702816223973,0,0.0276116738764162,-0.250431111245138,0,0,0,0.0684134257140688,0,0,0,0,-0.0234051025267365,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.037106674608349,0,0.0154878392567253,0,0,0,0,0,0,0,0.0733120046946181,0,-0.0279954784513972,0,0.0141646266373094,0.294853244757806,0,0,0.0258052405774318,0,0.0287107856473193,0.023345480332118,0,0,0,-0.0391157511497784,0,0.11888003579682,0,0,0,0,-0.0602953872319661,0,0,0.069021707835851,0,0,0,0,0,0,0,0,0.209884212971276,0,0,-0.00876050296064068,0.0149646434575359,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173126216233967,0,0,0.133074015516633,0,0,0,0,0,0,0,0.0618033682251063,0.137017202349557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038637692762124,0,0,0,0.109025560915774,0.0838764929537294,0,0,-0.016071934318612,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.583863581101759,-0.0403376657535222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265610243709256,0,0,0,-0.0192029976858901,0,-0.0406922008172602,-0.0327562216450515,0,0,0,0,0.257887121685445,0,0,0,0,0,0,0,0.0525966320267496,0.0476452464807453,0,0,0,0,0.00204145934014978,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0.0660366313275196,0,0,0,0,0,0.176119192135283,0.0306061643126532,0,0,0,0,0,0,0,0.011987415271588,0,0.159211554613286,0,0.163463060440518,0,0,0.0233940268146833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00584157642822748,0.0134677933344433,0,0,0,0,0,0
X002466.SZ,0,0,0,0,-0.0179241777032822,0,0,0.549359468508788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0717650831204794,0,0,0,-0.00429225596776111,0,0,0,0.158733280646643,0,0,0,0,0,0,0,0.0919346119994705,0,0,0,0.0429095273258898,0,0,-0.180216846451829,0,-0.159377181087854,0.00565464787301261,0,0,0,0,0,0,0
