,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X000792.SZ,X002460.SZ,X002466.SZ,X600019.SH,X601898.SH,X600111.SH,X600011.SH,X002271.SZ,X000877.SZ,X600660.SH,X000708.SZ,X000301.SZ,X600010.SH,X601600.SH,X600547.SH,X600886.SH,X600176.SH,X600795.SH,X600426.SH,X600362.SH,X000983.SZ,X600803.SH,X600096.SH,X000723.SZ,X000786.SZ,X601699.SH,X000408.SZ,X601991.SH,X600486.SH,X600219.SH,X600141.SH,X600801.SH,X000807.SZ,X600295.SH,X600027.SH,X002353.SZ,X600985.SH,X002080.SZ,X000932.SZ,X000830.SZ,X600157.SH,X600688.SH,X000683.SZ,X601666.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0.0539970654585562,0,0,0,0,0,0.195471435717971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507733238159275,0,0,0,0,0,0,0,0,0,0,0,0,0.125078747779346,0,0.14326447677031,0,0,0.00690777646403765,0.00330950461134951,0,0,0.0968254159182453,0.0120480841500648,0,0.00548315924224821,-0.0541238970195726,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0.227052720921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0980579390943417,0.0257384862739243,0,0.0631785102780194,0,0,0,0,0,0,0.128943839238695,0,0.0610201450238402,-0.00827693770942356,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0.00181627234298523,0,-0.048172224289977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199311449424662,0,0,0,0,0,0,0,0,0,0,0,0.0766257432742378,0.0621719806390084,-0.0015622751479024,0,0,0,0,0,0,0,0.101416596550969,0,0,0,-0.0310748638867533,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.064066417690166,0,0,0,0,0,0,0,0,0.114490849075547,0.0711772956257678,0.135453664353019,0.0655812652679439,0,0,0,0,0,0,0.062825200566813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0537694917073995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.104752782824645,0,0,0,0,0,0,0,0,0,0.0636382967727558,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396485894777518,0,0,0.0431199233915162,0,0,0,0,0,0,0.339429955809708,0,0,0.043551499223983,-8.67361737988404e-19,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0.0824045402659266,0,0,0,0,0,0,0,0,0,0,-0.0680119368563883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0351270209443641,0,0,0,0,0,0,0.176371744362922,0,0,0.0509706804672894,0,0,0,0.662324201535899,0,0,-0.118128474148464,0,0,0,0.108171621944607,0.15337625454292,0.0823041713502442,-0.01874558185526,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.0551595532671028,0,0.144754890224587,0.30504236451888,0,0,0,0,-0.0680097452910867,0,0,0,0,0,0,0,0,0,0,0,0,-0.0820306096455666,0.0728727956425052,0.0221348988274647,0,0,0,0,0,0,0.0432624998963455,0.378618230940788,0.0851570430278035,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00858873681228657,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.494981753010073,0,0,0.19307903141112,0,0,0,0,0,0.0170394838783404,0,0,0,0,0,0,0,0,0.0281623597005038,0,-0.0337474236168687,0.0440516762937988,-0.0415089267237065,0.0577538403888475,0,0,-0.0314695238971889,0.0449976440232976,0,0,0,0,0.0268812503801581,-0.0238040299717097,0,0,0.108914484635582,0,0,0,0,0.0374228532161487,0,-0.0390060615568393,0,0,0,0,0,0,0
X002466.SZ,-0.16430706987295,0,0,0,-0.0432246324194543,-0.124274498033985,0,0.794752617040481,0,0,0,0.0704878530789604,0,-0.0455409781817124,0,0,0,0,0,0.0369846665700776,0,0,0,0.157737971398733,0,0,0.0772315177253262,0.0738215052401948,0.00504876661730356,0,0,0,0,0.00932139887809491,0.0444673738589478,0,0.0437990966506334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00399759445862751,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.00273448417284769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0219104202644327,0,0,0,0,0,-0.0046829427912541,0,0,0,0,0,0.024302417263698,0,0.136118439273116,0,0.498429599866767,0,0,0,0,0,0,0,-0.0260140117806819,0,0,0,0,0,0
