,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X601991.SH,X601600.SH,X600547.SH,X600660.SH,X600688.SH,X600886.SH,X600188.SH,X600795.SH,X600362.SH,X600027.SH,X000898.SZ,X600111.SH,X601992.SH,X600176.SH,X600516.SH,X002466.SZ,X600299.SH,X000709.SZ,X000629.SZ,X002460.SZ,X600808.SH,X600352.SH,X600219.SH,X300072.SZ,X000825.SZ,X600801.SH,X601158.SH,X000553.SZ,X002110.SZ,X600489.SH,X600339.SH,X000786.SZ,X000883.SZ,X600583.SH,X601699.SH,X000301.SZ,X600426.SH,X000408.SZ,X000792.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.106448976348989,0,0,0,0,-0.000626426159384139,0,0,0.181420522242547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104056556762487,0,0,0,0,0,0,0.224211454798676,0,0,0,0,0.382449481544901,0,0,0,0,0,0.0122920430860307,0.0260253311010633,0,0,0,0,0,0
X600028.SH,0.0181220799503292,0,0,0,0.535682103043182,0.11430522719644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707894161779299,0,0.0067295463097533,0,0,0,0.0207372110626408,0,0,0,0,0,0,0,0,0,0.308043776630324,0,0,-1.38777878078145e-17,0,0,0,-0.141597656889974,0.00428125638271801,0.012109833331842,0,0,0,0,0,0
X601088.SH,0.0730337766414322,0,0,0,0,0,0,0,0.129465681021846,0,0,0.00804851683312036,0,0,0,0.0333328740339406,0,0,0,0.0924527703764302,0,0,0,0,0,-0.0516093585758761,0,0,0,0,0,0,0,0,0,0,0,0.208917993738234,0,0.0472582963271562,0,0,0,0,0.015254345300856,0,0,0,0,0,0.0344775101494828,-0.0653288283434205,0,0,0,0,0,0
X600585.SH,0,0,0.119832889924428,0,0,0.156922885283509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38104772861855,0,0,0,0,0,0.11214280732905,0,0,0,0,0.120742323920806,0,0.0723026553685049,0,0,0.00534186423074785,-1.0842021724855e-19,0,0,0,0,0,0
X600019.SH,0,0.0811717859688104,0,0.0575233080576824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635437643224866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269421635608305,0,0,0.0241075607265352,0,0,0,0,0,0,0,0,0,0,0,0,-0.0112163044821136,0,0,0,0,0,0,0
X600011.SH,0,0,0,0.102955056064171,0,0,0.0275164991651687,0,0,0,0,0,0,0,0,0,0,0,0.699912540268533,0,0,0,0,0,0,0,0,0,0.0916963123125586,0,0,0,0,0,0,0,0,0,-0.114431454006005,0,0,0,0,0,0,0,0,0.0189481142050283,0,0,-0.0121900384862421,0.0647788815910918,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.321411049330312,0,-0.167717753277471,0,0.168522989041543,0,0.247569397538809,0,0,0,0,-0.540773191508669,-0.0206174265679398,0.308192343217336,0,0,0,0,0.185725098862826,0,0,0,-0.306332364750743,0,0.0457398157512684,0,0.174635055695573,0,0,-0.190637904867947,0
X600010.SH,0.19934182221166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.172496706246205,0,0,0.0194673268141278,0,0,0,0,0,0.0844059614465978,0.0327226040058302,0,0,0.0123820609678574,0,0.02608895093647,0,0,0,0.042176364819197,0,0,0.0690162802977097,0.0888227854630918,0,0,0,0,0,0,0,0,0,0
X601898.SH,0.189461706321102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209181667221461,0,0,0,0,0,0,0,0,0.0234001869170952,0,0,0,0,0,0,0,0,0,0,0,0,0.129449333912978,0,0.0892860896175745,0,0,0,0,0.190607369144495,0,0,0,0,0,0.00967976154959672,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.125766798324494,0,0,0,0.111853035158989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103382297946723,0,0,0,0,0,0,0,0.027068256155737,0,0.0110890757895211,0,0,0,0,0,0,0,0.0218841120729401,0,0,0.0484080496544834,0,0,-0.0127768728173009,-0.0389733596827932,0,0,0,0,0,0
X601600.SH,0,0,0,0.136313322795495,0,0.00716795684788236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114885310895167,0.00737926161652283,0,0,0,0,0,0,0,0,0,0,0,0.0164542100705593,0,0,0.00403618693029125,0,0,0.16517522447515,0,2.16840434497101e-19,0.128834238620033,0,-0.000238591940575705,0,0,0,-0.0978777396373536,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,-0.0297982035667928,0.0210308823108671,-0.0262689160204332,-0.0163705562355415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27118001754549,0,0,0,0,0.544535391209434,0,0,0,0,0,0,0,0.0190542463910613,0,0,0,0.0107370025091067,-0.00218849826590321,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0.043865342611538,0,0,0,0,0,0,0.120238717804375,0,0,0,0,0.0917928894953259,0,0,0,0,0,0,0.0836622709432351,0,0.0356635762920121,0,0,0,0,0.060824298547496,0,0,0,0,0,0,0,0,0,0.0908842477838666,0,0,0.250287443713489,0,0,0,0,0.00635898034042294,0.0707415221294715,0,0.0274783769598113,0,0,0,0
X600688.SH,0.0106637401087597,0,0,0,0,0,0,0,0,0,0,0,0.122542435804272,0,0,0.0296929507345275,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25971608388518,0,0,0,0,0,0,0,0,0,0.0380422481057154,0,0,0,0,0,0.122806861203503,0,0,0,0,0,0,0,0,0,0,0,0
X600886.SH,0,0.120562700278427,0,0,0,0.00788274067699619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100907163759188,0.0526954530251433,0,0,0,0.024417595858016,0,0,0,0,0.019249532336755,0,0,0,0,0,0,0,0,0.0260161267953207,0,0,0,0,0.0317553991631672,0,0,-0.0297699060283279,0.0687516395563255,0,0,0,0,0,0
