,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600010.SH,X600585.SH,X601600.SH,X600309.SH,X600011.SH,X601898.SH,X002466.SZ,X601992.SH,X600111.SH,X002460.SZ,X600688.SH,X600188.SH,X600795.SH,X600362.SH,X600516.SH,X601991.SH,X600660.SH,X600547.SH,X300072.SZ,X000898.SZ,X000709.SZ,X600886.SH,X600157.SH,X600027.SH,X600808.SH,X000408.SZ,X600339.SH,X000959.SZ,X000807.SZ,X600549.SH,X000792.SZ,X600219.SH,X600489.SH,X000983.SZ,X000723.SZ,X002092.SZ,X600352.SH,X601699.SH,X601158.SH,X600008.SH,X000883.SZ,X000630.SZ,X000553.SZ,X000825.SZ,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.000436202694010794,0,0,0,2.7581235338941e-05,0,0.0522472483723725,0,0.0567302657011457,1.73472347597681e-18,0,0.005042765512255,-0.0113256336783651,0,0.0620200864892398,0,0,0,0,0,0,0,0,0.022519280798998,0,0,0,0,0,0,0,0,0,-0.0161407022149678,0,-4.33680868994202e-19,0,-0.00906733723166197,0,0,0,0,0,0,-0.0101727476876015,0.014019404253855,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.141704857239775,0,0,0,0,0,0,0,0.0474524893834968,0,0.0300246926110782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00523258874793945,0,0,0,0,-0.0180376192263046,0,0,0,0,0.0595270707381399,0,0,0,0,0,-0.0601787866559595,0,-0.0233102696918857,0,0,0.0164704338049998,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,-0.0175101388586334,0,0,0,0,0,-0.0179685201519111,0,0,1.04209599956797,0,0,0,-0.0136686686100528,0,0,0,0,0,0,0,0,0,0,0,0.0435619965993195,0,0,0,0,0,0,-3.46944695195361e-18,0.104324422153758,0,0,0,0,0,0,0.0551494034165211,0,0,-0.00730210078345286,-0.00450470837076167,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.133827177219996,0,0,0.134476941938116,0,0.131231261019701,0,0,0.015605548740531,0,0,0,0,0,-0.0389154698744784,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.268652554422027,0,0,0,0,0,0,0,0,0,-0.0213722770807945,0,0,0,0,0,0,0,0,0.177359554719089,0,-0.0412446955988672,-0.0119646093512527,0.00208760689745342,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0529701864685992,0,0,0,0,0.0547339885096977,0,0,0,0,0,0.0206428927062012,0.0488692963204388,0,0,0,0.145806397359327,0,0,0,0.0451901281548907,0.110495196111742,0,0,0,0.0565053219558667,0,0.10120633702934,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,-0.0134320571290185,0.0180102266144262,0,0,0,0,0,0
X600585.SH,0,0.251551300200475,0,0,0,0,0,0.0940993944152339,0,0,-8.67361737988404e-19,0.0168446392038826,0,0,0,0,0,0,-0.0482003690254508,0,0,0,0,0,0,0,0,0,-0.0562942672144987,0,0,0,0,0,0,0,0,0,-0.0168683784118869,1.73472347597681e-18,0,0.0964574895199389,0,0,0,0,0,-0.0287442963744956,0,-0.144093316546697,-0.0275100061171603,0,0,0,0,0,0,0
X601600.SH,0,0,0,0.11543427459341,0,0,0,0,0,0,0.0497952606858594,0,0,0,0,0.0591248786607235,0,0,0.0805705207019925,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209001331814601,0,0,0.235719085559807,0,0.0448719436169386,0,0,0,0,0,0,0,0,0,0.246546452841236,0,0,-0.017267253821103,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20322145911649,0.0341851918655478,0,0.0384219766707585,0,0,0,0,0,0,0,0,0,0,0,0,0.042130344684962,-0.0994728708587731,0,0,0,0,0.0824589649517583,0,0.128685356458285,0,0,0,0,0,0,0,0,-0.0219881774817,0.0281564336417593,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.118851279709796,0,0,-0.00376982189099507,0,0,0,0,0,0,0.0185814926813767,-0.01522731007924,0.108581318507268,0,0,0,0,0,0,0,0,-0.0319606330761589,0.10350412708242,0,-0.0895665327273657,0,0.0407280203440928,0,0,0,0,0,0,0,0,0,0,0,0,0.00267890469461001,0,0.0431363408670589,0,0,0.00858006444706666,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121875580999276,0,0,0,0,0,0.310121306812474,0,0,0,0,0.057838964222272,0,0,0,0.0317261380736293,0.0355957093877041,0,0,0,0,0,0,0,0.0196753754132715,0,0,0,0,0,0.107627497010735,0,0,0,2.16840434497101e-19,0,0,0,0,0,0
