,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X601898.SH,X600010.SH,X600585.SH,X600547.SH,X600188.SH,X600688.SH,X601600.SH,X600795.SH,X300072.SZ,X600157.SH,X601991.SH,X600362.SH,X600027.SH,X601992.SH,X600111.SH,X600886.SH,X600309.SH,X600660.SH,X600489.SH,X600623.SH,X002466.SZ,X601158.SH,X600299.SH,X000723.SZ,X000792.SZ,X002075.SZ,X000709.SZ,X000898.SZ,X000983.SZ,X000408.SZ,X000959.SZ,X600583.SH,X000883.SZ,X600352.SH,X600549.SH,X000539.SZ,X600176.SH,X000027.SZ,X601699.SH,X000630.SZ,X600126.SH,X600021.SH,X000012.SZ,X002470.SZ,X000937.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.0222601389512602,-0.00191314018846436,0,0.00269578469378697,0,0,0.00749412803449367,0,0,0.0185816364731293,0,0,0,0,0.0292210997105102,0,0,0.0111374449807092,0,0,0,0.0138125625075599,0.0280615511413632,0,0.00637306152477808,0,0,0,0,0.121656509730735,0,0,0.0562004471884759,0,0,0,0,0,0,0,0,0,0,0,0,-0.00985779681739875,0,0,0,0,0,0
X600028.SH,0,0,0.0940972179016542,0.0270012268813085,0,-0.0242057266473772,0,0.056664483297338,0,0,0,0,0.0486080955522173,0.0671965609681416,0,0,0,0,-0.0588886802194875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109141527120711,0,0,0,0,0,0,0,0,0,-0.0447363398053365,0,0,0,0.016947715323321,0,0,0,-0.000514230356248941,-0.00626218123696896,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.039726694664855,0,0,0,0.0252566640873233,0,0,0,0,0,0,0.0816216723393285,0.0495722344304756,0,0.00157231208670749,0,0.0327466628336122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0637252328543956,0,0,0,0,0,0.00604228019984517,0.042562133181405,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.0333612401614878,0,0.0811742253399327,0,0,0,0.0518177965689796,0,0,0,0,0,0,0.185336409369429,0,0,0.00447605318908206,-0.00594010958939602,0,-0.000233646731084281,-0.245415452134815,0,0,-0.021070120650129,0,0,0,0,-0.0234062827658811,0,0,0.166820055654656,0,0,0,0,0,-0.0406857140473316,0.00388829037223371,0,-0.0670014057177863,0,0,0,0,0.0238929476224656,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0197490975540036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0460575774062353,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.0114153614413244,0,0,0,0,0.0461060490791633,0,0,0,0,0,0,0,0,0,0.00109407495683724,0.0846490661889769,0,0.0627842884241964,0,0,0,0,0,0,0,0,0,0,0,0,-0.187413257012571,0,0,0,0.379080870215658,0,0,0,0.164827695195362,0,0,0,0.0573362896842621,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315809352553169,0,0,0,0,0,0.0958999737625259,0.0955418082901991,0,0,0,0,0,0.0172470020604028,0,0,0.147661048175282,0,0,0,0.0906749659267528,0,0.0351627900648472,0,0,0,0.0850724461081784,0,0,0,0.0106048817261969,0,0.025608387629426,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0338827140296465,0.283186461771799,0,0,0,0.0869579058267565,0,0,0,0.037529725801037,0,0,0,0,0,0,0,0.121389843226719,0.114415212014478,0,0,0,0,0,0,0,-0.0853469588273233,0,0,0,0,0.0300528243643735,0,0,0.0927673949689035,0,0,0,0,0,0,0,0,0,0,0,0,0.133613115845372,0,0,0,0,0,0,0
X600547.SH,0,0,0,-0.350213883929034,0,0,0,0,0,-0.0254995716564043,0,0,0,0.0126733692828691,0,0,0,0,0,0,0,-0.100398150986466,0,1.04505056781148,0.0581176143921788,0,0,0,0,0,0,0,0,0,-0.0579617297861521,0.03538447005596,0,0,0,0,0,0,0,-0.00392647725235148,0,-0.0384808162860654,-0.33415553447561,0,0,0,0,-0.011116645363386,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0.243690352011864,0,0,0,0,0,-0.0797082187392916,0,0,0.270077912229672,0,0,0,0,0,0,0.0692981577159278,0,0,0,0,0,0,0,0,0,0.618033737959839,0,-0.00197958487865467,-0.0754869478061612,0,0,0.08931982358023,0,0,0,0,0,0,0,0.0298051562007665,-0.12140222710431,0,0,0.0178383925571823,0.0151627443252999,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116773642879493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371085872668341,0,0,0,0,0,0,0,0,0.127736655600993,0,0,0.0722377141069157,0,0.048501077048929,0.194923704670119,0,0,0.0095588986937522,0.00388328161971756,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.00038851802261379,0,0,0,0,0,0,0,0.00936430544793264,0,0,0.247647317832679,0,0,0,0,0,0,0,0,0,0.0492495607373061,0,0,0.0881146732988636,0,0,0,0,0,0.00855357137546066,0,0,0.101250012484312,0.018278654382925,0,0,0.022384552389666,0.0127787853952826,0,0.00787675952957775,0,0.0299232993299505,0.110022420055354,0,0,-0.0141513446897337,0,0,0,0,0,0,0
