,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X002460.SZ,X600585.SH,X600019.SH,X002271.SZ,X600660.SH,X000301.SZ,X600111.SH,X002466.SZ,X000708.SZ,X601898.SH,X601600.SH,X600010.SH,X600188.SH,X600362.SH,X600547.SH,X600426.SH,X600886.SH,X600176.SH,X000786.SZ,X600011.SH,X600219.SH,X000408.SZ,X000825.SZ,X000932.SZ,X600803.SH,X300037.SZ,X002080.SZ,X601991.SH,X600795.SH,X000027.SZ,X000898.SZ,X000807.SZ,X600352.SH,X000830.SZ,X600489.SH,X600688.SH,X000959.SZ,X600399.SH,X002353.SZ,X002409.SZ,X600549.SH,X601699.SH,X000012.SZ,X002145.SZ,X600801.SH,X600808.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,-0.0211611327353694,0,0.0613984217602419,0,0.0771605056667299,0,0,0.0027598371659508,0,0,0,0,0,0,0,0,0,0.0632218007061383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00170135054155592,0,0,0,0.13664700948243,0.0119747785652317,-0.0163928797752772,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.0637233822784437,0,0,0,0,0,0.0633489695178522,0,0,0,-0.0318001211728543,-0.0145173834622479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102860479909513,0.0562576877665349,0,0,0,0,0,0,0,0.156728238227302,0,0,0,0,0,0,0,0,0,0.0120484060409402,0,-0.0397043447653731,0,0,0,0.00436863969912378,0.052419709017291,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.0741059504055098,0.0637389698968059,0,0,0.140800487950444,-0.0271742001654076,0,0,0,0,0,0,0,0.252350768878188,0,0,0.0831909254224113,0,0,0,0,0,0,0,0.0296659023715248,0,0,-0.0139589212896007,0,0.0283573828974938,0,0,0,0,0,0,0,0.100761992183562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0.0288963969093091,0.124026245010432,0,0.0268474795690808,0,0.182350731339192,0,0,0,0,0,0,0,0,0.0635949771681319,0,0,0,-0.101107612088198,0,0,0,0,0,0,0,0.0954516615667873,0,0.0587442497307007,0,0,0.00357830089116974,0,0,8.67361737988404e-19,0.0204384955429069,-0.0750174418019002,0,0,0,0.0190624189383842,0.0347322803670394,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.0411900949473226,0,0.437548204535113,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0326839445228584,0,2.16840434497101e-19,0,0.19574766082842,0,0,0,0,0,0.149152766865459,0,0,0,0,0,0,0,0.0633483605178662,0.111869224071244,0,0,0.11530006202348,0,0,0,-0.0257469108679291,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00619622056934746,0,0,0,0,0,0,0,0,0.0387040807699077,0,0,0,0,0,0,0.0135012351396763,0,0,0,0,-0.0268097374712642,0,0,0,0,0,0,0,0,0,0,0,0.0238428144395702,0.0455684694920673,0.575596981908914,0,0,0,0.0463795403353278,0,0,0,0.00503059799875684,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,-0.00411844338034893,0,0,0,0,0,0.127130155117272,0,0,0,0,0,0,0,0,0,-0.00658603388142079,0.0332018615159689,0,0,-0.0588249110318281,0,0,0,0,0.339123096454078,0,0,0,0,0,0,0,0,0,0.0865007299123435,0,0,-0.104821571023545,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0
X002271.SZ,0,0,0.205043480322808,0,0,0,0,0,0,0,0,-0.0374376735402741,0,-0.0316020279525287,0,0,0,0,0,0,0,0,0,0,0,0.111612251906543,0.0608824349904269,-0.0283205012357017,0,0,0,0,0,0,0,0,0,-0.107126793799448,0.125630237489453,0,0,0,0,0,0,0,-0.115902811737117,0,0,0,0,-0.0227442788957203,-0.0190489670250041,0,0,0,0.0418151691035466,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.236499916832378,-0.100577794150685,0,0,0,0,0,0,0,0,0,0,0,0.0131593588346246,0,0,0,0.23173090918336,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.0628547443975561,0.0873893716186042,0,0,0,0,0,0,0,0,0,0,0,0
X000301.SZ,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.182150286109065,-0.0677826703361031,0,0,0,0,0.114384446949076,0,0,0,0.023533663979411,0,0.110459526272884,0,0,-0.194896479250394,0,0,0,0,0,0.0820606135085471,0,0.0256810008511981,-0.00241688156059445,0,0,-4.33680868994202e-19,0,0,0,0,-0.119769862604527,0.207490141747881,0,0,0.0256660991780747,0.157369391695361,0,0,0,0,0.215443794246784,0,0,0,0.282019856218434,0,0
